,indonesian,banjarese
263,hilang,langlap
264,hukum,hukum
265,ikut,umpat
266,ilham,hidayah
267,ilham,ilham
268,iman,iman
269,indah,bagus
270,ingat,ingat
271,ingin,handak
272,interogasi,ditakuni
273,interogasi,manakuni bapicik
274,isi,isi
275,istimewa,istimewa
276,istimewa,istimiwa
277,jahat,jahat
278,jamin,jamin
279,jatuh,gugur
280,jawab,jawab
281,jawab,sahut
282,jaya,jaya
283,jelas,faham
284,jelas,mangarti
285,jelas,tarang
286,jelek,kada baik
287,jelek,kada bungas
288,jenis,macam
289,jenis,rupa
290,jual,jual
291,kalah,kalah
292,kalimat,kalimat
293,kapal,kapal
294,karya,ulahan
295,kasihan,mambari maras
296,kasihan,maras
297,kaya,sugih
298,keadilan,kaadilan
299,keamanan,kaamanan
300,kebaikan,kabaikan
301,kebencian,kamuaran
302,keberanian,kawanian
303,kebetulan,kabalujuran
304,kebetulan,kabujuran
305,kecewa,mantah hati
306,kecewa,sangkal
307,kehancuran,kahancuran
308,kehancuran,karusakan
309,kehilangan,kahilangan
310,kejahatan,kajahatan
311,kejam,kajam
312,kejam,kakajaman
313,keji,kapurunan
314,keji,liwar kajam
315,kekayaan,kasugihan
316,kekerasan,dihukumakan
317,kekerasan,kakarasan
318,kekerasan,pamukulan
319,kekuatan,kakuatan
320,kelaparan,kalaparan
321,keluar,kaluar
322,kematian,kamatian
323,kembali,babulik
324,kena,kana
325,kenal,kanal
326,kenal,patuh
327,kenal,tahu
328,kenyamanan,kanyamanan
329,kepentingan,kapantingan
330,keras,karas
331,keren,bagus
332,keren,bengkeng
333,kerugian,karugian
334,kerusakan,karusakan
335,kesalahan,kasalahan
336,kesan,palihat ikam wan diaaku 
337,kesan,rasa
338,kesempatan,kasampatan
339,kesepian,kasunyian
340,kesulitan,kapalipitan
341,kesulitan,kasulitan
342,ketakutan,katakutan
343,ketat,kantat
344,ketegangan,basengkengan
345,ketegangan,katagangan
346,kompak,kumpak
347,kompak,rakat
348,konflik,bakalahi
349,konflik,kunflik
350,konspirasi,bapiasat
351,konspirasi,kanti
352,korban,korban
353,korban,kurban
354,korban jiwa,korban
355,korban jiwa,kurban jiwa
356,kosong,kosong
357,kosong,kusung
358,kotor,rigat
359,kuat,kuat
360,kurang,kada sampai
361,kurang,kurang
362,kutuk,kutuk
363,kutuk,sumpah
364,kutuk,sumpahi
365,kutukan,disumpahi
366,kutukan,susumpahan
367,langgar,langgar
368,langgar,langgar (jika bermakna semacam tempat ibadah)
369,langgar,ranjah
370,larang,kada bulih
371,larang,tangati
372,larangan,kada dibuliakan
373,larangan,pamali
374,lawan,lawan
375,layak,kawa dipakai
376,layak,pantas
377,lebih,labih
378,lebih baik,labih baik
379,lebih baik,tabaik
380,lembut,lamah
381,lembut,lambut
382,lengkap,langkap
383,lenyap,hilang
384,lenyap,langlap
385,lewat,balalu
386,lewat,lalu
387,lewat,lewat
388,lihat,liat
389,lihat,lihat
390,lmao,lucut
391,luar biasa,bilang liwar
392,luar biasa,luar biasa
393,lucu,lucu
394,luka,luka
395,lupa,kada ingat
396,lupa,kalumpan
397,maaf,maaf
398,mahal,larang
399,mampu,kawa
400,marah,sarik
401,masalah,masalah
402,masalah,sual
403,mati,mati
404,mayat,mayat
405,melakukan,manggawi
406,melanggar,malanggar
407,melemahkan,malamahakan
408,melindungi,malindungakan
409,melindungi,malindungi
410,melumpuhkan,malumpuhakan
411,memastikan,mamastiakan
412,membahayakan,babahaya
413,membahayakan,mambahayakan
414,membantu,mambantu
415,membantu,manggani i
416,membatalkan,kada jadi
417,membatalkan,mambatalakan
418,membenci,mamuari
419,membuka,mambuka
420,membuka,maungkai
421,membuka,maungkap
422,membunuh,mamati i
423,membunuh,mambunuh
424,memerangi,manyarang
425,mempertanyakan,manakunakan
426,memuji,maambung
427,memuji,mamuji
428,menahan,manahan
429,menanti,mahadang
430,menanti,mahadangi
431,menarik,mambari kapingin (menarik dalam artian membuat tertarik/suka)
432,menarik,manarik
433,mencurigakan,mancurigakan
434,mencurigakan,maulah curiga
435,mendapatkan,mandapatakan
436,menderita,mandarita
437,menderita,marista
438,mendoktrin,mampangaruhi
439,mendorong,manunjul
440,mendukung,mandukung
441,mendung,mandung
442,mendung,muru
443,menembak,manembak
444,menembak,manimbak
445,menerima,manarima
446,mengakui,mangaku ay
447,mengakui,mangakui
448,mengamankan,maamanakan
449,mengamankan,maamankan
450,mengeluarkan,mangaluarakan
451,mengembalikan,mambulik akan
452,mengembalikan,mambulikakan
453,mengerikan,mambari takutan
454,mengerikan,mambaritakutan
455,menghancurkan,mahancurakan
456,menghancurkan,mahancuriakan
457,menghargai,maharagai
458,menghargai,mahargai
459,menghindari,maliung
460,menghindari,manjauhi
461,mengusir,mamburu
462,mengusir,mausir
463,mengutuk,mangutuk
464,mengutuk,manyumpahi
465,meninggal,maninggal
466,meninggal,mati
467,meningkatkan,manaik akan
468,meningkatkan,manambahakan
469,menolak,kada haku juga berarti tidak mau
470,menolak,kada hakun
471,menunggu,mahadang
472,menunggu,mahadangi
473,menurunkan,manurunakan
474,menyadari,manyadari
475,menyalahkan,maniwas
476,menyalahkan,manyalahakan
477,menyambut,manyambut
478,menyebabkan,maulah
479,menyerang,manyarang
480,menyeret,mahirit
481,menyeret,manarik
482,menyesatkan,manyasatakan
483,menyita,maambil
484,menyita,manyita
485,meragukan,maraguakan
486,meruntuhkan,mahancur
487,meruntuhkan,maruntuhakan
488,minta,minta
489,minta maaf,minta maaf
490,miskin,miskin
491,miskin,sakit
492,miskin,susah
493,moga,mudahan
494,muda,anum
495,mudah,nyaman
496,muka,muha
497,muka,muha (wajah)
498,mulia,mulia
499,mundur,baundur
500,mundur,mundur
501,murah,murah
502,murka,amuk
503,murka,muar banar
504,murka,sarik
505,musuh,musuh
506,musuh,sataru
507,nanti,kaina
508,nanti,kena
509,nekat,nekat
510,nekat,wani
511,nekat,wani hangit
512,neraka,naraka
513,ngeri,gair
514,ngeri,mambaritakutan
515,ngerti,faham
516,ngerti,paham
517,nilai,nilai
518,oke,ayu ja
519,oke,iya
520,oleh,ulih
521,orang bodoh,orang bungul
522,orang bodoh,urang bungul
523,pada,gasan
524,pada,ka
525,padat,hibak
526,padat,rapat
527,padat,tatal
528,pahlawan,pahlawan
529,palsu,inca an
530,palsu,palsu
531,panas,panas
532,panik,abut
533,panik,takutan
534,panjang,panjang
535,pantat,burit
536,parodi,mahalabiu
537,pasti,pasti
538,pecah,pacah
539,peduli,mahatiakan
540,peduli,pahatian
541,pelaku,nang manggawi
542,pelaku,urang
543,pelaku kejahatan,panjahatnya
544,pelaku kejahatan,urang jahat
545,pembela,pambela
546,pembela,urang nang malawanakan
547,pemberani,pawanian
548,pemberontakan,pambaruntak
549,pemberontakan,pambaruntakan
550,penangkapan,panangkapan
551,penangkapan,pangangkapan
552,pendukung,pandukung
553,pendukung,panggustiannya
554,penembakan,panembakan
555,penembakan,panimbakan
556,pengecut,panakutan
557,pengecut,panguncut
558,pengunjung,pangunjung
559,pengunjung,tamu
560,penjara,panjara
561,penting,panting
562,penting,penting
563,penuh,hibak
564,penularan,manjangkiti
565,penularan,panularan
566,penyelamat,panyalamat
567,penyelidikan,panyalidikan
568,perampok,parampok
569,perang,perang
570,perasaan,parasaan
571,percaya,parcaya
572,perdamaian,badamai
573,perdamaian,pardamaian
574,peringatan,diingataka
575,peringatan,paringatan
576,perjuangan,bajuang
577,perjuangan,parjuangan
578,pertanyaan,partanyaan
579,pertanyaan,tatakunan
580,pertempuran,bacakut
581,pertempuran,baparang
582,pertempuran,partampuran
583,pikir,pikir
584,pintar,pintar
585,populer,tarkanal
586,positif,bagus
587,positif,baik
588,positif,batambah
589,potong,tatak
590,puja,ambung
591,puja,puja
592,puji,ambung
593,puji,puji
594,pukul,catuk
595,pukul,hantam
596,pukul,pukul
597,pukul,rimbat
598,pulih,ampih
599,pulih,tabulik asal
600,pulih,waras
601,pura,kisahan
602,pura,pura
603,pusing,hanyut (pada orang yg hampir pingsan karena anemia)
604,pusing,pusing
605,racun,racun
606,rahmat,rahmat
607,rampas,marabuti
608,rampas,rabuti
609,ras,"(misal ras india ""orang india"")"
610,ras,orang 
611,ras,ras
612,raya,raya
613,rela,rela
614,rela,rila
615,rindu,dandaman
616,rindu,kaganangan
617,runtuh,rubuh
618,runtuh,runtuh
619,sadar,sadar
620,saham,saham
621,sakit,garing
622,sakit,sakit
623,salah,salah
624,salam,salam
625,salut,maharagai aku
626,salut,salut
627,sama,sama
628,samping,higa
629,sangat,bangat
630,sangat,liwar
631,santai,santai
632,sapa,rawa
633,sapa,tagur
634,saran,pandapat
635,saran,papadah
636,sayang,sayang
637,sebab,sabab
638,sebut,sambat
639,sedih,marista
640,sedih,sadih
641,segan,segan
642,segan,supan
643,selamat,salamat
644,selesai,tuntung
645,semangat,samangat
646,sembunyi,basilip
647,sembunyi,sambunyi
648,semoga,mudahan
649,sempat,sampat
650,sempat,sawat
651,senang,himung
652,senang,sanang
653,sendiri,sorangan
654,sendiri,surangan
655,senjata,sanjata
656,senyum,karinyum
657,senyum,kurihing
658,senyum,sanyum
659,seperti,kaya
660,seperti,nangkaya
661,sepi,sunyi
662,seragam,saragam
663,seram,mambari takutan
664,seram,takutan
665,serang,sarang
666,serang,sarbu
667,serang,serang
668,serangan,sarangan
669,serangan,serangan
670,serikat,bubuhan
671,serikat,sarikat
672,siap,siap
673,sigap,lakas
674,sigap,siap
675,silahkan,jin ha
676,silahkan,silahakan
677,silahkan,silahkan
678,simpati,maras
679,simpatik,maras
680,simpatik,maulah katuju
681,solidaritas,kakurang labih
682,solidaritas,kurang labih
683,solidaritas,malawanakan
684,sopan,lamahan
685,sopan,sopan
686,stres,mauk
687,stres,munyak
688,stres,muyak
689,stres,stres
690,striker,panyarang
691,striker,striker
692,suap,sogok
693,suap,suap
694,suka,katuju
695,sulit,ngalih
696,super,liwar
697,super,super
698,surga,surga
699,susah,ngalih
700,tabah,sabar
701,tabah,tabah
702,tabrak,ranjah
703,tabrak,rujuk
704,tahan,tahan
705,tahanan,tahanan
706,tak kalah,kada kalah
707,takut,takutan
708,tanggung jawab,tanggung jawab
709,tangis,tangis
710,tangkap,tangkap
711,tantangan,tantangan
712,tanya,takun
713,tegang,tagang
714,tegas,tagas
715,tembak,tembak
716,tembak,timbak
717,tempur,tampur
718,tempur,tempur
719,tenang,tanang
720,tenggelam,tinggalam
721,tentang,sual
722,tentang,tantang
723,tentu,nyata ay
724,tentu,nyata haja
725,tentu,tantu
726,teramat,bangat
727,teramat,liwar
728,terbesar,pangganalnya
729,terbunuh,tabunuh
730,terganggu,taganggu
731,tergantung,tagantung
732,teriak,kuciak
733,teriak,kuriak
734,teriakan,kuciakan
735,teriakan,kuriakan
736,terima,tarima
737,terima kasih,tarima kasih
738,terimakasih,tarimakasih
739,terkejut,takajut
740,terkena,takana
741,terluka,gurai
742,terluka,luka
743,terluka,tarluka
744,teror,takutani
745,teror,tirur
746,terpengaruh,tahasut
747,terpengaruh,tapangaruh
748,tersangka,tasangka
749,tersangka,tatuduh
750,tersinggung,tasingguh
751,tersinggung,tasinggung
752,tertarik,handak
753,tertarik,katuju
754,tertentu,orang orangnya jaa
755,tertentu,tatantu
756,tertinggal,tatinggal
757,tidak,kada
758,tidak aman,kada aman
759,tinggal,badiam
760,tinggal,tinggal
761,tingkat,loteng
762,tingkat,tingkat
763,tragedi,bakajadian
764,tragedi,kajadian
765,trauma,jara
766,trauma,pancat
767,tubuh,awak
768,tuduhan,tuduhan
769,tukang jualan,tukang bajualan
770,tukang jualan,urang bajualan
771,tumpas,habisakan
772,tumpas,tumpas
773,tunda,kaina
774,tunda,undur
775,tunggu,hadang
776,turun,turun
777,tutup,tukup
778,tutup,tutup
779,uang,duit
780,untung,bahujung
781,untung,hujung (untung dalam makna perdagangan semacam margin)
782,untung,untung (dalam hal semacam keberuntungan)
783,utuh,kada bauna
784,utuh,langkap
785,wajib,wajib
786,waspada,bajaga kalu kalupina
787,waspada,bajaga-jaga
788,wow,uma uma
789,wow,umay
790,wow,umaylah
791,ya,iih
792,ya,inggih
793,ya,ya
794,yakin,yakin
