abu,awu,,,,,,,,,
adopsi,adopsi,,,,,,,,,
cerdas,cerdas,pinter,,,,,,,,
cinta,tresno,tresna,,,,,,,,
cium,ngambung,nyium,nyosor,,,,,,,
cocok,cocok,,,,,,,,,
copet,maling,,,,,,,,,
damai,tentrem,ayem,,,,,,,,
dapat,etuk,angsal,oleh,,,,,,,
daya,daya,doyo,,,,,,,,
diabaikan,dijarne,dijarno,ditokne,,,,,,,
diam,meneng,mendhel,mingkem,,,,,,,
diancam,diancem,,,,,,,,,
dibersihkan,diresiki,,,,,,,,,
dicuri,dicolong,,,,,,,,,
dihukum,diukum,,,,,,,,,
dikalahkan,dikalahke,dikalahake,dikalahne,,,,,,,
dipercaya,dipercoyo,,,,,,,,,
dipermalukan,diremehke,diremehake,diremehne,,,,,,,
dipertanyakan,dipitakonke,dipitakonake,,,,,,,,
diprovokasi,diojok-ojoki,,,,,,,,,
disebut-sebut,disebut-sebut,,,,,,,,,
ditakuti,diwedeni,,,,,,,,,
ditangkap,ditangkep,,,,,,,,,
diteror,diteror,,,,,,,,,
ditinggalkan,ditinggalake,,,,,,,,,
ditingkatkan,ditingkatake,,,,,,,,,
dituduh,diarani,,,,,,,,,
ditunda,ditundha,,,,,,,,,
doa,donga,pandonga,,,,,,,,
doktrin,doktrin,,,,,,,,,
duka,kasusahan,dhuka,,,,,,,,
dukung,ndukung,,,,,,,,,
dukungan,dhukungan,,,,,,,,,
efektif,efektif,,,,,,,,,
eksklusif,eksklusif,,,,,,,,,
empati,empati,,,,,,,,,
fitnah,fitnah,,,,,,,,,
fokus,fokus,,,,,,,,,
gagah,gagah,,,,,,,,,
gagal,gagal,,,,,,,,,
gampang,gampang,gampil,,,,,,,,
ganggu,ngganggu,,,,,,,,,
gaya,gaya,,,,,,,,,
gelap,peteng,,,,,,,,,
gentar,jirih,,,,,,,,,
gertak,nggetak,,,,,,,,,
gila,edan,gendheng,,,,,,,,
guncang,nggoyang,,,,,,,,,
guncangan,goyangan,,,,,,,,,
ha,ha,,,,,,,,,
habis,entek,telas,,,,,,,,
hal,bab,babagan,perkara,,,,,,,
hancur,ancur,ambyar,,,,,,,,
hantu,setan,memedi,,,,,,,,
harapan,pangarep,,,,,,,,,
harga,rega,,,,,,,,,
harta,bondho,,,,,,,,,
hasil,asil,,,,,,,,,
hati,ati,,,,,,,,,
hati-hati,ati-ati,ngatos-atos,,,,,,,,
hebat,hebat,,,,,,,,,
heboh,heboh,,,,,,,,,
heroik,heroik,,,,,,,,,
hidup,urip,,,,,,,,,
hilang,ilang,,,,,,,,,
hukum,ukum,,,,,,,,,
ikut,melu,tumut,,,,,,,,
ilham,ilham,,,,,,,,,
iman,iman,,,,,,,,,
indah,apik,,,,,,,,,
ingat,eling,,,,,,,,,
ingin,pengen,pengin,kepengen,,,,,,,
interogasi,introgasi,,,,,,,,,
isi,isi,,,,,,,,,
istimewa,istimewa,,,,,,,,,
jahat,ala,,,,,,,,,
jamin,jamin,,,,,,,,,
jatuh,tibo,jiglok,ceblok,,,,,,,
jawab,njawab,mangsuli,,,,,,,,
jaya,jaya,,,,,,,,,
jelas,nggenah,jelas,,,,,,,,
jelek,elek,ala,,,,,,,,
jenis,macem,,,,,,,,,
jual,dol,,,,,,,,,
kalah,kalah,,,,,,,,,
kalimat,kalimat,,,,,,,,,
kapal,kapal,,,,,,,,,
karya,karya,,,,,,,,,
kasihan,mesakne,,,,,,,,,
kaya,sugeh,sugih,,,,,,,,
keadilan,kaadilan,,,,,,,,,
keamanan,kaamanan,,,,,,,,,
kebaikan,kabecikan,,,,,,,,,
kebencian,kaalaan,,,,,,,,,
keberanian,kawaninan,,,,,,,,,
kebetulan,kapeneran,,,,,,,,,
kecewa,kuciwa,,,,,,,,,
kehancuran,kaancuran,,,,,,,,,
kehilangan,kelangan,,,,,,,,,
kejahatan,angkara,,,,,,,,,
kejam,kejem,,,,,,,,,
keji,ala,,,,,,,,,
kekayaan,kasugihan,,,,,,,,,
kekerasan,kekerasan,,,,,,,,,
kekuatan,kakuwatan,kekuwatan,,,,,,,,
kelaparan,kaliren,,,,,,,,,
keluar,metu,,,,,,,,,
kematian,pati,,,,,,,,,
kembali,bali,mbalik,,,,,,,,
kena,kena,kenek,,,,,,,,
kenal,kenal,tepang,,,,,,,,
kenyamanan,kanyamanan,,,,,,,,,
kepentingan,kapentingan,urusan,,,,,,,,
keras,atos,,,,,,,,,
keren,mbois,,,,,,,,,
kerugian,karugian,,,,,,,,,
kerusakan,karusakan,,,,,,,,,
kesalahan,kasalahan,,,,,,,,,
kesan,kesan,,,,,,,,,
kesempatan,kasempatan,,,,,,,,,
kesepian,kasepian,,,,,,,,,
kesulitan,kasulitan,kangelan,,,,,,,,
ketakutan,kawedhen,kewedhen,,,,,,,,
ketat,ketat,,,,,,,,,
ketegangan,kategangan,,,,,,,,,
kompak,kompak,,,,,,,,,
konflik,masalah,,,,,,,,,
konspirasi,konspirasi,,,,,,,,,
korban,korban,,,,,,,,,
korban jiwa,korban jiwa,,,,,,,,,
kosong,kosong,,,,,,,,,
kotor,reget,reged,,,,,,,,
kuat,kuwat,,,,,,,,,
kurang,kurang,kirang,,,,,,,,
kutuk,nyumpah,,,,,,,,,
kutukan,sumpah,,,,,,,,,
langgar,nglanggar,mblenjani,,,,,,,,
larang,nglarang,,,,,,,,,
larangan,larangan,,,,,,,,,
lawan,mungsuh,,,,,,,,,
layak,pantes,,,,,,,,,
lebih,luwih,,,,,,,,,
lebih baik,luwih apik,luwih sae,luwih becik,,,,,,,
lembut,lembut,,,,,,,,,
lengkap,jangkep,lengkap,,,,,,,,
lenyap,muspra,muspro,,,,,,,,
lewat,liwat,,,,,,,,,
lihat,ndelok,,,,,,,,,
lmao,Imao,,,,,,,,,
luar biasa,luar biasa,,,,,,,,,
lucu,lucu,,,,,,,,,
luka,tatu,,,,,,,,,
lupa,lali,,,,,,,,,
maaf,ngapunten,,,,,,,,,
mahal,larang,,,,,,,,,
mampu,iso,saget,mampu,,,,,,,
marah,nesu,,,,,,,,,
masalah,masalah,,,,,,,,,
mati,mati,sedho,modhar,mathek,,,,,,
mayat,mayit,,,,,,,,,
melakukan,nglakokake,nglakokne,nindakake,nindakne,,,,,,
melanggar,nglanggar,,,,,,,,,
melemahkan,nglemahne,,,,,,,,,
melindungi,nglindhungi,,,,,,,,,
melumpuhkan,nglumpuhne,nglumpuhake,,,,,,,,
memastikan,masthekake,masthekne,,,,,,,,
membahayakan,mbebayani,,,,,,,,,
membantu,mbiyantu,mbantu,,,,,,,,
membatalkan,mbatalne,mbatalake,,,,,,,,
membenci,nggethingi,nyengiti,,,,,,,,
membuka,mbukak,,,,,,,,,
membunuh,mateni,,,,,,,,,
memerangi,merangi,,,,,,,,,
mempertanyakan,nakokake,nakokne,nangleti,,,,,,,
memuji,ngalem,,,,,,,,,
menahan,nahan,,,,,,,,,
menanti,ngenteni,,,,,,,,,
menarik,narik,,,,,,,,,
mencurigakan,nyurigakne,nyurigakake,,,,,,,,
mendapatkan,ngentukake,ngentukne,,,,,,,,
menderita,nandhang sangsara,,,,,,,,,
mendoktrin,ngedoktrin,,,,,,,,,
mendorong,ndorong,nyurung,,,,,,,,
mendukung,ndhukung,,,,,,,,,
mendung,mendhung,,,,,,,,,
menembak,nembak,,,,,,,,,
menerima,nampa,nrimo,,,,,,,,
mengakui,ngakoni,,,,,,,,,
mengamankan,ngamanke,ngamanake,,,,,,,,
mengeluarkan,ngetokne,,,,,,,,,
mengembalikan,mbalekne,mbalekake,,,,,,,,
mengerikan,nggegirisi,,,,,,,,,
menghancurkan,ngancurke,ngancurake,ngancurne,,,,,,,
menghargai,ngajeni,ngregani,,,,,,,,
menghindari,ngindhari,,,,,,,,,
mengusir,ngusir,nguyak,nggusah,,,,,,,
mengutuk,ngutuk,,,,,,,,,
meninggal,sedo,,,,,,,,,
meningkatkan,ningkatne,ningkatake,,,,,,,,
menolak,nolak,,,,,,,,,
menunggu,nunggu,,,,,,,,,
menurunkan,ngedhunke,ngedhunake,,,,,,,,
menyadari,nyadhari,,,,,,,,,
menyalahkan,nyalahke,nyalahake,,,,,,,,
menyambut,nyambut,,,,,,,,,
menyebabkan,nyebabne,nyebabake,,,,,,,,
menyerang,nyerang,,,,,,,,,
menyeret,nyeret,,,,,,,,,
menyesatkan,nyesatne,nyesatake,,,,,,,,
menyita,nyita,,,,,,,,,
meragukan,ngragukne,ngragukake,,,,,,,,
meruntuhkan,ngruntuhne,ngruntuhake,,,,,,,,
minta,njaluk,nyuwun,,,,,,,,
minta maaf,njaluk ngapuro,njaluk pangapuro,,,,,,,,
miskin,mlarat,kere,,,,,,,,
moga,mugi,,,,,,,,,
muda,enom,,,,,,,,,
mudah,gampang,,,,,,,,,
muka,rai,pasuryan,,,,,,,,
mulia,mulya,,,,,,,,,
mundur,mundur,,,,,,,,,
murah,murah,mirah,,,,,,,,
murka,murka,,,,,,,,,
musuh,mungsuh,,,,,,,,,
nanti,engko,ngko,,,,,,,,
nekat,nekat,,,,,,,,,
neraka,neraka,,,,,,,,,
ngeri,ngeri,,,,,,,,,
ngerti,ngerti,ngertos,mangertos,,,,,,,
nilai,biji,nilai,,,,,,,,
oke,oke,,,,,,,,,
oleh,dening,,,,,,,,,
orang bodoh,uwong bodho,wong bodho,uwong goblok,wong goblok,,,,,,
pada,ning,ing,,,,,,,,
padat,padhet,,,,,,,,,
pahlawan,pahlawan,,,,,,,,,
palsu,palsu,,,,,,,,,
panas,panas,,,,,,,,,
panik,gupuh,geger,,,,,,,,
panjang,dhawa,dhowo,,,,,,,,
pantat,bokong,silit,,,,,,,,
parodi,parodi,,,,,,,,,
pasti,pesthi,,,,,,,,,
pecah,pecah,,,,,,,,,
peduli,peduli,,,,,,,,,
pelaku,pelaku,,,,,,,,,
pelaku kejahatan,pelaku angkara,,,,,,,,,
pembela,pambela,,,,,,,,,
pemberani,pamberani,,,,,,,,,
pemberontakan,pambrontakan,,,,,,,,,
penangkapan,panangkapan,,,,,,,,,
pendukung,panyengkuyung,pandhukung,,,,,,,,
penembakan,panembakan,,,,,,,,,
pengecut,jirihan,,,,,,,,,
pengunjung,para rawuh,pangunjung,tetamu,,,,,,,
penjara,penjara,,,,,,,,,
penting,penting,wigati,,,,,,,,
penuh,kebak,,,,,,,,,
penularan,panularan,,,,,,,,,
penyelamat,panyelamat,juruwilujeng,,,,,,,,
penyelidikan,panyelidikan,,,,,,,,,
perampok,maling,,,,,,,,,
perang,perang,,,,,,,,,
perasaan,pangrasa,,,,,,,,,
percaya,pracaya,percoyo,,,,,,,,
perdamaian,katentreman,,,,,,,,,
peringatan,pengetan,peringatan,,,,,,,,
perjuangan,perjuangan,,,,,,,,,
pertanyaan,pitakonan,,,,,,,,,
pertempuran,perang,,,,,,,,,
pikir,piker,,,,,,,,,
pintar,pinter,,,,,,,,,
populer,kondhang,,,,,,,,,
positif,positip,,,,,,,,,
potong,ngethok,motong,nugel,,,,,,,
puja,puja,,,,,,,,,
puji,puji,,,,,,,,,
pukul,nuthuk,menthung,nggebug,,,,,,,
pulih,waras,,,,,,,,,
pura,candhi,pura,,,,,,,,
pusing,mumet,cumleng,ngelu,,,,,,,
racun,racun,,,,,,,,,
rahmat,rohmat,,,,,,,,,
rampas,ngrampas,,,,,,,,,
ras,ras,,,,,,,,,
raya,raya,,,,,,,,,
rela,lila,,,,,,,,,
rindu,kangen,,,,,,,,,
runtuh,ambruk,,,,,,,,,
sadar,eling,,,,,,,,,
saham,saham,,,,,,,,,
sakit,lara,sakit,,,,,,,,
salah,salah,,,,,,,,,
salam,salam,,,,,,,,,
salut,nggumun,,,,,,,,,
sama,padha,karo,bareng,,,,,,,
samping,samping,,,,,,,,,
sangat,banget,,,,,,,,,
santai,santai,,,,,,,,,
sapa,nyapa,,,,,,,,,
saran,saran,,,,,,,,,
sayang,tresno,sayang,,,,,,,,
sebab,sabab,amarga,amargi,,,,,,,
sebut,nyebut,,,,,,,,,
sedih,sedhih,susah,dhuka,,,,,,,
segan,segen,,,,,,,,,
selamat,selamet,slamet,,,,,,,,
selesai,rampung,bar,bibar,,,,,,,
semangat,semangat,,,,,,,,,
sembunyi,ndelik,,,,,,,,,
semoga,moga-moga,muga-muga,mugi-mugi,,,,,,,
sempat,sempet,,,,,,,,,
senang,seneng,bungah,,,,,,,,
sendiri,dhewekan,piyambakan,,,,,,,,
senjata,gaman,gegaman,,,,,,,,
senyum,esem,,,,,,,,,
seperti,kaya,kadhos,,,,,,,,
sepi,sepi,,,,,,,,,
seragam,seragam,,,,,,,,,
seram,medeni,,,,,,,,,
serang,nyerang,,,,,,,,,
serangan,serangan,,,,,,,,,
serikat,serikat,,,,,,,,,
siap,siap,,,,,,,,,
sigap,sigap,cak-cek,,,,,,,,
silahkan,monggo,mangga,sumonggo,sumangga,,,,,,
simpati,simpati,,,,,,,,,
simpatik,simpatik,,,,,,,,,
solidaritas,solidaritas,,,,,,,,,
sopan,sopan,,,,,,,,,
stres,setres,,,,,,,,,
striker,striker,,,,,,,,,
suap,sogok,nyogok,,,,,,,,
suka,seneng,,,,,,,,,
sulit,angel,,,,,,,,,
super,super,,,,,,,,,
surga,suwarga,,,,,,,,,
susah,susah,angel,,,,,,,,
tabah,tabah,,,,,,,,,
tabrak,tabrak,,,,,,,,,
tahan,nahan,,,,,,,,,
tahanan,tahan,,,,,,,,,
tak kalah,ra kalah,,,,,,,,,
takut,wedi,,,,,,,,,
tanggung jawab,tanggung jawab,,,,,,,,,
tangis,tangis,,,,,,,,,
tangkap,tangkep,,,,,,,,,
tantangan,tantangan,,,,,,,,,
tanya,takon,takok,,,,,,,,
tegang,spaneng,,,,,,,,,
tegas,teges,,,,,,,,,
tembak,tembak,,,,,,,,,
tempur,tempur,,,,,,,,,
tenang,tenang,,,,,,,,,
tenggelam,klelep,,,,,,,,,
tentang,babagan,,,,,,,,,
tentu,tentu,mesthi,,,,,,,,
teramat,tenan,,,,,,,,,
terbesar,paling gedhe,,,,,,,,,
terbunuh,kabunuh,,,,,,,,,
terganggu,kaganggu,,,,,,,,,
tergantung,kagantung,gumantung,,,,,,,,
teriak,mbengok,,,,,,,,,
teriakan,bengokan,,,,,,,,,
terima,nrima,nampa,,,,,,,,
terima kasih,matur nuwun,matur suwun,,,,,,,,
terimakasih,maturnuwun,matursuwun,,,,,,,,
terkejut,kaget,,,,,,,,,
terkena,kena,,,,,,,,,
terluka,tatu,,,,,,,,,
teror,teror,,,,,,,,,
terpengaruh,kena pengaruh,,,,,,,,,
tersangka,tersangka,,,,,,,,,
tersinggung,kesinggung,,,,,,,,,
tertarik,kasengsem,kesengsem,ketarik,,,,,,,
tertentu,tartamtu,,,,,,,,,
tertinggal,keri,tertinggal,,,,,,,,
tidak,ora,mboten,,,,,,,,
tidak aman,ora aman,mboten aman,,,,,,,,
tinggal,manggon,,,,,,,,,
tingkat,tingkat,,,,,,,,,
tragedi,tragedi,,,,,,,,,
trauma,trauma,,,,,,,,,
tubuh,awak,raga,,,,,,,,
tuduhan,tuduhan,,,,,,,,,
tukang jualan,tukang dodolan,,,,,,,,,
tumpas,tumpas,,,,,,,,,
tunda,tundha,,,,,,,,,
tunggu,tunggu,,,,,,,,,
turun,medhun,,,,,,,,,
tutup,tutup,,,,,,,,,
uang,dhuwit,,,,,,,,,
untung,untung,,,,,,,,,
utuh,utuh,,,,,,,,,
wajib,wajib,,,,,,,,,
waspada,waspada,,,,,,,,,
wow,wah,,,,,,,,,
ya,yo,,,,,,,,,
yakin,yakin,,,,,,,,,
