,indonesian,toba_batak
145,bencana,sorimago
146,bencana,tona
147,benci,bias
148,benci,late
149,benci,pusu
150,benci,sogo
151,benci,sogo roha
152,berani,barani
153,berani,garang
154,berani,natodos
155,berani,pang
156,berani,tolap
157,berarti,maralapatan
158,berarti,mararti
159,berarti,marboho
160,berarti,sipat
161,berat,bandat
162,berat,bonton
163,berat,borat
164,berat,dokdok
165,berat,posa/posi
166,berbahaya,jorbut
167,berbahaya,manegai
168,berbahaya,manusai
169,berbahaya,marmara
170,berbahaya,sogir
171,berdarah,margota
172,berdarah,marmudar
173,berdoa,mangalompit tangan
174,berdoa,marmangmang
175,berdoa,martangiang
176,berdoa,martonggo
177,berduka,bonosan
178,berduka,marhabot
179,berduka,marhobot ni roha
180,berduka,marsak
181,berguna,hasea
182,berguna,marguna
183,berguna,marlaba
184,berguna,marlapatan
185,berguna,marmusmus
186,berguna,seang
187,berhak,marhak
188,berhak,marhuaso
189,berhak,marnampuna
190,berharap,mangarop
191,berharap,manghirim
192,berharap,martagan
193,berharap,tarhirim
194,beri,bagi
195,beri,lean
196,beri,lehon
197,beri,na
198,berkomitmen,marhapateon
199,berkomitmen,markomitmen
200,berkomitmen,marsitutu
201,berlebihan,marlobian
202,berlebihan,polobihu
203,berlebihan,rari
204,berlebihan,sumar
205,bermanfaat,mararti
206,bermanfaat,marguna
207,bermanfaat,marlapatan
208,bermanfaat,marnangon
209,bermanfaat,marniula
210,bermanfaat,marpangke
211,bermanfaat,marsauli
212,bersaing,maralo
213,bersaing,marlumba
214,bersaing,marsaing
215,bersaing,marsiallangan roha
216,bersama,impi
217,bersama,pungu
218,bersama,rap
219,bersama,renta
220,bersama,sarappak
221,bersama,udur
222,bersedih,malungun
223,bersedih,mandangol
224,bersedih,marbonsa
225,bersedih,marlungun roha
226,bersedih,marsak
227,bersembunyi,mangindung
228,bersembunyi,mangirput
229,bersembunyi,martabuni
230,bersembunyi,monggop
231,bersorak,marjoi
232,bersorak,marsorak
233,bersorak,marsurahi
234,bersorak,marsurak
235,besar,balga
236,besar,baltuk
237,besar,bolon
238,besar,heba
239,besar,jonggi
240,besar,tolmok
241,biadab,biadap
242,biadab,dorodo
243,biadab,na so paho
244,biadab,pasul
245,biaya,biaya
246,biaya,hepeng
247,biaya,ongkos
248,biaya,seo
249,bingung,bojok
250,bingung,longang
251,bingung,momar
252,bodoh,bobang
253,bodoh,dodong
254,bodoh,loak
255,bodoh,oto
256,bodoh,ridom
257,bodoh,somalo
258,bohong,mamorso
259,bohong,mangajuk
260,bohong,margabus
261,bohong,marganjang dila
262,bohong,margapgap
263,bom,bom
264,buka,bambang
265,buka,buka
266,buka,bukka
267,buka,talak
268,buka,ungkap
269,bunga,bunga
270,bunga,mutik
271,bungkam,derem
272,bungkam,hohom
273,bungkam,ngungu
274,bungkam,sip
275,bungkam,tutup
276,bunuh,bonomhon
277,bunuh,pamate
278,bunuh,pusa
279,bunuh diri,maningkot
280,buruk,buruk
281,buruk,dae
282,buruk,jombing
283,buruk,roa
284,buruk,sambor
285,buta,mapitung
286,buta,peltong
287,buta,pitung
288,buta,rambon
289,cantik,bagak
290,cantik,lehet
291,cantik,santik
292,cantik,uli
293,capai,dapot
294,capai,dungdung
295,capai,ngaet
296,capai,sahat
297,capai,saut
298,cari,diori
299,cari,lului
300,cari,mangalului
301,cari,sigat
302,cedera,cedera
303,cedera,mabungang
304,cedera,marmara
305,cedera,tararit
306,cegah,ambat
307,cegah,ontap
308,cegah,otap
309,cegah,sundati
310,cemas,cemas
311,cemas,lomos
312,cemas,marhusari
313,cepat,gira
314,cepat,hatop
315,cepat,hojot
316,cepat,hudus
317,cepat,jalo
318,cepat,ligat
319,cepat,sigop tokkin
320,cepat,tibu
321,cerdas,bisuk
322,cerdas,malo
323,cerdas,pistar
324,cinta,holong
325,cinta,sinta
326,cium,umma
327,cocok,cocok
328,cocok,soksok
329,cocok,tangkup
330,cocok,tongon
331,cocok,une
332,copet,bandit
333,copet,copet
334,copet,panakko
335,damai,dame
336,damai,demak
337,damai,menak
338,damai,tompul
339,dapat,dapot
340,dapat,dohar
341,dapat,jumpang
342,dapat,tolap
343,daya,gogo
344,daya,golle
345,diabaikan,dang diparrohahon
346,diabaikan,dilaoshon
347,diabaikan,dipasombu
348,diam,derem
349,diam,hohom
350,diam,ngungu
351,diam,sip
352,diancam,diancam
353,diancam,diasup
354,diancam,diasupi
355,diancam,diondam
356,dibersihkan,dibasu
357,dibersihkan,diburi
358,dibersihkan,dilusak
359,dibersihkan,dipaias
360,dicuri,dibandit
361,dicuri,dibuat
362,dicuri,ditangko
363,dihukum,diban
364,dihukum,dihukum
365,dihukum,diuhum
366,dikalahkan,dipatalu
367,dikalahkan,ditaluhon
368,dikalahkan,patu
369,dipercaya,dihaporseai
370,dipercaya,diparhatutu
371,dipermalukan,dipaila
372,dipermalukan,dipaurak
373,dipermalukan,murak
374,dipertanyakan,dipasukkunhon
375,dipertanyakan,disungkun-sungkun
376,diprovokasi,di elaela
377,diprovokasi,dipabada-bada
378,diprovokasi,dipabadabada
379,disebut-sebut,didok-dok
380,disebut-sebut,didokhon-dokhon
381,disebut-sebut,digoar-goari
382,ditakuti,dihabiari
383,ditakuti,ditahuti
384,ditangkap,ditangkup
385,diteror,dijongiri
386,diteror,dijungkati
387,diteror,diteror
388,ditinggalkan,dipanaek
389,ditinggalkan,ditadinghon
390,ditinggalkan,ditinggalhon
391,ditingkatkan,dipadenggan
392,ditingkatkan,ditingkathon
393,dituduh,ditudu
394,ditunda,diambati
395,ditunda,dipaso
396,ditunda,disundati
397,doa,tangiang
398,doktrin,doktrin
399,doktrin,pangajaran
400,duka,arsak
401,duka,bonos
402,duka,habot
403,duka,hobot
404,duka,lungun
405,dukung,dukung
406,dukung,galang
407,dukung,olop
408,dukung,rait
409,dukungan,dukungan
410,dukungan,galangan
411,dukungan,olopan
412,dukungan,raitan
413,efektif,efektif
414,efektif,tulbas
415,eksklusif,aksklusif
416,eksklusif,hoding
417,eksklusif,sudung
418,empati,mangulahon
419,empati,marroha
420,fitnah,asung
421,fitnah,fitna
422,fitnah,leai
423,fitnah,salik
424,fokus,diparrohahon
425,fokus,fokus
426,fokus,tulus
427,gagah,botang
428,gagah,gagah
429,gagah,jogi
430,gagah,togos
431,gagal,gagal
432,gagal,ganjal
433,gagal,sundat
434,gampang,gampang
435,gampang,mura
436,gampang,rondang
437,ganggu,ganggu
438,ganggu,guga
439,ganggu,lola
440,gaya,eol
441,gaya,gaya
442,gaya,pangeol
443,gaya,parmahemahe
444,gelap,golap
445,gelap,holom
446,gelap,lintom
447,gelap,lomlom
448,gelap,pojam
449,gentar,hordit
450,gentar,mabiar
451,gentar,manghahitir
452,gertak,ogap
453,gertak,ondam
454,gertak,ordit
455,gertak,organg
456,gila,rintik
457,gila,rittik
458,gila,sedeng
459,gila,senu
460,guncang,huntal
461,guncang,hutur
462,guncang,lunsang
463,guncang,unjal
464,guncangan,guncangan
465,guncangan,gunsangan
466,guncangan,huntalan
467,guncangan,lunsangan
468,guncangan,unjalan
469,ha,ha
470,habis,habis
471,habis,job
472,habis,rumar
473,habis,sae
474,habis,suda
475,habis,sun
476,habis,timpas
477,hal,bongka
478,hal,hal
479,hal,taringot
480,hancur,deder
481,hancur,gopu
482,hancur,lala
483,hancur,langke
484,hancur,maropuk
485,hancur,rage
486,hancur,rase
487,hancur,ropang
488,hancur,sarsar
489,hancur,sega
490,hantu,begu
491,harapan,asangasang
492,harapan,bagabaga
493,harapan,haropan
494,harapan,hiriman
495,harapan,panghirimon
496,harapan,tagaman
497,harga,arga
498,harga,asam
499,harta,arta
500,harta,pinungka
501,harta,siadongan
502,harta,sinamot
503,hasil,abak
504,hasil,gogo
505,hasil,omo
506,hasil,parbue
507,hati,ate-ate
508,hati,roha
509,hati-hati,manat-manat
510,hati-hati,nanget-nanget
511,hati-hati,parateatehon
512,hati-hati,parrohahon
513,hebat,bongak
514,hebat,hebat
515,hebat,jago
516,hebat,jebu
517,heboh,heba
518,heboh,heboh
519,heboh,hoga
520,heboh,sobu
521,heroik,heroik
522,heroik,jago
523,hidup,mangolu
524,hidup,ngolu
525,hidup,ngoulu
526,hidup,ubung
527,hilang,linop
528,hilang,mago
529,hilang,mapisik
530,hukum,paminsangon
531,hukum,patik
532,hukum,uhum
533,ikut,dohot
534,ikut,ihut
535,ikut,olo
536,ilham,ilham
537,iman,haporseaon
538,indah,bagak
539,indah,denggan
540,indah,uli
541,ingat,dang lupa
542,ingat,ingot
543,ingin,giot
544,ingin,hirim
545,ingin,naeng
546,ingin,olo
547,interogasi,manukkuni
548,interogasi,pamaresoon
549,interogasi,sukkunsukkun
550,isi,impola
551,isi,isi
552,istimewa,hoding
553,istimewa,istimewa
554,istimewa,poling
555,istimewa,pulik
556,istimewa,sudung
557,jahat,jahat
558,jahat,jungkat
559,jahat,roa
560,jahat,tangkang
561,jamin,borot
562,jamin,hangkung
563,jamin,jamin
564,jatuh,ambal
565,jatuh,dabu
566,jatuh,dekdek
567,jatuh,madabu
568,jatuh,ompas
569,jatuh,peut
570,jatuh,sabur
571,jatuh,timpal
572,jawab,alus
573,jawab,alusi
574,jawab,pangalusion
575,jaya,jaya
576,jaya,marbungaran
577,jaya,ramot
578,jelas,hantus
579,jelas,jelas
580,jelas,nalnal
581,jelas,talpak
582,jelas,tangkas
583,jelas,teda
584,jelas,tedak
585,jelek,dae
586,jelek,jorbut
587,jelek,roa
588,jelek,tulasik
589,jenis,mansam
590,jenis,ragam
591,jenis,rombang
592,jenis,rumang
593,jual,gadis
594,jual,tigatigahon
595,kalah,talu
596,kalimat,kalimat
597,kalimat,pandohan
598,kapal,kapal
599,kapal,parau
600,kapal,solu
601,karya,karya
602,karya,siaptupaon
603,karya,sibahen-bahen
604,karya,ulaon
605,kasihan,asi roha
606,kasihan,bansor
607,kasihan,dabu roha
608,kasihan,maras
609,kaya,mamora
610,kaya,manduma
611,kaya,maradong
612,kaya,mora
613,kaya,nagabe
614,keadilan,haadilon
615,keadilan,hatigoran
616,keadilan,hatingkosan
617,keamanan,haamanon
618,keamanan,hadameon
619,keamanan,hasonangon
620,kebaikan,dengganbasa
621,kebaikan,haburjuon
622,kebaikan,hadengganon
623,kebaikan,halehetan
624,kebencian,biasbias
625,kebencian,hasogoon
626,kebencian,hasosogo ni roha
627,keberanian,habeguon
628,keberanian,hagarangan
629,keberanian,hagarangon
630,keberanian,hapuragaan
631,kebetulan,martongontongon
632,kebetulan,sitoha
633,kebetulan,tarsor
634,kebetulan,topettopet
635,kecewa,balging
636,kecewa,barjing
637,kecewa,manarita
638,kecewa,marsak
639,kecewa,sarita
640,kehancuran,hagenoon
641,kehancuran,hasesega
642,kehilangan,agoago
643,kehilangan,agoan
644,kehilangan,hamagoan
645,kehilangan,hamagoon
646,kejahatan,hajahaaton
647,kejahatan,hajahaton
648,kejahatan,hajukkaton
649,kejam,jahat
650,kejam,jongir
651,kejam,jungkat
652,kejam,kejam
653,keji,jungkat
654,keji,keji
655,keji,lea
656,kekayaan,haadongan
657,kekayaan,hagabean
658,kekayaan,hamoraon
659,kekayaan,parartaon
660,kekayaan,sinamot
661,kekerasan,kekerasan
662,kekerasan,marlao tangan
663,kekerasan,pandoboon
664,kekuatan,hagogoan
665,kekuatan,hagogoon
666,kekuatan,nosan
667,kekuatan,toga
668,kelaparan,haleon
669,kelaparan,handoruson
670,kelaparan,hangar
671,kelaparan,haraparon
672,kelaparan,kelaparan
673,keluar,harhar
674,keluar,haruar
675,keluar,kaluar
676,keluar,mullop
677,keluar,pullit
678,keluar,ruar
679,kematian,hamamate
680,kematian,hamatean
681,kembali,mulak
682,kembali,mundar
683,kembali,ro
684,kembali,suang
685,kena,dai
686,kena,hona
687,kena,tipa
688,kenal,tanda
689,kenyamanan,haamanon
690,kenyamanan,hamenakon
691,kenyamanan,hataboon
692,kepentingan,haporluan
693,kepentingan,haringkoton
694,keras,jogal
695,keras,karas
696,keras,pang
697,keras,pir
698,keren,bagak
699,keren,bongak
700,keren,jago
701,keren,keren
702,keren,legan
703,keren,mantap
704,kerugian,harugian
705,kerugian,harugion
706,kerusakan,hagenoon
707,kerusakan,hasegaon
708,kerusakan,hasesega
709,kesalahan,hasalaan
710,kesalahan,pipot
711,kesalahan,sala
712,kesan,siingoton
713,kesempatan,kesempatan
714,kesempatan,partikkian
715,kesempatan,tampahan
716,kesepian,hapunjungan
717,kesepian,longolongoan
718,kesepian,lungunan
719,kesulitan,hagogotan
720,kesulitan,hamaolon
721,kesulitan,hasusaan
722,kesulitan,parungkilon
723,ketakutan,biahaton
724,ketakutan,habiaran
725,ketakutan,lomos
726,ketakutan,mabiar
727,ketakutan,mangkahitir
728,ketat,ketat
729,ketat,poltik
730,ketat,tangging
731,ketat,tanggir
732,ketegangan,hategangon
733,ketegangan,mandenggal
734,ketegangan,marsitoltol
735,kompak,domu
736,kompak,kompak
737,kompak,renta
738,kompak,rimpa
739,kompak,sauduran
740,konflik,jea
741,konflik,masala
742,konflik,paraloan
743,konflik,parbadaan
744,konspirasi,konspirasi
745,konspirasi,pamingkirion
746,korban,korban
747,korban jiwa,korban jiwa
748,korban jiwa,na hona
749,korban jiwa,na mate
750,kosong,kosong
751,kosong,langa
752,kosong,lapung
753,kosong,luang
754,kosong,rumar
755,kotor,dorsum
756,kotor,hodar
757,kotor,jorok
758,kotor,rotak
759,kotor,samuk
760,kuat,beteng
761,kuat,gogo
762,kuat,jogi
763,kuat,pang
764,kurang,alang
765,kurang,hurang
766,kurang,moru
767,kutuk,asup
768,kutuk,bura
769,kutuk,kutuk
770,kutuk,paniala
771,kutuk,pulas
772,kutuk,sapata
773,kutukan,asupan
774,kutukan,buraan
775,kutukan,kutukan
776,kutukan,marsapata
777,kutukan,panialaan
778,kutukan,pulasan
779,langgar,langgar
780,langgar,ranggar
781,langgar,tombom
782,larang,oraan
783,larang,orai
784,larang,pissang
785,larangan,naso siulaon
786,larangan,oraan
787,larangan,pissangan
788,lawan,alo
789,lawan,bada
790,lawan,musu
791,layak,layak
792,layak,patut
793,layak,suman
794,layak,tama
795,lebih,andul
796,lebih,lobi
797,lebih,lumobi
798,lebih,um
799,lebih baik,dumenggan
800,lebih baik,nadumenggan
801,lebih baik,tagonan
802,lebih baik,tumagon
803,lembut,gabur
804,lembut,gamir
805,lembut,lambok
806,lembut,lemes
807,lengkap,impi
808,lengkap,lengkap
809,lengkap,pungu
810,lengkap,renta
811,lengkap,singkop
812,lenyap,impas
813,lenyap,lenyap
814,lenyap,lintom
815,lenyap,lonop
816,lenyap,suda
817,lewat,bolus
818,lewat,langkap
819,lewat,laos
820,lewat,lewat
821,lihat,bereng
822,lihat,ida
823,lihat,tatap
824,lihat,tinggkir
825,lmao,0
826,luar biasa,luar biasa
827,luar biasa,na sumalim
828,lucu,erget
829,lucu,gait
830,lucu,geok
831,lucu,lucu
832,luka,arit
833,luka,bugang
834,luka,luka
835,luka,raprap
836,lupa,lalap
837,lupa,lalus
838,lupa,lupa
839,lupa,silap
840,maaf,maaf
841,maaf,maap
842,maaf,santabi
843,mahal,arga
844,mahal,arga hian
845,mampu,boi
846,mampu,bolas
847,mampu,pang
848,mampu,tolap
849,marah,biraon
850,marah,muruk
851,marah,rimas
852,marah,sitik
853,marah,tombos
854,masalah,jea
855,masalah,masala
856,mati,mate
857,mati,mintop
858,mati,pidor
859,mayat,bakke
860,mayat,bangke
861,melakukan,mambahen
862,melakukan,mangulahon
863,melakukan,patupahon
864,melanggar,mangalanggar
865,melanggar,mangalaosi
866,melanggar,manombom
867,melemahkan,manggalehon
868,melemahkan,pagalehon
869,melindungi,mangalindungi
870,melindungi,mangalinggomi
871,melindungi,mangamoti
872,melindungi,mangarajai
873,melindungi,merorot
874,melumpuhkan,mangpangpanghon
875,melumpuhkan,palumpuhon
876,memastikan,mamastihon
877,memastikan,mamatehon
878,memastikan,patandashon
879,memastikan,patangkashon
880,membahayakan,mambahayahon
881,membahayakan,manegai
882,membahayakan,mansalai
883,membantu,mambantu
884,membantu,mangurupi
885,membantu,manumpahi
886,membantu,manumpak
887,membatalkan,mambatalhon
888,membatalkan,manundati
889,membatalkan,pasundathon
890,membenci,mambenci
891,membenci,manghasogo
892,membenci,mansogohon
893,membenci,marbias
894,membuka,mambuha
895,membuka,mambuka
896,membuka,mamuha
897,membuka,patalakhon
898,membunuh,mamuje
899,membunuh,mamunu
900,membunuh,mamusa
901,membunuh,manikam
902,membunuh,pamatehon
903,memerangi,mamorangi
904,memerangi,mamusui
905,memerangi,mandopang
906,memerangi,mangalo
907,memerangi,paaloalo
908,mempertanyakan,manungkunhon
909,mempertanyakan,marpanukkun
910,mempertanyakan,marpanungkun
911,memuji,mamanggar
912,memuji,mamuji
913,memuji,mangedung
914,menahan,mamalang
915,menahan,mameop
916,menahan,manahan
917,menahan,manaon
918,menahan,tumaon
919,menanti,mampaima
920,menanti,managam
921,menanti,manghirim
922,menanti,paimahon
923,menanti,paintehon
924,menarik,manarik
925,menarik,mangait
926,menarik,manittak
927,mencurigakan,mancurigahon
928,mencurigakan,manihai
929,mendapatkan,mandapothon
930,mendapatkan,manopothon
931,mendapatkan,tumopot
932,menderita,manaon
933,menderita,manarita
934,menderita,mangae
935,menderita,mardangol
936,menderita,marsingkor
937,mendoktrin,mandoktrin
938,mendoktrin,mangajari
939,mendoktrin,mangarahon
940,mendorong,mandorong
941,mendorong,mangapoi
942,mendorong,mangonjar
943,mendorong,manorong
944,mendukung,mandukung
945,mendukung,mangangkupi
946,mendukung,manggalang
947,mendukung,maniolopi
948,mendung,habot
949,mendung,hobot
950,mendung,marhobot
951,mendung,mendung
952,menembak,manembak
953,menerima,mangolophon
954,menerima,manjakkon
955,menerima,manjalo
956,mengakui,mangakui
957,mengakui,manghatingkoshon
958,mengakui,manopoti
959,mengamankan,mangamnhon
960,mengamankan,padamehon
961,mengamankan,pasonanghon
962,mengeluarkan,paharuarhon
963,mengeluarkan,pakaluarhon
964,mengembalikan,manulak
965,mengembalikan,pasuanghon
966,mengembalikan,paulakhon
967,mengerikan,marnajorbut
968,mengerikan,marnapotir
969,mengerikan,ngeri hian
970,menghancurkan,manegai
971,menghancurkan,mangago
972,menghancurkan,manggopu
973,menghancurkan,manghancurhon
974,menghargai,mangaloi
975,menghargai,pajagarhon
976,menghargai,pasangaphon
977,menghindari,mandao
978,menghindari,martabuni
979,menghindari,menghindari
980,menghindari,pasidinghon
981,mengusir,mangalele
982,mengusir,mangusir
983,mengusir,pabali
984,mengusir,palaohon
985,mengutuk,magutuk
986,mengutuk,mamburai
987,mengutuk,mamurai
988,mengutuk,mangasupi
989,mengutuk,manumpahi
990,meninggal,marujung
991,meninggal,mate
992,meninggal,tirdong
993,meninggal,tos
994,meningkatkan,manaekhon
995,meningkatkan,manaikhon
996,meningkatkan,marnakkokhon
997,meningkatkan,panaikhon
998,menolak,manalushon
999,menolak,manjua
1000,menolak,manolak
1001,menolak,manulak
1002,menolak,marmaling
1003,menolak,tiala
1004,menunggu,managam
1005,menunggu,manomunomu
1006,menunggu,paimahon
1007,menunggu,paintehon
1008,menurunkan,paijurhon
1009,menurunkan,patuathon
1010,menurunkan,paturunhon
1011,menyadari,mansadari
1012,menyadari,manyadari
1013,menyalahkan,mansalahon
1014,menyalahkan,pabalihon
1015,menyalahkan,tiala
1016,menyambut,mangjanghon
1017,menyambut,mangolophon
1018,menyambut,manomu
1019,menyambut,manomunomu
1020,menyambut,marolop
1021,menyebabkan,mambahen
1022,menyebabkan,manghabingkashon
1023,menyebabkan,manghorhon
1024,menyerang,mamorang
1025,menyerang,manaroso
1026,menyerang,mangarompak
1027,menyerang,mangaronron
1028,menyeret,manarat
1029,menyeret,maneret
1030,menyesatkan,paliluhon
1031,menyesatkan,pasesathon
1032,menyita,manangsi
1033,menyita,manita
1034,menyita,manyita
1035,meragukan,manangsihon
1036,meragukan,mangaraguhon
1037,meruntuhkan,mangaroppakhon
1038,meruntuhkan,manurturi
1039,minta,jalo
1040,minta,pangida
1041,minta,pangido
1042,minta maaf,mangido maaf
1043,minta maaf,manjalo maaf
1044,miskin,bile
1045,miskin,marpogos
1046,miskin,pogos
1047,moga,anggiat
1048,muda,bajar
1049,muda,danak
1050,muda,muda
1051,muda,poso
1052,mudah,ambung
1053,mudah,momo
1054,mudah,mura
1055,muka,bohi
1056,muka,muko
1057,mulia,badia
1058,mulia,parbadia
1059,mulia,sangap
1060,mulia,songkal
1061,mulia,tongam
1062,mundur,mundur
1063,mundur,sumurut
1064,mundur,sundar
1065,mundur,surut
1066,murah,mura
1067,murka,laga
1068,murka,muruk
1069,murka,rimas
1070,musuh,alo
1071,musuh,hosom
1072,musuh,musu
1073,musuh,sanding
1074,musuh,tihus
1075,nanti,annong
1076,nanti,anongan
1077,nanti,paima
1078,nanti,painte
1079,nekat,manuntun lomo
1080,nekat,nekat
1081,neraka,api narokko
1082,neraka,narokko
1083,ngeri,jongir
1084,ngeri,jorbut
1085,ngeri,ngeri
1086,ngeri,sabi
1087,ngerti,antusi
1088,ngerti,diantusi
1089,ngerti,diboto
1090,nilai,nilai
1091,nilai,punten
1092,oke,ok
1093,oke,oke
1094,oleh,ala
1095,oleh,angkup
1096,oleh,marhite
1097,oleh,oleh
1098,oleh,sian
1099,orang bodoh,jolma na bodok
1100,orang bodoh,jolma na oto
1101,orang bodoh,naoto
1102,pada,di
1103,pada,marna
1104,pada,pada
1105,pada,tu
1106,padat,gok
1107,padat,padat
1108,padat,sosot
1109,padat,suksuk
1110,padat,tabun
1111,pahlawan,pahlawan
1112,pahlawan,pangulima
1113,pahlawan,ulubalang
1114,palsu,lipe
1115,palsu,palsu
1116,palsu,pargapgap
1117,palsu,sambar
1118,panas,gorgor
1119,panas,las
1120,panas,milas
1121,panas,mohop
1122,panik,kahitir
1123,panik,lomos
1124,panik,panik
1125,panjang,ganjang
1126,panjang,landi
1127,pantat,ihur
1128,pantat,tambon
1129,parodi,mangehet
1130,parodi,maniru
1131,parodi,manuman
1132,parodi,parodi
1133,pasti,ikkon
1134,pasti,ondol
1135,pasti,pasti
1136,pasti,pate
1137,pasti,tangkas
1138,pasti,tingkos
1139,pasti,toho
1140,pasti,tutu
1141,pecah,bilhak
1142,pecah,bola
1143,pecah,maputtar
1144,pecah,ponsa
1145,pecah,pussa
1146,pecah,puttas
1147,pecah,ropuk
1148,pecah,sarsar
1149,peduli,anture
1150,peduli,parduli
1151,peduli,peduli
1152,peduli,sari
1153,pelaku,namambahen
1154,pelaku,pangula
1155,pelaku kejahatan,namambahen hajahaton
1156,pelaku kejahatan,parjehe
1157,pembela,pangampini
1158,pembela,panuturi
1159,pembela,pengampin
1160,pemberani,nagarang
1161,pemberani,pambarani
1162,pemberani,pargarang
1163,pemberani,parpuraga
1164,pemberontakan,pamberontak
1165,pemberontakan,pamborontak
1166,pemberontakan,pangalo
1167,penangkapan,panangkupon
1168,pendukung,pandukung
1169,pendukung,panggalan
1170,pendukung,situmpak
1171,penembakan,panembakon
1172,pengecut,bargak
1173,pengecut,parbargak
1174,pengecut,pengecut
1175,pengecut,siinaina
1176,pengunjung,jolma na ro
1177,pengunjung,pandulo
1178,pengunjung,partandang
1179,penjara,hurungan
1180,penjara,penjara
1181,penting,marboho
1182,penting,porlu
1183,penting,ringkot
1184,penuh,gok
1185,penuh,sirnip
1186,penuh,sorat
1187,penuh,suksuk
1188,penularan,pambalian
1189,penularan,penularan
1190,penyelamat,panolong
1191,penyelamat,penyelamat
1192,penyelamat,sipalua
1193,penyelidikan,pamaresoon
1194,penyelidikan,penyelidikan
1195,penyelidikan,unungunung
1196,perampok,panamun
1197,perampok,panangko
1198,perampok,pangarampok
1199,perampok,pangarompak
1200,perang,bada
1201,perang,parmusuon
1202,perang,porang
1203,perasaan,ateate
1204,perasaan,parniaean
1205,perasaan,parrohaon
1206,perasaan,taratara
1207,percaya,nop
1208,percaya,porsea
1209,percaya,pos
1210,percaya,team
1211,perdamaian,pardamean
1212,perdamaian,pardengganon
1213,peringatan,paingothon
1214,peringatan,parningotan
1215,peringatan,sipaingot
1216,perjuangan,parjuangan
1217,perjuangan,perjuangan
1218,pertanyaan,muningan
1219,pertanyaan,sukkunsukkun
1220,pertanyaan,sukun-sukun
1221,pertempuran,paporangan
1222,pertempuran,paraloan
1223,pertempuran,partompuron
1224,pertempuran,partontangan
1225,pikir,angkal
1226,pikir,pikir
1227,pikir,pikkir
1228,pikir,sari
1229,pintar,bistok
1230,pintar,bisuk
1231,pintar,malo
1232,pintar,pande
1233,populer,tarbarita
1234,populer,tarsar
1235,positif,denggan
1236,positif,positif
1237,potong,gatip
1238,potong,ponggol
1239,puja,puja
1240,puja,somba
1241,puji,hapian
1242,puji,panggar
1243,puji,puji
1244,pukul,albang
1245,pukul,balbal
1246,pukul,doltuk
1247,pukul,lipat
1248,pukul,lombut
