,indonesian,sundanese
320,heroik,heroik
321,hidup,hirup
322,hilang,ical
323,hilang,lapur
324,hilang,leungit
325,hukum,hukum
326,ikut,milu
327,ikut,ngiring
328,ilham,ilham
329,iman,iman
330,indah,endah
331,ingat,emut
332,ingat,inget
333,ingin,arek
334,ingin,bade
335,ingin,hayang
336,ingin,hoyong
337,interogasi,interogasi
338,interogasi,tarosan
339,isi,eusi
340,istimewa,istimewa
341,istimewa,istimiwa
342,jahat,durjana
343,jahat,jahat
344,jamin,jamin
345,jamin,tandon
346,jatuh,geubis
347,jatuh,labuh
348,jatuh,murag
349,jawab,jawab
350,jawab,nembal
351,jawab,tembal
352,jawab,waler
353,jaya,jaya
354,jelas,jentre
355,jelek,awon
356,jelek,butut
357,jelek,goreng
358,jenis,jinis
359,jenis,rupi
360,jual,ical
361,kalah,eleh
362,kalah,kawon
363,kalimat,kalimah
364,kalimat,kalimat
365,kapal,kapal
366,karya,karya
367,kasihan,karunya
368,kasihan,watir
369,kaya,bagja
370,kaya,beunghar
371,keadilan,kaadilan
372,keamanan,kaamanan
373,kebaikan,kaalusan
374,kebaikan,kebaikan
375,kebencian,kaceuceuban
376,kebencian,kebencian
377,keberanian,kawani
378,keberanian,kawanian
379,keberanian,kawantun
380,kebetulan,kabeneran
381,kebetulan,kaleresan
382,kebetulan,kaleureusan
383,kecewa,kuciwa
384,kehancuran,kaancuran
385,kehancuran,kahancuran
386,kehilangan,kahilangan
387,kehilangan,kaicalan
388,kehilangan,kalapuran
389,kehilangan,kaleungitan
390,kejahatan,kajahatan
391,kejam,kejam
392,kejam,telenges
393,keji,keji
394,keji,telenges
395,kekayaan,kabagjaan
396,kekayaan,kabeungharan
397,kekerasan,kakerasan
398,kekerasan,kekerasan
399,kekuatan,kakiatan
400,kekuatan,kakuatan
401,kelaparan,kalaparan
402,keluar,kaluar
403,kematian,kamatian
404,kematian,maot
405,kematian,pupus
406,kembali,balik
407,kembali,mulih
408,kena,beunang
409,kena,keuna
410,kenal,apal
411,kenal,wawuh
412,kenyamanan,kamerenahan
413,kenyamanan,merenahna
414,kepentingan,kapentingan
415,keras,heuras
416,keras,teuas
417,keren,ajib
418,keren,alus
419,keren,keren
420,keren,sae
421,kerugian,buntung
422,kerugian,karugelan
423,kerugian,karugian
424,kerusakan,karajetan
425,kerusakan,kareksakan
426,kerusakan,karuksakan
427,kesalahan,kalepatan
428,kesalahan,kasalahan
429,kesan,kesan
430,kesempatan,kasempetan
431,kesepian,kesepian
432,kesepian,tiiseun
433,kesulitan,kahese
434,kesulitan,kasesahan
435,kesulitan,kasulitan
436,ketakutan,kasieunan
437,ketakutan,katakutan
438,ketat,heureut
439,ketat,ketat
440,ketegangan,karangkengan
441,ketegangan,kategangan
442,kompak,kompak
443,konflik,konflik
444,konflik,selisih
445,konspirasi,konspirasi
446,konspirasi,sakongkol
447,korban,korban
448,korban,korban 
449,korban,wadal
450,korban jiwa,korban jiwa
451,kosong,euweuh
452,kosong,kopong
453,kosong,kosong
454,kosong,lowong
455,kotor,bagedur
456,kotor,balewuh
457,kotor,kotor
458,kuat,kiat
459,kurang,kirang
460,kutuk,kutuk
461,kutuk,laknat
462,kutukan,kutukan
463,langgar,langgar
464,langgar,rempak
465,larang,caram
466,larang,larang
467,larang,pantang
468,larangan,larangan
469,larangan,pantangan
470,lawan,lawan
471,layak,pantes
472,lebih,langkung
473,lebih,leuwih
474,lebih baik,langkung sae
475,lebih baik,leuwih sae
476,lebih baik,lewih alus
477,lembut,halus
478,lembut,lembut
479,lengkap,komplit
480,lengkap,lengkap
481,lengkap,lengkep
482,lenyap,lapur
483,lenyap,leungit
484,lenyap,ngilang
485,lewat,langkung
486,lewat,liwat
487,lihat,deuleu
488,lihat,nembo
489,lihat,nempo
490,lihat,ningali
491,lihat,tempo
492,lihat,tenjo
493,lihat,tingal
494,lmao,barakatak
495,lmao,ceuceuleukeuteukan
496,luar biasa,luar biasa
497,lucu,lucu
498,luka,bareuh
499,luka,luka
500,lupa,hilap
501,lupa,poho
502,maaf,hampura
503,maaf,hapunteun
504,maaf,punten
505,mahal,awis
506,mampu,kaduga
507,mampu,mampu
508,marah,ambek
509,masalah,ihwal
510,masalah,masalah
511,mati,maot
512,mati,modar
513,mati,ngantunkeun
514,mati,paeh
515,mati,pupus
516,mayat,layon
517,mayat,mayit
518,melakukan,ngadamel
519,melakukan,ngalakukeun
520,melanggar,ngalanggar
521,melanggar,ngarempak
522,melemahkan,ngalemahkeun
523,melindungi,nangtayungan
524,melumpuhkan,ngalumpuhkeun
525,memastikan,mastikeun
526,membahayakan,ngabahayakeun
527,membahayakan,picilakaeun
528,membantu,ngabantos
529,membantu,ngabantu
530,membatalkan,ngabatalkeun
531,membatalkan,ngabedo
532,membatalkan,ngabolay
533,membenci,ceuceub
534,membenci,ngabenci
535,membenci,ngijidan
536,membuka,muka
537,membuka,ngabuka
538,membunuh,maehan
539,membunuh,ngabunuh
540,memerangi,memerangi
541,memerangi,merangan
542,mempertanyakan,dipikataros
543,mempertanyakan,nanyakeun
544,mempertanyakan,naroskeun
545,memuji,muji
546,menahan,nahan
547,menanti,ngadagoan
548,menanti,ngagentos
549,menanti,nungguan
550,menarik,betot
551,menarik,menarik
552,menarik,ngabedol
553,menarik,ngabetot
554,mencurigakan,nyurigakeun
555,mencurigakan,picurigaeun
556,mendapatkan,nampi
557,mendapatkan,ngamenangkeun
558,mendapatkan,nyungkeun
559,menderita,nalangsa
560,menderita,nalangsara
561,mendoktrin,ngadoktrin
562,mendorong,ngadorong
563,mendorong,nyuntrungkeun
564,mendorong,nyurungkeun
565,mendukung,ngadukung
566,mendukung,ngarojong
567,mendung,ceudeum
568,mendung,mendung
569,menembak,newak
570,menembak,ngabedil
571,menerima,nampi
572,mengakui,ngaku
573,mengamankan,ngamankeun
574,mengeluarkan,ngaluarkeun
575,mengembalikan,malikeun
576,mengembalikan,mulangkeun
577,mengerikan,keeung
578,mengerikan,pikasieuneun
579,menghancurkan,ngancurkeun
580,menghargai,ngahargaan
581,menghindari,ngahindaran
582,menghindari,nyingcet
583,menghindari,nyingkir
584,mengusir,ngusir
585,mengutuk,ngalaknat
586,mengutuk,ngutuk
587,meninggal,maot
588,meninggal,modar
589,meninggal,ngantunkeun
590,meninggal,paeh
591,meninggal,pupus
592,meningkatkan,ngaronjatkeun
593,meningkatkan,ningkatkeun
594,menolak,nampik
595,menolak,nolak
596,menunggu,ngadagoan
597,menunggu,ngagentos
598,menunggu,nungguan
599,menurunkan,lungsurkeun
600,menurunkan,nurunkeun
601,menyadari,eling
602,menyadari,nyadar
603,menyadari,rumaos
604,menyalahkan,nyalahkeun
605,menyambut,ngabageakeun
606,menyambut,nganyambut
607,menyebabkan,nyebabkeun
608,menyerang,narajang
609,menyerang,nyerang
610,menyeret,ngagusur
611,menyeret,nyeret
612,menyesatkan,nyesatkeun
613,menyita,nyita
614,meragukan,ngaragukeun
615,meruntuhkan,ngarugrugkeun
616,meruntuhkan,ngaruntuhkeun
617,minta,menta
618,minta,nyuhunkeun
619,minta,penta
620,minta,pundut
621,minta maaf,menta hampura
622,minta maaf,nyungkeun maaf
623,miskin,malarat
624,miskin,melarat
625,miskin,miskin
626,moga,mugia
627,muda,anom
628,muda,ngora
629,mudah,gampang
630,mudah,gampil
631,muka,beungeut
632,muka,muka
633,muka,pameunteu
634,muka,raray
635,mulia,mulya
636,mundur,mundur
637,murah,mirah
638,murka,ambek
639,murka,ngadat
640,musuh,musuh
641,musuh,satru
642,nanti,engke
643,nanti,engkin
644,nekat,nekad
645,nekat,nekat
646,neraka,naraka
647,ngeri,keeung
648,ngeri,sieun
649,ngerti,ngarti
650,ngerti,ngartos
651,ngerti,paham
652,nilai,nilai
653,nilai,peunteun
654,nilai,ponten
655,oke,enya
656,oke,heeh
657,oke,oke
658,oleh,ku
659,orang bodoh,jalmi belet
660,orang bodoh,jelema belet
661,pada,dina
662,padat,padet
663,padat,teuas
664,pahlawan,pahlawan
665,palsu,palsu
666,palsu,wadul
667,panas,hareudang
668,panas,panas
669,panik,hibut
670,panik,pahibut
671,panik,panik
672,panjang,panjang
673,pantat,bujur
674,pantat,imbit
675,parodi,heureuy
676,parodi,lawak
677,parodi,parodi
678,pasti,pasti
679,pasti,tangtos
680,pecah,beulah
681,pecah,peupeus
682,peduli,paduli
683,pelaku,palaku
684,pelaku kejahatan,palaku kajahatan
685,pelaku kejahatan,palisan
686,pembela,nu ngabela
687,pemberani,nu wani
688,pemberani,nu wanian
689,pemberontakan,karaman
690,pemberontakan,nu berontak
691,penangkapan,panangkapan
692,penangkapan,panewakan
693,pendukung,nu ngadukung
694,pendukung,nu ngarojong
695,penembakan,panembakan
696,penembakan,penembakan
697,pengecut,kecingan
698,pengecut,pengecut
699,pengunjung,nu sumping
700,pengunjung,pangunjung
701,penjara,panjara
702,penjara,penjara
703,penting,penting
704,penuh,pinuh
705,penularan,panepaan
706,penularan,panularan
707,penularan,penularan
708,penyelamat,penyelamat
709,penyelamat,penyelamet
710,penyelidikan,panyelidikan
711,penyelidikan,penyelidikan
712,perampok,bajo
713,perampok,begal
714,perampok,perampog
715,perang,perang
716,perasaan,rarasaan
717,percaya,percanten
718,perdamaian,katengtreman
719,perdamaian,perdamaian
720,peringatan,pangemutan
721,peringatan,peringatan
722,perjuangan,perjuangan
723,pertanyaan,pertarosan
724,pertanyaan,tarosan
725,pertempuran,pertempuran
726,pikir,mikir
727,pikir,pikir
728,pintar,calakan
729,pintar,pinter
730,populer,kakoncara
731,populer,kasohor
732,populer,kawentar
733,positif,positif
734,potong,beulah
735,potong,motong
736,potong,potong
737,puja,muja
738,puja,puja
739,puji,muji
740,puji,puji
741,pukul,babuk
742,pukul,nenggeul
743,pukul,takol
744,pukul,teunggeul
745,pulih,cageur
746,pulih,damang
747,pura,pura
748,pusing,lieur
749,pusing,rieut
750,racun,peurah
751,racun,racun
752,rahmat,rahmat
753,rampas,jabel
754,rampas,rampas
755,rampas,rampog
756,ras,ras
757,raya,ageung
758,raya,raya
759,rela,ikhlas
760,rela,rela
761,rela,rido
762,rindu,sono
763,runtuh,rugrug
764,runtuh,runtuh
765,sadar,eling
766,saham,saham
767,sakit,gering
768,sakit,nyeri
769,salah,lepat
770,salah,salah
771,salam,salam
772,salam,salim
773,salut,salut
774,sama,sami
775,sama,sapertos
776,sama,sarua
777,samping,gigir
778,samping,samping
779,samping,sisi
780,sangat,meuni
781,sangat,pisan
782,santai,jongjon
783,santai,salse
784,sapa,nyapa
785,sapa,sapa
786,saran,bongbolongan
787,saran,saran
788,sayang,deudeuh
789,sayang,geugeut
790,sayang,hanjakal
791,sayang,nyaah
792,sayang,tresna
793,sebab,sabab
794,sebut,carios
795,sebut,sebat
796,sedih,hanjelu
797,sedih,sedih
798,segan,segen
799,segan,segeun
800,selamat,salamat
801,selamat,salamet
802,selamat,waluya
803,selamat,wilujeung
804,selesai,beres
805,selesai,parantos
806,selesai,rengse
807,selesai,reres
808,semangat,sumanget
809,sembunyi,nyumput
810,sembunyi,sumput
811,semoga,mugia
812,sempat,kaburu
813,sempat,nyempetkeun
814,sempat,sempet
815,senang,atoh
816,senang,bagja
817,senang,bingah
818,senang,bungah
819,senang,seneng
820,sendiri,nyalira
821,sendiri,sorangan
822,senjata,pakarang
823,senjata,senjata
824,senyum,keom
825,senyum,nyengir
826,senyum,seuri
827,seperti,jiga
828,seperti,kawas
829,seperti,sapertos
830,seperti,siga
831,sepi,jempling
832,sepi,keueung
833,sepi,tiiseun
834,seragam,saragam
835,seragam,seragam
836,seram,pikasieuneun
837,seram,sieun
838,serang,rajang
839,serang,serang
840,serangan,rajangan
841,serangan,serangan
842,serikat,sarikat
843,serikat,serikat
844,siap,siap
845,sigap,sigap
846,sigap,tangginas
847,silahkan,mangga
848,silahkan,sok
849,simpati,simpati
850,simpatik,simpatik
851,solidaritas,solidaritas
852,sopan,lemes
853,sopan,sopan
854,stres,aral
855,stres,lieur
856,stres,setres
857,striker,nu ngarajang
858,striker,striker
859,suap,huap
860,suap,sogok
861,suap,suap
862,suka,bogoh
863,suka,resep
864,suka,seneng
865,sulit,hese
866,sulit,sesah
867,super,pisan
868,super,super
869,surga,sorga
870,susah,hese
871,susah,sesah
872,tabah,pangger
873,tabah,tabah
874,tabah,teteg
875,tabrak,nabrak
876,tabrak,tabrak
877,tabrak,tubruk
878,tahan,nahan
879,tahan,tahan
880,tahanan,palisan
881,tahanan,tahanan
882,tak kalah,teu eleh
883,tak kalah,teu kawon
884,takut,sieun
885,tanggung jawab,tanggung jawab
886,tangis,ceurik
887,tangis,mewek
888,tangkap,nanggep
889,tangkap,nangkeup
890,tangkap,tewak
891,tantangan,tangtangan
892,tantangan,tantangan
893,tanya,taros
894,tegang,kaku
895,tegang,rangkeng
896,tegang,teugang
897,tegas,teges
898,tembak,bedil
899,tembak,tewak
900,tempur,tempur
901,tenang,anteng
902,tenang,kalem
903,tenggelam,tikarelep
904,tenggelam,tileuleup
905,tenggelam,titeuleum
906,tentang,ihwal
907,tentang,perkawis
908,tentu,tangtos
909,tentu,tangtu
910,teramat,pang
911,teramat,pisan
912,terbesar,pang ageungna
913,terbesar,pang badagna
914,terbesar,pang gedena
915,terbunuh,kabunuh
916,terganggu,kaganggu
917,tergantung,gumantung
918,tergantung,tergantung
919,teriak,goak
920,teriak,gorowok
921,teriakan,goakan
922,teriakan,gorowok
923,teriakan,gorowokan
924,terima,nampi
925,terima,tampi
926,terima kasih,hatur nuhun
927,terima kasih,nuhun
928,terimakasih,hatur nuhun
929,terimakasih,nuhun
930,terkejut,reuwas
931,terkena,beunang
932,terkena,keuna
933,terluka,getihan
934,terluka,luka
935,teror,teror
936,terpengaruh,kapangaruh
937,terpengaruh,kapangaruhan
938,tersangka,kasangka
939,tersangka,tersangka
940,tersinggung,kasigeung
941,tersinggung,kasinggung
942,tersinggung,pundung
943,tertarik,kabedol
944,tertarik,kabetot
945,tertarik,katarik
946,tertentu,nu tangtos
947,tertentu,nu tangtu
948,tertinggal,katinggalan
949,tertinggal,tinggaleun
950,tidak,heunteu
951,tidak,teu
952,tidak aman,teu aman
953,tinggal,dumuk
954,tinggal,kantun
955,tinggal,tinggal
956,tingkat,ronjat
957,tingkat,tingkat
958,tragedi,tragedi
959,trauma,trauma
960,tubuh,awak
961,tubuh,salira
962,tuduhan,tuduhan
963,tukang jualan,tukang dagang
964,tukang jualan,tukang ical
965,tukang jualan,tukang icalan
966,tumpas,numpas
967,tumpas,tumpes
968,tunda,nunda
969,tunda,tunda
970,tunggu,dago
971,tunggu,gentos
972,tunggu,nunggu
973,tunggu,tunggu
974,turun,lungsur
975,turun,turun
976,tutup,turub
977,tutup,tutup
978,uang,acis
979,uang,artos
980,uang,duit
981,untung,untung
982,utuh,kumplit
983,utuh,lengkep
984,utuh,utuh
985,wajib,kudu
986,wajib,wajib
987,waspada,waspada
988,wow,wow
989,ya,enya
990,ya,heeh
991,ya,heeuh
992,ya,ya
993,yakin,percanten
994,yakin,yakin
