dapat,runtu,poleang,,
daya,akkulleang,agalakeng,,
diabaikan,de' lai jampangi,,,
diam,mekko,,,
diancam,laiyancang,laipitauri,,
dibersihkan,laipaccingi,,,
dicuri,laiyinnau,,,
dihukum,laikenna,laisessa,,
dikalahkan,laikala,,,
dipercaya,laitepperi,,,
dipermalukan,laipakasiri,,,
dipertanyakan,laiyakkutanang,,,
diprovokasi,laipellai,laitamai,,
disebut-sebut,laipaupau,laiyaseng,laiteppu-teppu,
ditakuti,laiyitauri,,,
ditangkap,laitikkeng,,,
diteror,laipitauri,,,
ditinggalkan,laisalai,,,
ditingkatkan,laipatanre,laipenre',,
dituduh,laitudu,,,
ditunda,laitahang,,,
doa,doang,,,
doktrin,laitamai,,,
duka,peddi,,,
dukung,passorong,appakario,,
dukungan,assorongeng,appakarioang,,
efektif,makkanre,,,
eksklusif,masoli,khususu',,
empati,messing nyawa,,,
fitnah,pau sala,,,
fokus,mattuju,,,
gagah,magaretta',,,
gagal,kala,,,
gampang,magampang,,,
ganggu,roca',,,
gaya,gaya,modele',,
gelap,pettang,,,
gentar,seleng,,,
gertak,gerra',,,
gila,jangeng,,,
guncang,kedo,,,
guncangan,akkedoang,,,
ha,ha,,,
habis,cappu,,,
hal,hal,,,
hancur,masolang,bonynya,,
hantu,setang,,,
harapan,a'dennuang,,,
harga,angke',,,
harta,warang parang,aga-aga,,
hasil,hassele,,,
hati,ati,,,
hati-hati,salama',,,
hebat,macca',jago,,
heboh,maroa,,,
heroik,majago,,,
hidup,tuo,,,
hilang,teddeng,,,
hukum,hukung,passessa,,
ikut,maccio,,,
ilham,pammase,,,
iman,imang,,,
indah,mabello,makanja',,
ingat,ingngerrang,,,
ingin,maelo,,,
interogasi,pakkutanang,,,
isi,ise',,,
istimewa,ipakaraja,,,
jahat,meja sipa',meja ati,,
jamin,jaming,,,
jatuh,buang,,,
jawab,bali,,,
jaya,jaya,tolo',,
jelas,mannessa,,,
jelek,meja,,,
jenis,modele,,,
jual,elliang,balu',,
kalah,cau',ibeta,,
kalimat,pau-pau,,,
kapal,kappala',,,
karya,hassele',,,
kasihan,messing nyawa,,,
kaya,sogi,,,
keadilan,akkadelekeng,,,
keamanan,akkatennangeng,,,
kebaikan,akkanjakeng,,,
kebencian,acaireng,appedireng ati,,
keberanian,accapakeng,,,
kebetulan,mattangang,,,
kecewa,massing nyawa,,,
kehancuran,akkasolangeng,,,
kehilangan,atteddengeng,,,
kejahatan,ajasipareng,,,
kejam,jasipa',,,
keji,jasipa',,,
kekayaan,assogireng,,,
kekerasan,ateddekeng,akkedoangeng,,
kekuatan,akkulleang,,,
kelaparan,allupureng,alliwasengeng,,
keluar,massu',,,
kematian,ammateang,,,
kembali,lisu,pole,,
kena,kenna,,,
kenal,isseng,rupa,,
kenyamanan,anynyamangeng,,,
kepentingan,eloreng,,,
keras,keddo,,,
keren,makanja',makessing,mabello,
kerugian,arogiang,,,
kerusakan,assolangeng,,,
kesalahan,assisalang,,,
kesan,penedding,,,
kesempatan,wettu,,,
kesepian,accadiddiang,,,
kesulitan,assussang,,,
ketakutan,akkitaureng,,,
ketat,merre',,,
ketegangan,attenreang,,,
kompak,sicoco',,,
konflik,allagang,,,
konspirasi,assikongkolokeng,,,
korban,tau natuju,,,
korban jiwa,to mate,,,
kosong,metti,,,
kotor,carepa,,,
kuat,segge',tedde',,
kurang,kurang,,,
kutuk,tanro,sompa,,
kutukan,attanroang,assompangeng,,
langgar,sala,,,
larang,yatteang,,,
larangan,atteangeng,,,
lawan,musu,bali,,
layak,wedding,nulle,,
lebih,lebbi,,,
lebih baik,makanja'pi,,,
lembut,halusu',,,
lengkap,lengka',,,
lenyap,teddeng,,,
lewat,lalo,,,
lihat,ita,,,
lmao,kaka',micawa loppo,,
luar biasa,ladde',,,
lucu,lucu,,,
luka,lasa,,,
lupa,mallupai,,,
maaf,tabe',,,
mahal,masoli,,,
mampu,nullei,,,
marah,macai,,,
masalah,masala,,,
mati,mate,,,
mayat,tau mate,,,
melakukan,mappigau,,,
melanggar,jama salang,,,
melemahkan,mappalemma,,,
melindungi,ma'jaga,,,
melumpuhkan,mappataddene',pakenna,,
memastikan,mappacoco',,,
membahayakan,mappabahaya,,,
membantu,mattulung,,,
membatalkan,mappabatala',,,
membenci,temmappoji,de napoji,,
membuka,mabbukka,,,
membunuh,naunu,,,
memerangi,mammusu,mewa,,
mempertanyakan,makkutanang,,,
memuji,mappakalebbi,,,
menahan,mattahang,,,
menanti,mattajang,,,
menarik,maggetteng,makanja',,
mencurigakan,penno pakkutana,,,
mendapatkan,naruntu',,,
menderita,masussa,,,
mendoktrin,mappangaru,,,
mendorong,massorong,,,
mendukung,massorong,,,
mendung,mallung,,,
menembak,mattemba',,,
menerima,mattarima,,,
mengakui,mappatongeng,,,
mengamankan,mappaamang,,,
mengeluarkan,mappassu,,,
mengembalikan,mappalisu,,,
mengerikan,mappabbittau,,,
menghancurkan,mappakasolang,,,
menghargai,mappakalebbi,,,
menghindari,mappasalai,,,
mengusir,marrimpa,massuro lisu,,
mengutuk,massompa,mattanro,,
meninggal,mate,,,
meningkatkan,mappenre',,,
menolak,mattola',temmattarima,,
menunggu,mattajeng,,,
menurunkan,mappeno,,,
menyadari,maringngerrang,,,
menyalahkan,mappasalang,,,
menyambut,madduppa,,,
menyebabkan,napancaji,,,
menyerang,maewa,mallellung,,
menyeret,maggetteng,,,
menyesatkan,mappagguru sala,,,
menyita,massita,mattikkeng,,
meragukan,mapparennu,,,
meruntuhkan,marruttung,,,
minta,millau  ,,,
minta maaf,millau dampeng,,,
miskin,peddi,,,
moga,tenna podo,,,
muda,malolo,,,
mudah,magampang,,,
muka,tappa,yolo,,
mulia,malebbi,,,
mundur,lao monri,,,
murah,masempo,,,
murka,macai,,,
musuh,bali,,,
nanti,matu',,,
nekat,macapa',,,
neraka,naraka,,,
ngeri,watang,,,
ngerti,pahang,,,
nilai,angke',nilai,,
oke,oke,,,
oleh,ri,,,
orang bodoh,tau beleng,tau bengngo,,
pada,okko,ri,,
padat,penno,,,
pahlawan,tau jago,tolo',,
palsu,palsu,,,
panas,mapella,,,
panik,maseleng,,,
panjang,malampe',,,
pantat,bori,,,
parodi,pigau pada,,,
pasti,tongeng,manassa,,
pecah,reppa',,,
peduli,jampang,,,
pelaku,tau,,,
pelaku kejahatan,tau ja,,,
pembela,pawwela,,,
pemberani,tau warani,,,
pemberontakan,paddoca',,,
penangkapan,attikkengeng,,,
pendukung,passorong,pappakario,,
penembakan,attembakeng,,,
pengecut,paccukka,pabbittaureng,,
pengunjung,tau engka,tau pole,,
penjara,attarungkuang,,,
penting,poko',penting,,
penuh,penno,,,
penularan,alettereng,,,
penyelamat,passalamakeng,,,
penyelidikan,assappareng,,,
perampok,panga,,,
perang,laga,,,
perasaan,panedding,,,
percaya,mateppe',,,
perdamaian,passumangareng,,,
peringatan,pappaseng,,,
perjuangan,pakkulleang,,,
pertanyaan,pakkutanang,,,
pertempuran,ammusureng,,,
pikir,pikkiri,,,
pintar,macca,,,
populer,marisseng,,,
positif,positip,tongeng,,
potong,tappe',,,
puja,poji,,,
puji,poji,,,
pukul,babba',kenna,,
pulih,madising,,,
pura,pura,,,
pusing,peddi ulu,,,
racun,racung,,,
rahmat,ramma',pammase,,
rampas,mappassa,,,
ras,ras,,,
raya,raya,loppo,,
rela,macinna,,,
rindu,muddani,,,
runtuh,maruttung,,,
sadar,mainge',,,
saham,bagiang,,,
sakit,peddi',,,
salah,sala,,,
salam,selleng,,,
salut,sengga,cebbo',,
sama,pada,,,
samping,siwali,,,
sangat,ladde',,,
santai,cado'-cado',,,
sapa,mangolli,,,
saran,pappaseng,,,
sayang,sayang,,,
sebab,nasaba,,,
sebut,teppu,,,
sedih,masara,,,
segan,mitau,,,
selamat,salama',,,
selesai,pura,,,
semangat,masumange',,,
sembunyi,makkalicubbu,,,
semoga,tennapodo,,,
sempat,nullei,,,
senang,mario,,,
sendiri,ale-ale,cadiddi,,
senjata,ala' mammusu,ballili',,
senyum,caggemmu,,,
seperti,pada,,,
sepi,matennang,temmarukka,,
seragam,pada,appakeang,,
seram,masetangeng,mappabbittau,,
serang,amba',,,
serangan,allellungeng,,,
serikat,assiddiang,,,
siap,sia',rape',,
sigap,maceppa',,,
silahkan,tabe',,,
simpati,massinyawa,,,
simpatik,pammassireng nyawa,,,
solidaritas,assiddiang,,,
sopan,bare',,,
stres,jangeng,,,
striker,pakkamba',andalang,,
suap,timpu,,,
suka,poji,,,
sulit,sussa,,,
super,super,,,
surga,soroga,,,
susah,sussa,,,
tabah,sabbara',,,
tabrak,leppo,,,
tahan,perreng,,,
tahanan,tau itarungku,,,
tak kalah,de'na cau,,,
takut,mitau,,,
tanggung jawab,somparenge,,,
tangis,terri,,,
tangkap,tikkeng,,,
tantangan,paccoba,,,
tanya,kutana,,,
tegang,tenre,,,
tegas,malempu,manessa,,
tembak,tembak,,,
tempur,mammusu,,,
tenang,tennag,,,
tenggelam,tallemme,labu,,
tentang,iyanaritu,,,
tentu,nassa,tongeng,,
teramat,maka,maladde',,
terbesar,peneng maloppo,,,
terbunuh,laiyunu,,,
terganggu,tagganggu,,,
tergantung,taggattung,,,
teriak,gora,,,
teriakan,aggorang,,,
terima,tarima ,,,
terima kasih,tarimakasih,,,
terimakasih,tarimakasih,,,
terkejut,maseleng,,,
terkena,nakenna,,,
terluka,maloa,mapeddi,,
teror,pabbittau,,,
terpengaruh,laikenna,kacio cio,,
tersangka,laiyaseng,pelaku,,
tersinggung,tassinggung,,,
tertarik,taggetteng,maelo,,
tertentu,mattentu,,,
tertinggal,laisalai,,,
tidak,de',,,
tidak aman,de na amang,,,
tinggal,monro,,,
tingkat,tingka',pangka',,
tragedi,abala,paccoba,,
trauma,maringngerrang,,,
tubuh,ale,,,
tuduhan,laiyaseng,,,
tukang jualan,pabbalu,,,
tumpas,mappaccappu,mappateddeng,,
tunda,laitunda,,,
tunggu,tajeng,,,
turun,nonno,,,
tutup,tutu',,,
uang,dui,,,
untung,saro,nala deceng,,
utuh,lengka',,,
wajib,waji',,,
waspada,akkaritutu,,,
wow,obe,,,
ya,ya,,,
yakin,mateppe',,,
