,indonesian,buginese
587,mengamankan,mappaamang
588,mengamankan,mappangamang
589,mengeluarkan,mappassu
590,mengembalikan,mappalisu
591,mengembalikan,mapparewe
592,mengerikan,mappabbitau
593,mengerikan,mappabbittau
594,menghancurkan,makkasolang
595,menghancurkan,mappakasolang
596,menghargai,mappakalebbi
597,menghargai,mappakaraja
598,menghindari,maesa'
599,menghindari,mappasalai
600,menghindari,salai
601,mengusir,marrimpa
602,mengusir,massuro lisu
603,mengusir,suro madde'
604,mengutuk,massompa
605,mengutuk,mattanro
606,meninggal,labe'
607,meninggal,leppu
608,meninggal,mate
609,meninggal,nasalai nyawa
610,meningkatkan,mappenre'
611,menolak,mattola'
612,menolak,temmattarima
613,menunggu,mattajeng
614,menurunkan,mappano
615,menurunkan,mappeno
616,menyadari,maringerrang
617,menyadari,maringngerrang
618,menyalahkan,mapasalang
619,menyalahkan,mappasalang
620,menyambut,madduppa
621,menyebabkan,mappassabari
622,menyebabkan,napancaji
623,menyerang,maewa
624,menyerang,mallellung
625,menyerang,mammusu
626,menyeret,maggetteng
627,menyesatkan,mappagguru sala
628,menyesatkan,mappalao sala
629,menyita,massita
630,menyita,mattikkeng
631,meragukan,mapparennu
632,meruntuhkan,marruntung
633,meruntuhkan,marruttung
634,minta,maelo
635,minta,millau 
636,minta,millau  
637,minta maaf,millau dampeng
638,miskin,maperri
639,miskin,peddi
640,moga,podo
641,moga,tenna podo
642,muda,mabaru
643,muda,malolo
644,mudah,de namasussa
645,mudah,magampang
646,muka,tappa
647,muka,yolo
648,mulia,malebbi
649,mundur,lao monri
650,mundur,munduru'
651,mundur,soro
652,murah,masempo
653,murka,macai
654,murka,maranaka
655,musuh,bali
656,nanti,jolo'
657,nanti,matu'
658,nekat,macapa'
659,nekat,materru
660,neraka,naraka
661,neraka,ranaka
662,ngeri,watang
663,ngerti,pahang
664,nilai,angke'
665,nilai,nilai
666,nilai,nomoro'
667,oke,makessing
668,oke,oke
669,oleh,iyanaro
670,oleh,okko
671,oleh,ri
672,orang bodoh,tau banta'
673,orang bodoh,tau beleng
674,orang bodoh,tau bengngo
675,pada,okko
676,pada,ri
677,padat,maega
678,padat,mompe'
679,padat,penno
680,pahlawan,pahlawang
681,pahlawan,tau jago
682,pahlawan,tolo'
683,palsu,palsu
684,panas,mapella
685,panas,pella
686,panik,gulisa
687,panik,maseleng
688,panjang,lampe
689,panjang,malampe'
690,pantat,bori
691,parodi,pabbekkacawa
692,parodi,pigau pada
693,pasti,manassa
694,pasti,manessa
695,pasti,tongeng
696,pecah,reppa'
697,peduli,jampang
698,peduli,marennu
699,pelaku,pappigau
700,pelaku,tau
701,pelaku kejahatan,panjaha'
702,pelaku kejahatan,tau ja
703,pelaku kejahatan,tau ja'
704,pembela,pawwela
705,pemberani,tau materru
706,pemberani,tau warani
707,pemberontakan,paddoca'
708,penangkapan,attikkengeng
709,penangkapan,pattikkengeng
710,pendukung,pappakario
711,pendukung,passorong
712,penembakan,attembakeng
713,pengecut,pabbittaureng
714,pengecut,paccukka
715,pengecut,tau ja
716,pengunjung,tau engka
717,pengunjung,tau pole
718,penjara,attarungkuang
719,penting,penting
720,penting,poko'
721,penuh,penno
722,penularan,alettereng
723,penularan,appalettekeng
724,penyelamat,passalama'
725,penyelamat,passalamakeng
726,penyelidikan,assappareng
727,penyelidikan,massappa
728,perampok,panga
729,perampok,tau minnau
730,perang,laga
731,perang,mammusu
732,perang,sisala
733,perasaan,panedding
734,perasaan,passedding
735,percaya,mateppe
736,percaya,mateppe'
737,perdamaian,pappatennangeng
738,perdamaian,passumangareng
739,perdamaian,passumangereng
740,peringatan,pappaseng
741,perjuangan,pakkulleang
742,pertanyaan,pakkutanang
743,pertempuran,ammusureng
744,pikir,mainge'
745,pikir,mappikkiri'
746,pikir,pikkiri
747,pintar,macca
748,populer,marisseng
749,positif,makanja'
750,positif,positi'
751,positif,positip
752,positif,tongeng
753,positif,tuju
754,potong,mappolo
755,potong,mattappe'
756,potong,tappe'
757,puja,pappoja
758,puja,poji
759,puji,pappoji
760,puji,poji
761,pukul,babba'
762,pukul,kenna
763,pukul,mabbampa
764,pukul,majjagguru
765,pukul,mattette'
766,pulih,madising
767,pulih,paja
768,pulih,sau
769,pura,pura
770,pusing,lasa ulu
771,pusing,peddi ulu
772,racun,racung
773,rahmat,akanjakeng
774,rahmat,pammase
775,rahmat,ramma'
776,rampas,mala
777,rampas,mappassa
778,ras,ras
779,raya,loppo
780,raya,raya
781,rela,macinna
782,rela,melo
783,rindu,muddani
784,rindu,senge'
785,rindu,uddani
786,runtuh,maruttung
787,runtuh,tabbollo
788,runtuh,tawwure
789,sadar,mainge'
790,sadar,maringngerrang
791,saham,bagiang
792,saham,sahang
793,sakit,lasa
794,sakit,lau
795,sakit,peddi
796,sakit,peddi'
797,salah,sala
798,salah,tettongeng
799,salam,salang
800,salam,selleng
801,salut,cebbo'
802,salut,sengga
803,sama,pada
804,sama,sibawa
805,samping,bali
806,samping,benreng
807,samping,sideppe
808,samping,siwali
809,sangat,ladde'
810,sangat,pene'
811,sangat,tongeng 
812,santai,cado'-cado'
813,santai,de namasussa
814,sapa,mangolli
815,saran,pappaseng
816,sayang,pappoji
817,sayang,sayang
818,sebab,nasaba
819,sebab,passaba'
820,sebut,mappau
821,sebut,teppu
822,sedih,masara
823,sedih,sara nyawa
824,segan,mitau
825,selamat,salama'
826,selesai,paja
827,selesai,pura
828,semangat,masumange'
829,semangat,sumange'
830,sembunyi,kalicubbu
831,sembunyi,makkalicubbu
832,semoga,tennapodo
833,sempat,addapi
834,sempat,nullei
835,senang,mario
836,senang,masennang
837,sendiri,ale-ale
838,sendiri,cadiddi
839,sendiri,siwali
840,senjata,ala' mammusu
841,senjata,ballili'
842,senyum,cabberu
843,senyum,caggemmu
844,seperti,pada
845,sepi,matennang
846,sepi,temmaroa
847,sepi,temmarukka
848,seragam,appakeang
849,seragam,pada
850,seram,makerre'
851,seram,mappabbittau
852,seram,mappakatau
853,seram,masetangeng
854,serang,amba'
855,serang,lellung
856,serangan,allellungeng
857,serikat,assiddiang
858,siap,rape'
859,siap,sia'
860,sigap,maceppa'
861,sigap,masitta'
862,silahkan,tabe'
863,simpati,massi nyawa
864,simpati,massinyawa
865,simpatik,pammasireng nyawa
866,simpatik,pammassireng nyawa
867,solidaritas,akkamaneng
868,solidaritas,assiddiang
869,sopan,bare'
870,sopan,mapato
871,stres,cau
872,stres,jangeng
873,stres,lasa ulu
874,striker,andalang
875,striker,pakkamba'
876,striker,tau yolo
877,suap,timpu
878,suka,poji
879,sulit,sussa
880,sulit,watang
881,super,jago
882,super,super
883,super,tolo'
884,surga,soroga
885,surga,suruga
886,susah,sussa
887,susah,watang
888,tabah,sabbara
889,tabah,sabbara'
890,tabrak,leppo
891,tahan,perreng
892,tahan,tahang
893,tahan,tikkeng
894,tahanan,tau itarungku
895,tahanan,tau laitahang
896,tahanan,tau laitarungku
897,tahanan,tau laitikkeng
898,tak kalah,de na cau
899,tak kalah,de na kala
900,tak kalah,de'na cau
901,takut,cau
902,takut,mitau
903,tanggung jawab,somparenge
904,tanggung jawab,tanggung jawa'
905,tangis,boreng
906,tangis,terri
907,tangkap,tikkeng
908,tantangan,akkulleang
909,tantangan,paccoba
910,tanya,kutana
911,tegang,magulisa
912,tegang,tenre
913,tegas,malempu
914,tegas,manessa
915,tembak,mattemba'
916,tembak,tembak
917,tempur,mammusu
918,tenang,tennag
919,tenggelam,labu
920,tenggelam,tallemme
921,tenggelam,tallemme'
922,tentang,iyanaritu
923,tentang,iyaro
924,tentu,manessa
925,tentu,mattentu
926,tentu,nassa
927,tentu,tongeng
928,teramat,maka
929,teramat,maladde'
930,terbesar,maloppoe
931,terbesar,peneng maloppo
932,terbunuh,lai pamate
933,terbunuh,laiyunu
934,terbunuh,tawwunu
935,terganggu,tagganggu
936,tergantung,taggantung
937,tergantung,taggattung
938,teriak,gora
939,teriakan,aggorang
940,teriakan,agorang
941,terima,mala kasi
942,terima,mattarima
943,terima,runtu kasi
944,terima,tarima 
945,terima kasih,mala kasi
946,terima kasih,mattarima kasi
947,terima kasih,runtu kasi
948,terima kasih,tarimakasih
949,terimakasih,tarimakasi
950,terimakasih,tarimakasih
951,terkejut,cebbo'
952,terkejut,maseleng
953,terkena,nagessa
954,terkena,nakenna
955,terkena,nala
956,terluka,malo
957,terluka,maloa
958,terluka,mapeddi
959,teror,appabbittaureng
960,teror,pabbittau
961,terpengaruh,kacio cio
962,terpengaruh,laikenna
963,tersangka,laiyaceg
964,tersangka,laiyaseng
965,tersangka,pelaku
966,tersinggung,tassinggung
967,tertarik,maelo
968,tertarik,maggetteng
969,tertarik,taggetteng
970,tertentu,mattentu
971,tertentu,tattentu
972,tertinggal,laisalai
973,tertinggal,tallupa
974,tertinggal,tattaro
975,tidak,aja'
976,tidak,de
977,tidak,de'
978,tidak aman,de manyameng
979,tidak aman,de na amang
980,tinggal,monro
981,tingkat,pangka'
982,tingkat,tingka'
983,tragedi,abala
984,tragedi,paccoba
985,trauma,maringerrang
986,trauma,maringngerrang
987,tubuh,ale
988,tubuh,to
989,tubuh,watakkale
990,tuduhan,laiyaseng
991,tuduhan,yaseng
992,tukang jualan,pabbalu
993,tukang jualan,pabbalu'
994,tumpas,mappaccappu
995,tumpas,mappateddeng
996,tunda,laitunda
997,tunda,palleme
998,tunggu,tajeng
999,turun,nonno
1000,tutup,sampo
1001,tutup,tongko'
1002,tutup,tutu'
1003,uang,dui
1004,uang,dui'
1005,untung,nala deceng
1006,untung,saro
1007,utuh,lengka'
1008,utuh,massiddi
1009,wajib,waji'
1010,waspada,akkaritutu
1011,waspada,matike'
1012,wow,acapa
1013,wow,obe
1014,wow,obee
1015,ya,iya
1016,ya,iye'
1017,ya,tongeng
1018,ya,ya
1019,yakin,mateppe'
