menyalahkan,peusalah,,
menyambut,sambot,,
menyebabkan,peuseubab,,
menyerang,jiseurang,,
menyeret,bahue,,
menyesatkan,peusisat,,
menyita,jisita,,
meragukan,ragu,,
meruntuhkan,jipeurhot,,
minta,lakee,,
minta maaf,lakee meu'ah,,
miskin,gasien,,
moga,beu,,
muda,muda,,
mudah,mudah,,
muka,muka,,
mulia,muliya,,
mundur,surot,,
murah,murah,,
murka,murka,,
musuh,musoh,,
nanti,singoh,,
nekat,nekat,,
neraka,nuraka,,
ngeri,hayuet,,
ngerti,meuphom,,
nilai,nilai,,
oke,oke,,
oleh,le,,
orang bodoh,ureueng bangai,,
pada,bak,,
padat,padek,kreueh,
pahlawan,pahlawan,,
palsu,palsu,,
panas,suum,,
panik,panik,,
panjang,panyang,,
pantat,punggong,,
parodi,parodi,,
pasti,teuntee,,
pecah,beukah,,
peduli,hiroe,,
pelaku,ureueng pubuet,,
pelaku kejahatan,ureueng pubuet buet jeuheuet,,
pembela,ureueng bela,,
pemberani,beuhe,,
pemberontakan,peumbeurontak,,
penangkapan,drop,,
pendukung,nyang dukong,,
penembakan,nyang timbak,,
pengecut,teumakot,,
pengunjung,ureueng jak,,
penjara,peunjara,,
penting,peunteng,,
penuh,peunoh,,
penularan,langkot,,
penyelamat,nyang peuseulamat,,
penyelidikan,pareksa,,
perampok,peurampok,,
perang,prang,,
perasaan,peurasaan,nyum,
percaya,pateh,peucaya,
perdamaian,dame,,
peringatan,peuiingat,,
perjuangan,peujuangan,,
pertanyaan,tanyong,,
pertempuran,prang,,
pikir,pike,,
pintar,carong,,
populer,populer,jithee,
positif,positif,,
potong,koh,,
puja,puja,,
puji,pujoe,,
pukul,poh,,
pulih,puleh,,
pura,pura,,
pusing,mumang,,
racun,racon,,
rahmat,rahmat,,
rampas,rampah,reupah,
ras,ras,,
raya,raya,,
rela,rela,,
rindu,meusyen,,
runtuh,runtoh,rhot,
sadar,thee,,
saham,saham,,
sakit,saket,,
salah,salah,,
salam,salam,,
salut,salut,,
sama,saban,,
samping,sampeng,geunireng,
sangat,that,,
santai,piyoh,,
sapa,sapa,,
saran,saran,peuingat,
sayang,sayang,,
sebab,seubab,saweueb,
sebut,peugah,,
sedih,seudeh,weueh,
segan,seugan,,
selamat,seulamat,,
selesai,lheueh,,
semangat,seumangat,,
sembunyi,som,,
semoga,beu,,
sempat,na watee,,
senang,seunang,,
sendiri,sidroe,,
senjata,seunjata,,
senyum,khem,,
seperti,lagee,,
sepi,seungue,,
seragam,saban,,
seram,hayut,,
serang,seurang,,
serangan,seurang,,
serikat,syarikat,,
siap,siep,lheueh,
sigap,bagah,,
silahkan,jeuet,,
simpati,simpati,,
simpatik,simpatik,,
solidaritas,solidaritas,,
sopan,sopan,,
stres,stres,,
striker,striker,,
suap,suleueng,,
suka,galak,,
sulit,payah,,
super,super,,
surga,syiruga,,
susah,jra,,
tabah,tabah,,
tabrak,pok,,
tahan,theuen,,
tahanan,tahanan,,
tak kalah,hana talo,,
takut,takot,,
tanggung jawab,tanggong jaweueb,,
tangis,klik,,
tangkap,drop,,
tantangan,tantangan,,
tanya,tanyong,,
tegang,teugang,,
tegas,jeulah,,
tembak,timbak,,
tempur,prang,,
tenang,teunang,,
tenggelam,lham,,
tentang,bhah,,
tentu,teuntee,,
teramat,that,,
terbesar,paleng rayek,,
terbunuh,jipoh,,
terganggu,teuganggu,,
tergantung,teugantung,,
teriak,klik,krib,
teriakan,klik,krib,
terima,teurimong,,
terima kasih,teurimong gaseh,,
terimakasih,teurimong gaseh,,
terkejut,teukijot,,
terkena,keunong,,
terluka,luka,,
teror,teror,,
terpengaruh,teupeungaroh,,
tersangka,teusangka,,
tersinggung,teupeh,,
tertarik,galak,teutarek,
tertentu,meutoh,meutoh-toh,meuri-ri
tertinggal,tinggai,,
tidak,hana,han,
tidak aman,hana aman,,
tinggal,tinggai,,
tingkat,reutak,lapeh,
tragedi,tragedi,,
trauma,trauma,,
tubuh,tuboh,,
tuduhan,tudoh,,
tukang jualan,ureueng meukat,,
tumpas,peugleh,,
tunda,peupreh,tunda,
tunggu,preh,,
turun,tron,,
tutup,top,tob,
uang,peng,,
untung,untong,,
utuh,saboh,,
wajib,wajeb,,
waspada,,,
wow,wow,,
ya,nyo,,
yakin,yakin,,
