,indonesian,madurese
132,berdoa,adhuwe
133,berdoa,adhuwê
134,berdoa,adua'
135,berduka,berduka
136,berduka,kasossa'an
137,berduka,kepatèan
138,berguna,aghuna
139,berhak,agheduwi
140,berhak,andik hak
141,berhak,berhak
142,berhak,pantês
143,berharap,ngarep
144,berharap,ngarêp
145,beri,aberrik
146,beri,bârri'
147,beri,bêrri'
148,beri,merrik
149,berkomitmen,andik teggu'en
150,berkomitmen,ândi' komitmen
151,berkomitmen,êndi' komitmên
152,berlebihan,bitelebbi
153,berlebihan,bânnya' ghâllu
154,berlebihan,bânnya' sarah
155,berlebihan,bênnya' ghellu
156,berlebihan,bênnya' sarah
157,bermanfaat,aghuna
158,bermanfaat,ândi' manfaat
159,bermanfaat,êndi' manfaat
160,bersaing,a saèng
161,bersaing,asaèng
162,bersama,a bhereng
163,bersama,abârâng
164,bersama,abêrêng
165,bersedih,mêllas
166,bersedih,seddi
167,bersedih,ândi' sossa
168,bersedih,ândi' sêddhi
169,bersembunyi,ngitek
170,bersembunyi,ngițek
171,bersorak,asorak
172,besar,raje
173,besar,rajâ
174,besar,rajê
175,biadab,biadab
176,biadab,korang ajhêr
177,biadab,korang ajâr
178,biadab,tak sopan
179,biaya,biaya
180,biaya,bândhâ
181,biaya,ongkos
182,bingung,bhigung
183,bingung,bhingung
184,bingung,posang
185,bodoh,bhudhuh
186,bodoh,bhuduh
187,bodoh,bunggen
188,bodoh,bunggân
189,bodoh,bunggên
190,bodoh,gendeng
191,bodoh,tambâng
192,bodoh,tambêng
193,bohong,bêllèng
194,bohong,carpak
195,bohong,lècèk
196,bohong,lècèk 
197,bom,bom
198,buka,bukka'
199,buka,mukkak
200,bunga,ghembheng
201,bunga,kembhâng
202,bungkam,atotop
203,bungkam,dièm
204,bungkam,tak asuarah
205,bungkam,èsêp
206,bunuh,pate'en
207,bunuh,patè'è
208,bunuh diri,araddhe'
209,bunuh diri,araddhâ'
210,bunuh diri,araddhê'
211,bunuh diri,bunuh diri
212,buruk,jhube'
213,buruk,jhubâ'
214,buruk,jhubê'
215,buta,buta
216,buta,butah
217,cantik,raddhin
218,capai,capai
219,capai,depa'
220,capai,dâpa'
221,capai,dêpa'
222,cari,nyarèh
223,cari,sarè
224,cedera,cacat
225,cedera,cêdêra
226,cedera,loka
227,cedera,rogheh
228,cegah,alanglang
229,cegah,cêgah
230,cegah,nahan
231,cegah,nyêgghêh
232,cemas,cêmmas
233,cemas,kabêtèr
234,cemas,kobetèr
235,cemas,takok
236,cepat,ceppet
237,cepat,ghencang
238,cepat,kancang
239,cepat,lekkas
240,cepat,lêkkas
241,cepat,santa'
242,cepat,santak
243,cerdas,cerdas
244,cerdas,pènter
245,cinta,cinta
246,cinta,kepèncot
247,cinta,senneng
248,cinta,terro
249,cium,ciyom
250,cium,nyium
251,cium,sèom
252,cium,sèyom
253,cocok,cocok
254,cocok,eppas
255,cocok,karaddhu
256,cocok,pantês
257,copet,copèt
258,copet,malèng
259,damai,akor
260,damai,damai
261,damai,nyaman
262,damai,tennang
263,dapat,ollè
264,daya,daya
265,daya,kakoatan
266,daya,tenaga
267,diabaikan,tak èkèjepin
268,diabaikan,tak èyèddeppin
269,diabaikan,èabayyaghi
270,diam,diyêm
271,diam,diêm
272,diam,nengneng
273,diam,èsep
274,diancam,èancêm
275,diancam,èyancem
276,diancam,èyancêm
277,dibersihkan,è bhersè'è
278,dibersihkan,èbhêrsè'è
279,dibersihkan,èbârsè'è
280,dicuri,è kècok
281,dicuri,èkèco'
282,dihukum,èyokom
283,dikalahkan,èpakala
284,dipercaya,è parcaje
285,dipercaya,èparcajâ
286,dipercaya,èparcajê
287,dipermalukan,è patodus
288,dipermalukan,èpamalo
289,dipermalukan,èpatodus
290,dipertanyakan,è tanyaagi
291,dipertanyakan,èpêrtanya'aghi
292,diprovokasi,è hasut
293,diprovokasi,èprovokasi
294,disebut-sebut,è butsebbut
295,disebut-sebut,èbhut-sebbhut
296,ditakuti,è katako'è
297,ditakuti,è takok è
298,ditakuti,èkatako'è
299,ditakuti,ètako'è
300,ditangkap,è tangkep
301,ditangkap,èpeghê'
302,ditangkap,èpèghâ'
303,ditangkap,ètangkep
304,diteror,è koktako'èn
305,diteror,è teror
306,diteror,ètèror
307,ditinggalkan,è dhina
308,ditinggalkan,èdhina'aghi
309,ditingkatkan,è tingkatagi
310,ditingkatkan,ètingkattaghi
311,dituduh,è sangkah
312,dituduh,ètuduh
313,ditunda,è tunda
314,ditunda,ètunda
315,ditunda,èundur
316,doa,dhuwe
317,doa,duâ
318,doktrin,ajheren
319,doktrin,ajhârân
320,doktrin,ajhêrên
321,doktrin,doktrin
322,duka,duka
323,duka,sossa
324,duka,sossa atè
325,duka,sêddhi atè
326,dukung,dukung
327,dukungan,dukungan
328,efektif,bâdâ hasèlla
329,efektif,de'hambatan
330,efektif,lancar
331,efektif,manjur
332,efektif,èfèktif
333,eksklusif,bhidâ
334,eksklusif,khusus
335,eksklusif,mapan sarah
336,eksklusif,tak tamasok
337,empati,niserran
338,empati,êmpati
339,fitnah,fitna
340,fitnah,fitnah
341,fokus,fokus
342,gagah,gegek
343,gagah,gêgêk
344,gagah,koat
345,gagal,burung
346,gagal,gagal
347,gagal,tak berhasèl
348,gampang,ghempang
349,gampang,gâmpang
350,ganggu,genggu
351,ganggu,gânggu
352,ganggu,gênggu
353,gaya,gaya
354,gelap,petteng
355,gelap,pâttâng
356,gelap,pêttêng
357,gentar,aondhu
358,gentar,aonjek
359,gentar,gêntar
360,gertak,gettak
361,gertak,ghêrtak
362,gila,ghileh
363,gila,ghilê
364,guncang,ghuncang
365,guncang,ondhu
366,guncangan,ghuncangan
367,guncangan,èyondhu
368,ha,ha
369,ha,hah
370,habis,lobêr
371,habis,obus
372,habis,tadek
373,habis,tadâ'
374,habis,tadê'
375,habis,èyabik
376,hal,hal
377,hancur,ancor
378,hantu,baong
379,hantu,cobhe
380,hantu,cobhâ
381,hantu,cobhê
382,harapan,arêppan
383,harapan,ngarep
384,harga,regghe
385,harga,râgghâ
386,harga,rêgghê
387,harta,arta
388,harta,dunynya
389,harta,harta
390,hasil,asèl
391,hasil,hasèl
392,hati,atè
393,hati,atèh
394,hati-hati,awas
395,hati-hati,ngastètèh
396,hati-hati,sènga'an
397,hati-hati,tèngatè
398,hati-hati,tèngatèh
399,hebat,hebat
400,hebat,hèbat
401,heboh,griduh
402,heboh,heboh
403,heboh,hèboh
404,heroik,hèroik
405,heroik,pahlawan
406,hidup,odi'
407,hidup,odik
408,hilang,èlang
409,hukum,hokom
410,hukum,okom
411,ikut,norok
412,ikut,nuro'
413,ilham,ilham
414,ilham,petodhu
415,iman,iman
416,indah,indah
417,indah,lèbur
418,ingat,ènga' 
419,ingat,èngak
420,ingin,terro
421,interogasi,pêrtanyaan
422,interogasi,tanyaaghi
423,isi,èssè
424,isi,èsè
425,istimewa,istimewa
426,istimewa,istimèwa
427,istimewa,mapan sarah
428,jahat,jahat
429,jamin,jamin
430,jamin,tangghung
431,jatuh,geggher
432,jatuh,ghâgghâr
433,jatuh,ghêgghêr
434,jatuh,labu
435,jawab,jeweb
436,jawab,jêwêb
437,jaya,jaya
438,jelas,jellas
439,jelas,jêllas
440,jelas,paddheng
441,jelas,têrrang
442,jelek,jhube'
443,jelek,jhubek
444,jenis,jennis
445,jenis,macem
446,jenis,macâm
447,jenis,macêm
448,jual,jhuwêl
449,jual,juel
450,kalah,kala
451,kalah,kalah
452,kalimat,ca'oca'
453,kalimat,kalimat
454,kapal,kapal
455,karya,karya
456,karya,ollenah
457,kasihan,nisêr
458,kasihan,nèser
459,kaya,soghi
460,keadilan,kaadhilên
461,keadilan,kaadilân
462,keadilan,keadhilen
463,keamanan,kaamanan
464,keamanan,keamanan
465,kebaikan,kabhegusen
466,kebaikan,kabhâghusân
467,kebaikan,kabhêghusên
468,kebencian,kabâjhi'ân
469,kebencian,kabêjhi'ên
470,kebencian,kebejhi'i
471,keberanian,kabângalan
472,keberanian,kabêngalan
473,keberanian,kebengalan
474,kebetulan,kabhenderen
475,kebetulan,kalêrrêssan
476,kebetulan,katêppa'an
477,kecewa,kacèwa
478,kecewa,kecewa
479,kecewa,kecèbe
480,kecewa,kêcèwa
481,kehancuran,kaancoran
482,kehilangan,kaèlangan
483,kejahatan,kajahatan
484,kejahatan,kejahatan
485,kejam,kejjem
486,kejam,kâjjâm
487,kejam,kêjjêm
488,keji,kejjem
489,keji,kâjji
490,keji,kêjji
491,kekayaan,kasoghiyên
492,kekayaan,kasoghiên
493,kekayaan,kesoghien
494,kekerasan,kakêrrasan
495,kekerasan,kekerasan
496,kekuatan,kakoatan
497,kekuatan,kekoatan
498,kelaparan,kalaparan
499,keluar,kaluar
500,keluar,keluar
501,kematian,kapatian
502,kematian,kepatèan
503,kembali,abelih
504,kembali,abâli
505,kembali,abêli
506,kena,kênning
507,kena,teppak
508,kenal,kenal
509,kenal,kennal
510,kenal,tao
511,kenyamanan,kanyamanan
512,kepentingan,kapêntingan
513,kepentingan,kepentèngan
514,keras,kasar
515,keras,keras
516,keras,liya'
517,keren,gaol
518,keren,kerren
519,keren,kêrrèn
520,kerugian,karogiyên
521,kerugian,karogiên
522,kerugian,kerogien
523,kerusakan,karosakan
524,kerusakan,kerosakan
525,kesalahan,kakalèruan
526,kesalahan,kasala'an
527,kesalahan,kesala'an
528,kesan,kesan
529,kesan,kêssan
530,kesan,lampet
531,kesempatan,kasempatan
532,kesempatan,kasêmpatan
533,kesepian,kasêppian
534,kesepian,keseppèan
535,kesulitan,kasara'an
536,kesulitan,kasokaran
537,kesulitan,kasossa'an
538,kesulitan,kemelaratan
539,ketakutan,arassa tako'
540,ketakutan,katako'an
541,ketakutan,ketako'an
542,ketat,kettat
543,ketat,kêttat
544,ketegangan,katêgangan
545,ketegangan,teggang
546,kompak,kompak
547,konflik,acekcok
548,konflik,konflik
549,konflik,masala
550,konspirasi,asekongkol
551,konspirasi,komplotan
552,konspirasi,konspirasi
553,konspirasi,sêkongkolan
554,korban,korban
555,korban jiwa,korban jiwa
556,kosong,kosong
557,kosong,tadek
558,kotor,ghedde'
559,kotor,keddhâ'
560,kotor,ķeddhe'
561,kuat,koat
562,kuat,soghek
563,kuat,soghâk
564,kurang,korang
565,kutuk,bhestoh
566,kutuk,bhêsto
567,kutuk,laknat
568,kutuk,sompa
569,kutukan,bhestoan
570,kutukan,bhâstoan
571,kutukan,bhêstoan
572,kutukan,kutukan
573,kutukan,sompa
574,langgar,langgar
575,langgar,langgher
576,larang,larang
577,larangan,larangan
578,lawan,laben
579,lawan,labên
580,lawan,muso
581,lawan,saèngan
582,layak,addhu
583,layak,pantês
584,layak,patot
585,lebih,lebbi
586,lebih,lêbbi
587,lebih,talèbet
588,lebih baik,lebbi bhegus
589,lebih baik,lebbi bhâghus
590,lebih baik,lebbi mapan
591,lebih baik,talèbet bhâghus
592,lembut,alos
593,lembut,lembu'
594,lengkap,ghennak
595,lengkap,ghânna'
596,lengkap,ghênna'
597,lengkap,komplèt
598,lengkap,lengkap
599,lenyap,ghemmet
600,lenyap,musnah
601,lenyap,tadek
602,lenyap,tompes
603,lenyap,èlang
604,lewat,lèbet
605,lewat,lèbât
606,lihat,abês
607,lihat,congngu'
608,lihat,nangalè
609,lihat,ngabes
610,lihat,ngetaoè
611,lihat,tèngghu
612,lmao,imao
613,lmao,lmao
614,luar biasa,luar biasa
615,luar biasa,luar biasah
616,lucu,locoh
617,lucu,lucu
618,lucu,lèbur
619,luka,loka
620,luka,lokah
621,lupa,loppa
622,lupa,loppah
623,lupa,tak èngak
624,maaf,ma'ap
625,maaf,maap
626,maaf,saporana
627,mahal,larang
628,mampu,bisa
629,mampu,bisah
630,mampu,kellar
631,mampu,mampu
632,mampu,ngabik
633,mampu,sangghup
634,marah,ghighir
635,marah,nguso'
636,masalah,masala
637,masalah,masalah
638,mati,bhengkah
639,mati,mateh
640,mati,matè
641,mati,sèdheh
642,mati,tadek omor
643,mati,tompês
644,mayat,mayyit
645,melakukan,ngalakoni
646,melakukan,ngalakonih
647,melakukan,ngalakonin
648,melanggar,alanggar
649,melemahkan,aghâbây lemmah
650,melemahkan,melemaagi
651,melemahkan,mêlêmahkan
652,melindungi,ajâgâ
653,melindungi,ajêgê
654,melindungi,alindungi
655,melumpuhkan,alompoagi
656,melumpuhkan,malompo
657,melumpuhkan,mêlumpuhkan
658,memastikan,mamastè
659,memastikan,mastèaghi
660,memastikan,mastèagi
661,memastikan,mastèyaghi
662,membahayakan,abêrri' bahaya
663,membahayakan,mebahaya
664,membahayakan,ngêbahaya'aghi
665,membantu,abhento
666,membantu,abhânto
667,membantu,nulongi
668,membatalkan,mabhâttal
669,membatalkan,mabhêttallaghi
670,membatalkan,maburung
671,membenci,abejhi'i
672,membenci,bâjhi'
673,membenci,bêjhi'
674,membenci,tak sênnêng
675,membuka,mukka'
676,membuka,mukkak
677,membunuh,matè'e
678,membunuh,matè'en
679,membunuh,matè'è
680,memerangi,acarok
681,memerangi,aperrangi
682,mempertanyakan,abêrri' parsoalan
683,mempertanyakan,atanya'aghi
684,mempertanyakan,atanya'agi
685,memuji,amojhi
686,memuji,mojhi
687,menahan,anahan
688,menahan,tahan
689,menanti,adentè'
690,menanti,adentèk
691,menanti,adântos
692,menanti,adêntos
693,menanti,anantè'
694,menanti,ngantos
695,menarik,najhek
696,menarik,narè'
697,mencurigakan,mencurigakan
698,mencurigakan,mêncurigakan
699,mencurigakan,tak parcajê
700,mendapatkan,ngaollè
701,menderita,aderita
702,menderita,mêndêrita
703,menderita,ngalamin
704,mendoktrin,adoktrin
705,mendoktrin,ngajherin
706,mendorong,ajhungka'aghi
707,mendorong,nyotok
708,mendukung,adukung
709,mendung,ondem
710,mendung,ondêm
711,mendung,rendeng
712,menembak,meddhil
713,menembak,nimbak
714,menembak,nèmbak
715,menerima,narèma
716,mengakui,ngakoè
717,mengamankan,ngamanagi
718,mengamankan,ngamannaghi
719,mengeluarkan,makaluar
720,mengeluarkan,ngeluaragi
721,mengembalikan,mabeliagi
722,mengembalikan,mabêli
723,mengerikan,nako'è
724,mengerikan,nakok en
725,menghancurkan,ngancoragi
726,menghancurkan,ngancorraghi
727,menghargai,arâgghâi
728,menghargai,arêgghei
729,menghargai,ngarghei
730,menghindari,ahindari
731,menghindari,mejheu
732,mengusir,ngujêk
733,mengusir,èyusir
734,mengutuk,abhestoh
735,mengutuk,abhâsto
736,mengutuk,abhêsto
737,meninggal,matè
738,meninggal,sèdhe
739,meninggal,tade' omor
740,meninggal,tompês
741,meningkatkan,maongghâ
742,meningkatkan,maongghê
743,meningkatkan,nai'agi
744,menolak,anolak
745,menolak,è tolak
746,menunggu,adentè'
747,menunggu,adentèk
748,menunggu,adântos
749,menunggu,adêntos
750,menunggu,anantè'
751,menunggu,ngantos
752,menurunkan,matoron
753,menurunkan,noronagi
754,menyadari,mênyadari
755,menyadari,ngarassa
756,menyadari,nyadarèn
757,menyalahkan,nyala'aghi
758,menyalahkan,nyala'agi
759,menyalahkan,nyalaè
760,menyambut,mênyambut
761,menyambut,narèma
762,menyambut,nyambhut
763,menyebabkan,lantaran
764,menyebabkan,nyêbabbaghi
765,menyebabkan,èsebapagi
766,menyerang,alabân
767,menyerang,alabên
768,menyerang,nyerrang
769,menyeret,najhek
770,menyeret,ètajhe'
771,menyeret,ètajhâ'
772,menyeret,ètarè'
773,menyeret,ètèrèt
774,menyesatkan,masêssat
775,menyesatkan,nyesatagi
776,menyita,mênyita
777,menyita,nyita
778,menyita,èkala'
779,menyita,èrampas
780,meragukan,mabingung
781,meragukan,mêragukan
782,meruntuhkan,maronto
783,meruntuhkan,meronto
784,minta,minta
785,minta,mintah
786,minta maaf,minta ma'ap
787,minta maaf,minta sapora
788,minta maaf,minta seporah
789,miskin,miskèn
790,moga,moghe
791,moga,moghâ
792,moga,moghê
793,muda,ngode
794,muda,ngude
795,muda,ngudâ
796,mudah,ghempang
797,mudah,ghâmpang
798,muka,mua
799,muka,muwa
800,mulia,mulje
801,mulia,muljâ
802,mulia,muljê
803,mundur,nyorot
804,mundur,nyurot
805,murah,mode
806,murah,mudâ
807,murah,mudê
808,murka,bhâllis sarah
809,murka,bhêllis
810,murka,cék bhâllissêh
811,murka,murka
812,murka,ngoso'
813,musuh,moso
814,musuh,muso
815,nanti,degghik
816,nanti,dâgghik
817,nanti,dêgghik
818,nekat,bêngal
819,nekat,bêngalan
820,nekat,nekat
821,nekat,nikat
822,neraka,naraka
823,neraka,nerakah
824,ngeri,nako'è
825,ngeri,ngêrri
826,ngeri,takok
827,ngerti,ngartè
828,ngerti,ngartèh
829,nilai,nilai
830,oke,oke
831,oleh,bik
832,oleh,oleh
833,orang bodoh,orèng bhuduh
834,orang bodoh,orèng bunggen
835,orang bodoh,orèng gendeng
836,orang bodoh,rèng bhuduh
837,pada,ka
838,pada,pada
839,padat,bentet
840,padat,gheli
841,padat,padêt
842,padat,possa'
843,padat,rapêt
844,padat,sellak
845,pahlawan,pahlawan
846,palsu,palsu
847,palsu,tèruan
848,panas,panas
849,panik,bhingung
850,panik,panik
851,panik,posang
852,panik,sossa
853,panjang,lanjheng
854,panjang,lanjhêng
855,panjang,lanjâng
856,pantat,buri' 
857,pantat,tongkèng
858,parodi,parodi
859,pasti,pastè
860,pasti,pastèh
861,pecah,belle
862,pecah,bêllê
863,peduli,peduli
864,peduli,pêduli
865,peduli,èstoh
866,pelaku,orèng sè amain
867,pelaku,orèng sè ngalakoni
868,pelaku,sè alako
869,pelaku kejahatan,orèng sè ngalakoni parkara jahat
870,pelaku kejahatan,sè alako kejahatan
871,pembela,orèng sè abèla
872,pembela,sè abèla
873,pemberani,bengalan
874,pemberani,bêngalan
875,pemberontakan,aberontak
876,pemberontakan,pemberontakan
877,penangkapan,nangkep
878,penangkapan,tangkêppan
879,pendukung,orèng sè adukung
880,pendukung,sè adukung
881,penembakan,panèmba'an
882,penembakan,sè nèmbak
883,pengecut,tako'an
884,pengunjung,orèng sè dâtâng
885,pengunjung,orèng sè èntar
886,pengunjung,sè èntar
887,penjara,okoman
888,penjara,penjara
889,penjara,tahanan
890,penting,pentèng
891,penuh,possa'
892,penuh,possak
893,penularan,panularan
894,penularan,sè è tolarè
895,penyelamat,orèng sè nyalametteghi
896,penyelamat,panyalamêt
897,penyelamat,sè nyelamatagi
898,penyelidikan,alacak
899,penyelidikan,pênyelidikan
900,perampok,bhighelen
901,perampok,malèng
902,perampok,tokang ngico'
903,perang,acarok
904,perang,carok
905,perang,perrang
906,perang,pêrrang
907,perasaan,perasaan
908,perasaan,pêrasaan
909,percaya,parcaje
910,percaya,parcajâ
911,percaya,parcajê
912,perdamaian,ketenangan
913,perdamaian,perdamaian
914,peringatan,nga'nginga'in
915,peringatan,paènga'an
916,peringatan,pêringatan
917,perjuangan,perjuangan
918,perjuangan,pêrjuangan
919,pertanyaan,pertanyaan
920,pertanyaan,pêrtanyaan
921,pertempuran,papêrrangan
922,pertempuran,pêrtempuran
923,pertempuran,temporan
924,pikir,mikkèr
925,pikir,pèkkèr
926,pintar,pènter
927,pintar,pèntèr
928,populer,populèr
929,populer,umum
930,populer,èkennal
931,positif,baik
932,positif,bhegus
933,positif,positif
934,positif,positip
935,potong,kerra'
936,potong,kețțok
937,potong,toghâl
938,potong,toghêl
939,puja,pojhih
940,puja,puja
941,puji,pojhi
942,puji,pojhih
943,pukul,peccot
944,pukul,pokol
945,pukul,tokol
946,pulih,bârâs
947,pulih,bêrês
948,pulih,èsak
949,pura,apè
950,pura,purâ
951,pusing,palêngngên
952,pusing,plengngen
953,pusing,pèttengngen
954,racun,racon
955,rahmat,rahmat
956,rampas,rampas
957,rampas,rebbhu'
958,rampas,râbbhu'
959,ras,ras
960,raya,raje
961,raya,rajâ
962,raya,rajê
963,rela,rèla
964,rindu,kerrong
965,rindu,kêrrong
966,runtuh,geggeren
967,runtuh,ronto
968,sadar,sadar
969,sadar,ènga'
970,saham,saham
971,sakit,bereng
972,sakit,sakè'
973,sakit,sakèk
974,salah,lopot
975,salah,sala
976,salah,salah
977,salam,salam
978,salut,bangga
979,salut,bhunga
980,salut,salut
981,sama,bhêrêng
982,sama,bik
983,sama,bârâng
984,sama,pade
985,sama,padâ
986,sama,padê
987,samping,pèngghir
988,sangat,cèk
989,sangat,sangêt
990,sangat,sarah
991,santai,santai
992,sapa,nyapa
993,saran,saran
994,sayang,sayang
995,sayang,èman
996,sebab,lantaran
997,sebab,marghe
998,sebab,sebbeb
999,sebab,sâbbâb
1000,sebab,sêbbêb
1001,sebut,kocak
1002,sebut,nyebut
1003,sebut,sebbhut
1004,sedih,seddhi
1005,sedih,seddi
1006,segan,sengkah
1007,segan,sêgan
1008,segan,sêngka
1009,segan,todus
1010,selamat,salamêt
1011,selamat,selamet
1012,selesai,marè
1013,semangat,kodhuh
1014,semangat,semangat
1015,semangat,sêmangat
1016,sembunyi,ngitek
1017,semoga,samoghe
1018,semoga,samoghâ
1019,sempat,ngenning
1020,sempat,sempet
1021,sempat,sêmpêt
1022,senang,senneng
1023,senang,sênnêng
1024,sendiri,dhibi'en
1025,sendiri,kadhibik
1026,sendiri,kathibik
1027,senjata,sèkep
1028,senjata,sênjata
1029,senyum,misem
1030,senyum,misêm
1031,seperti,padâna
1032,seperti,padêna
1033,seperti,èngak
1034,sepi,seppè
1035,sepi,seppèh
1036,seragam,padeh
1037,seragam,seragam
1038,seragam,sêragam
1039,seram,nako'èn
1040,seram,nakok èn
1041,seram,serrem
1042,seram,sêrrêm
1043,serang,nyerang
1044,serang,sêrrang
1045,serangan,serangan
1046,serangan,sêrrangan
1047,serikat,sekongkol
1048,serikat,sêrikat
1049,siap,siap
1050,sigap,sigap
1051,sigap,tegghes
1052,silahkan,ngirèng
1053,silahkan,nyara
1054,silahkan,èyatoreh
1055,silahkan,èyatorè
1056,simpati,nisêr
1057,simpati,nèser
1058,simpatik,nisêrran
1059,simpatik,nèseran
1060,solidaritas,ngarghei
1061,solidaritas,solidaritas
1062,sopan,sopan
1063,stres,bhindeng
1064,stres,stres
1065,striker,ghember
1066,striker,stiker
1067,striker,striker
1068,suap,dhulang
1069,suap,nyogok
1070,suap,sogo'an
1071,suka,senneng
1072,suka,sênnêng
1073,sulit,melarat
1074,sulit,sarah
1075,super,sarah
1076,super,super
1077,super,supêr
1078,surga,suarghe
1079,surga,suwarghê
1080,surga,suwargâ
1081,susah,sossa
1082,tabah,sabbher
1083,tabah,tabah
1084,tabrak,nabrak
1085,tabrak,tabentor
1086,tabrak,tabrak
1087,tahan,nahan
1088,tahan,tahan
1089,tahanan,okoman
1090,tahanan,penjara
1091,tahanan,tahanan
1092,tak kalah,tak kala
1093,tak kalah,tak kalah
1094,takut,tako'
1095,takut,takok
1096,tanggung jawab,tanggung jeweb
1097,tanggung jawab,tanggung jâwâb
1098,tanggung jawab,tanggung jêwêb
1099,tangis,tangis
1100,tangis,tangès
1101,tangkap,nangkep
1102,tangkap,pèghe'
1103,tangkap,pèghâ'
1104,tantangan,nantang
1105,tantangan,tantangan
1106,tanya,atanyah
1107,tanya,tanya
1108,tegang,teggeng
1109,tegang,têgang
1110,tegas,tegghes
1111,tegas,têgghâs
1112,tegas,têgghês
1113,tembak,nimbak
1114,tembak,tèmbak
1115,tempur,tempor
1116,tempur,têmpur
1117,tenang,tenang
1118,tenang,tênnang
1119,tenggelam,talanyu'
1120,tenggelam,tasèllem
1121,tenggelam,tesèllem
1122,tentang,tentang
1123,tentang,têntang
1124,tentu,jêllas
1125,tentu,tanto
1126,tentu,tantoh
1127,tentu,têrrang
1128,teramat,cèk
1129,teramat,sè palèng
1130,terbesar,rajeh sarah
1131,terbesar,sè palèng rajâ
1132,terbesar,sè palèng rajê
1133,terbunuh,èkênning patè'è
1134,terbunuh,èpate'è
1135,terganggu,tergenggu
1136,terganggu,têrgânggu
1137,tergantung,terghentong
1138,tergantung,têrgantung
1139,teriak,akowèk
1140,teriak,rak-orakan
1141,teriak,rèng-cerrèngan
1142,teriakan,cerrèngan
1143,teriakan,kowèkan
1144,teriakan,orakan
1145,terima,narèma
1146,terima,tarèma
1147,terima kasih,kaso'on
1148,terima kasih,klangkong
1149,terima kasih,sakalangkong
1150,terimakasih,kaso'on
1151,terimakasih,klangkong
1152,terimakasih,sakalangkong
1153,terkejut,takerjhet
1154,terkejut,takerjhât
1155,terkena,ekênning
1156,terkena,teppak
1157,terluka,è lokaèn
1158,terluka,èkenning loka
1159,teror,ancêmman
1160,teror,teror
1161,teror,tèror
1162,terpengaruh,kênning pengaruh
1163,terpengaruh,terpengaruh
1164,terpengaruh,è pangaro
1165,tersangka,sè è sangka
1166,tersangka,têrsangka
1167,tersangka,è sangkah
1168,tersinggung,ngala'an atè
1169,tersinggung,tersinggung
1170,tertarik,arassa sênnêng
1171,tertarik,terro
1172,tertarik,têrro
1173,tertentu,la jêllas
1174,tertentu,la pasté
1175,tertentu,la tanto
