,indonesian,acehnese
188,cium,tuah
189,cocok,cocok
190,cocok,meukeunong
191,cocok,pah
192,copet,copet
193,copet,pancuri
194,damai,dame
195,damai,damee
196,damai,tentram
197,dapat,meuteumee
198,dapat,meuteumeu
199,dapat,roh
200,dapat,teumee
201,dapat,teumeueng
202,daya,daya
203,daya,wat
204,diabaikan,biyeue
205,diabaikan,han dipereumeun
206,diabaikan,tan jihiroe
207,diam,iem
208,diam,seungap
209,diancam,diancam
210,diancam,dipeuagak
211,dibersihkan,dipeugleh
212,dibersihkan,jipeugleh
213,dicuri,dicu
214,dicuri,jicue
215,dihukum,dihukom
216,dihukum,jihukom
217,dikalahkan,dipeutaloe
218,dikalahkan,jipeutalo
219,dipercaya,dipateh
220,dipercaya,dipeucaya
221,dipercaya,jipateh
222,dipermalukan,dipeumalee
223,dipermalukan,jiseumalee
224,dipertanyakan,dipeusoal
225,dipertanyakan,ditanyoeng
226,dipertanyakan,jitanyong
227,diprovokasi,dipeukompho
228,diprovokasi,dipeusuum
229,diprovokasi,diprovokasi
230,disebut-sebut,diteuoh
231,disebut-sebut,diungket
232,disebut-sebut,fitnah
233,ditakuti,dipeuyo
234,ditakuti,disegan
235,ditakuti,jipeutakot
236,ditangkap,dipeudrop
237,ditangkap,jidrop
238,diteror,dipeukaru
239,diteror,diteror
240,diteror,jiteror
241,ditinggalkan,ditinggai
242,ditinggalkan,jitinggai
243,ditingkatkan,ditingkatkan
244,ditingkatkan,jipeuek
245,dituduh,ditudoh
246,dituduh,jitudoh
247,ditunda,dipeueunteuk
248,ditunda,dipeutanggoh
249,ditunda,jitunda
250,doa,doa
251,doa,du'a
252,doktrin,doktrin
253,duka,duka
254,duka,seudeh
255,duka,weueh
256,dukung,bantu
257,dukung,dukung
258,dukung,sokong
259,dukungan,bantuan
260,dukungan,beunantu
261,dukungan,dukungan
262,efektif,efektif
263,efektif,pah
264,eksklusif,eksklusif
265,eksklusif,khusus
266,empati,iba
267,empati,weueh
268,empati,weuh
269,fitnah,fitnah
270,fitnah,haba hana beutoi
271,fokus,fokus
272,fokus,peurati
273,gagah,gagah
274,gagah,meuagam
275,gagah,peukasa
276,gagal,ceuleunga
277,gagal,gagal
278,gagal,hana meuhasee
279,gagal,taloe
280,gampang,mudah
281,ganggu,karu
282,ganggu,peuayang
283,ganggu,peukaru
284,gaya,gaya
285,gelap,klap
286,gelap,seupot
287,gentar,gok
288,gentar,goyang
289,gentar,yo
290,gertak,geureutak
291,gertak,geurtak
292,gertak,kacak
293,gila,mabok
294,gila,pungo
295,gila,setreh
296,guncang,geunta
297,guncang,gok-gok
298,guncang,goncang
299,guncang,goyang
300,guncangan,meugeunta
301,guncangan,meugok-gok
302,ha,ha
303,ha,o po
304,habis,abeh
305,habis,hana le
306,hal,bhah
307,hal,hai
308,hal,peukara
309,hancur,anco
310,hantu,hantu
311,hantu,jen
312,harapan,harapan
313,harga,yum
314,harta,areuta
315,harta,hareuta
316,hasil,hase
317,hasil,hasee
318,hasil,wase
319,hati,atee
320,hati,hate
321,hati-hati,beuget-get
322,hati-hati,beujroh
323,hati-hati,beuteugoh
324,hati-hati,got-got
325,hebat,dahsyat
326,hebat,hayeue
327,hebat,hebat
328,heboh,gabuek
329,heboh,hayeu
330,heroik,kha
331,heroik,lagee pahlawan
332,hidup,udep
333,hilang,gadoh
334,hukum,hukom
335,ikut,iku
336,ikut,jak
337,ikut,seutot
338,ilham,ileuham
339,ilham,ilham
340,iman,iman
341,indah,ceudah
342,indah,lagak
343,indah,tari
344,ingat,ingat
345,ingin,hajat
346,ingin,hawa
347,ingin,heuet
348,ingin,keuneuk
349,ingin,meuheut
350,interogasi,interogasi
351,interogasi,teumanyoeng
352,isi,asoe
353,istimewa,istimewa
354,jahat,jahee
355,jahat,jeuheuet
356,jahat,jeuheut
357,jamin,jamin
358,jatuh,reubah
359,jatuh,rhot
360,jawab,jaweub
361,jawab,jaweueb
362,jaya,jaya
363,jaya,maju
364,jelas,glah
365,jelas,jeulah
366,jelas,trang
367,jelek,brok
368,jenis,jeuneh
369,jual,meukat
370,jual,publoe
371,kalah,talo
372,kalimat,kalimat
373,kapal,kapai
374,karya,buet
375,karya,karya
376,kasihan,iba
377,kasihan,sayang
378,kasihan,weueh
379,kasihan,weuh
380,kaya,kaya
381,keadilan,ade
382,keamanan,aman
383,keamanan,kemanan
384,kebaikan,get
385,kebaikan,kebaikan
386,kebencian,banci
387,kebencian,kebencian
388,kebencian,luwat
389,keberanian,beuhe
390,keberanian,kha
391,kebetulan,hana sahaja
392,kebetulan,keubeutulan
393,kecewa,cut atee
394,kecewa,keucewa
395,kecewa,teulah
396,kehancuran,anco
397,kehancuran,binasa
398,kehilangan,binasa
399,kehilangan,gadoh
400,kehilangan,geunadoh
401,kejahatan,buet jahee
402,kejahatan,buet jeuheut
403,kejahatan,jeuheuet
404,kejam,angkara
405,kejam,kejam
406,kejam,keujam
407,keji,kabeh
408,keji,keuji
409,kekayaan,areuta
410,kekayaan,kaya
411,kekayaan,keuneubah
412,kekayaan,khazanah
413,kekerasan,kreuh
414,kekerasan,semeupoh
415,kekuatan,daya
416,kekuatan,ek
417,kekuatan,kekuatan
418,kekuatan,keukuatan
419,kekuatan,kha
420,kelaparan,deuek
421,kelaparan,kla
422,kelaparan,teudeuk-deuk
423,keluar,teubiet
424,keluar,teubit
425,kematian,ajai
426,kematian,mate
427,kematian,mawot
428,kembali,balek
429,kembali,gisa
430,kembali,riwang
431,kembali,woe
432,kena,keunong
433,kena,teupeh
434,kenal,turi
435,kenal,tusoe
436,kenyamanan,mangat
437,kenyamanan,seuniya
438,kepentingan,kepentingan
439,kepentingan,keupeuntengan
440,keras,kreueh
441,keras,kreuh
442,keren,hayeu
443,keren,hayeue
444,kerugian,rugoe
445,kerusakan,reuloh
446,kesalahan,khilaf
447,kesalahan,salah
448,kesalahan,silap
449,kesan,kesan
450,kesan,keusan
451,kesempatan,peluang
452,kesempatan,watee
453,kesepian,seungu
454,kesepian,seungue
455,kesulitan,payah
456,kesulitan,susah
457,ketakutan,teumakot
458,ketat,arat
459,ketat,keutat
460,ketat,meubungkoh
461,ketegangan,teugang
462,kompak,konco
463,kompak,sabee
464,kompak,sapeue pakat
465,konflik,karu
466,konflik,konflik
467,konspirasi,haba hana jeulah
468,konspirasi,konspirasi
469,korban,korban
470,korban,kurbeuen
471,korban jiwa,abeh umu
472,korban jiwa,korban nyawong
473,kosong,soh
474,kotor,kuto
475,kuat,kong
476,kuat,teuga
477,kurang,kureueng
478,kurang,kureung
479,kutuk,kutok
480,kutuk,laknat
481,kutukan,kutok
482,kutukan,laknat
483,langgar,han pateh
484,langgar,langga
485,langgar,langgeh
486,larang,tham
487,larangan,pantangan
488,larangan,tham
489,lawan,han pateh
490,lawan,lawan
491,layak,jeut
492,layak,layak
493,lebih,leubeh
494,lebih baik,leubeh get
495,lembut,aloh
496,lembut,leumoh
497,lengkap,lengkap
498,lengkap,leungkap
499,lenyap,gadoh
500,lewat,leupah
501,lewat,lewat
502,lewat,liwat
503,lewat,rot
504,lihat,deuh
505,lihat,eu
506,lihat,kalon
507,lihat,leumah
508,lmao,han ek takhem lee
509,lmao,khak
510,luar biasa,luar biasa
511,luar biasa,luwa biasa
512,lucu,jeunaka
513,lucu,lucu
514,lucu,ulok
515,luka,cidra
516,luka,luka
517,luka,teupeh
518,lupa,tuwo
519,lupa,tuwoe
520,maaf,meu'ah
521,maaf,meuah
522,mahal,meuhai
523,mampu,ek
524,mampu,jeut
525,mampu,mampu
526,mampu,sanggop
527,marah,beungeh
528,masalah,bhah
529,masalah,masaalah
530,masalah,masalah
531,masalah,peukara
532,mati,ajai
533,mati,mate
534,mati,matee
535,mati,mawot
536,mati,meuninggai
537,mati,wafeut
538,mayat,manyet
539,mayat,mayet
540,melakukan,peulaku
541,melakukan,pubuet
542,melanggar,langga
543,melanggar,meulanggeh
544,melemahkan,peuleumoh
545,melindungi,jaga
546,melindungi,lindong
547,melindungi,peulindong
548,melumpuhkan,peulumpuh
549,melumpuhkan,peureubah
550,memastikan,peupasti
551,memastikan,peuteuntee
552,membahayakan,membahayakan
553,membahayakan,peubahya
554,membantu,bantu
555,membatalkan,peubateu
556,membatalkan,peubateue
557,membenci,banci
558,membenci,beunci
559,membenci,luwat
560,membuka,buka
561,membuka,peuhah
562,membunuh,poh
563,membunuh,poh matee
564,memerangi,meuprang
565,memerangi,prang
566,mempertanyakan,tanyong
567,mempertanyakan,teumanyong
568,memuji,meumujoe
569,memuji,pujoe
570,menahan,peutheun
571,menahan,theuen
572,menanti,meupreh
573,menanti,preh
574,menarik,meunarek
575,menarik,tarek
576,mencurigakan,curiga
577,mencurigakan,roh teujalok
578,mendapatkan,meuteumee
579,mendapatkan,meuteumeu
580,menderita,awoh
581,menderita,jra
582,menderita,mendeurita
583,mendoktrin,jidoktrin
584,mendoktrin,pasoe haba lam ulee
585,mendorong,tulak
586,mendukung,dukong
587,mendukung,jidukung
588,mendukung,jisokong
589,mendung,reudok
590,menembak,teumimbak
591,menembak,timbak
592,menerima,meuterimong
593,menerima,teurimong
594,mengakui,aku
595,mengakui,peuaku
596,mengamankan,peuaman
597,mengeluarkan,peuteubiet
598,mengeluarkan,peuteubit
599,mengembalikan,jipulang
600,mengembalikan,pulang
601,mengerikan,garang
602,mengerikan,hayut
603,mengerikan,ngeri
604,mengerikan,teumakot
605,menghancurkan,peuanco
606,menghargai,boh yum
607,menghindari,hindari
608,menghindari,peuse
609,mengusir,let
610,mengusir,peuusee
611,mengutuk,kutok
612,meninggal,meuninggai
613,meningkatkan,peu'ek
614,meningkatkan,peuek
615,meningkatkan,peutingkat
616,menolak,tulak
617,menunggu,preh
618,menurunkan,peutron
619,menyadari,sadar
620,menyadari,thee
621,menyalahkan,peusalah
622,menyambut,sambot
623,menyebabkan,peuseubab
624,menyebabkan,saweub
625,menyebabkan,seubab
626,menyerang,jiseurang
627,menyerang,meutajo
628,menyeret,bahu
629,menyeret,bahue
630,menyeret,sireuk
631,menyesatkan,peuseusat
632,menyesatkan,peusisat
633,menyita,jisita
634,menyita,rampah
635,menyita,sita
636,meragukan,ragu
637,meragukan,sangsi
638,meruntuhkan,jipeurhot
639,meruntuhkan,peubinasa
640,meruntuhkan,peuruntoh
641,minta,lakee
642,minta maaf,lakee meu'ah
643,minta maaf,lakee meuah
644,miskin,gasien
645,miskin,gasin
646,miskin,papa
647,moga,beu
648,moga,mudah-mudahan
649,muda,muda
650,mudah,mudah
651,muka,muka
652,mulia,mulia
653,mulia,muliya
654,mundur,surot
655,murah,murah
656,murka,beungeh
657,murka,murka
658,musuh,musoh
659,nanti,eunteuk
660,nanti,singoh
661,nekat,nekat
662,nekat,nikat
663,neraka,nuraka
664,ngeri,hayuet
665,ngeri,ngeri
666,ngeri,takot
667,ngeri,yo
668,ngerti,meuphom
669,ngerti,tu'oh
670,nilai,nilai
671,oke,oke
672,oleh,le
673,orang bodoh,ureueng bangai
674,orang bodoh,ureung bangai
675,orang bodoh,ureung ngeut
676,pada,bak
677,padat,kreueh
678,padat,meusak-sak
679,padat,padat
680,padat,padek
681,pahlawan,pahlawan
682,palsu,hana aseuli
683,palsu,palsu
684,panas,suum
685,panik,duk-dong
686,panik,panik
687,panjang,panyang
688,pantat,punggong
689,parodi,buet peuget khem
690,parodi,parodi
691,pasti,pasti
692,pasti,teuntee
693,pecah,beukah
694,peduli,hiroe
695,peduli,peduli
696,peduli,peureumeun
697,pelaku,peulaku
698,pelaku,ureueng pubuet
699,pelaku kejahatan,awak peulaku bhah jahee
700,pelaku kejahatan,ureueng pubuet buet jeuheuet
701,pembela,awak bila
702,pembela,ureueng bela
703,pemberani,beuhe
704,pemberontakan,burat
705,pemberontakan,peumbeurontak
706,penangkapan,drop
707,penangkapan,peudrop
708,pendukung,nyang dukong
709,pendukung,pendukung
710,penembakan,nyang timbak
711,penembakan,temimbak
712,pengecut,geusuen
713,pengecut,teumakot
714,pengunjung,awak keumunjong
715,pengunjung,ureueng jak
716,penjara,peunjara
717,penting,peunteng
718,penuh,peunoh
719,penularan,langkot
720,penularan,penularan
721,penyelamat,juru selamat
722,penyelamat,nyang peuseulamat
723,penyelidikan,pareksa
724,penyelidikan,penyelidikan
725,perampok,perampok
726,perampok,peurampok
727,perang,prang
728,perasaan,nyum
729,perasaan,peurasaan
730,percaya,pateh
731,percaya,peucaya
732,perdamaian,dame
733,perdamaian,perdamaian
734,peringatan,peuiingat
735,peringatan,peuingat
736,perjuangan,perjuangan
737,perjuangan,peujuangan
738,pertanyaan,soalan
739,pertanyaan,tanyong
740,pertempuran,meukeupong
741,pertempuran,meulho
742,pertempuran,prang
743,pikir,ingat
744,pikir,pike
745,pikir,pikee
746,pintar,caroeng
747,pintar,carong
748,populer,dithee
749,populer,jithee
750,populer,meusyeuhu
751,populer,populer
752,positif,positif
753,potong,koh
754,potong,kret
755,puja,puja
756,puja,pujoe
757,puji,pujoe
758,pukul,poh
759,pulih,puleh
760,pura,pura
761,pusing,mumang
762,racun,racon
763,racun,tuba
764,rahmat,rahmat
765,rampas,cok paksa
766,rampas,rampah
767,rampas,reupah
768,ras,ras
769,raya,raya
770,rela,ikhlas
771,rela,rela
772,rindu,meusyen
773,rindu,rihon
774,rindu,rindu
775,runtuh,binasa
776,runtuh,rhot
777,runtuh,runtoh
778,sadar,beudoh
779,sadar,jaga
780,sadar,teupeu
781,sadar,thee
782,saham,saham
783,sakit,saket
784,salah,salah
785,salam,salam
786,salam,saleum
787,salut,hormat
788,salut,salut
789,sama,ngoen
790,sama,saban
791,samping,bineh
792,samping,geunireng
793,samping,nireng
794,samping,sampeng
795,sangat,leupah
796,sangat,that
797,santai,piyoh
798,santai,santai
799,santai,selo
800,santai,teunang
801,sapa,hoi
802,sapa,sapa
803,saran,peuingat
804,saran,saran
805,sayang,sayang
806,sayang,weuh
807,sebab,kareuna
808,sebab,saweub
809,sebab,saweueb
810,sebab,sebab
811,sebab,seubab
812,sebut,peugah
813,sebut,sebut
814,sebut,surah
815,sebut,teu-oh
816,sedih,seudeh
817,sedih,weueh
818,sedih,weuh
819,segan,seugan
820,selamat,jroh
821,selamat,seulamat
822,selesai,kalheuh
823,selesai,lheueh
824,selesai,seuleso
825,semangat,seumangat
826,sembunyi,meusom
827,sembunyi,som
828,sembunyi,sorok
829,semoga,beu
830,semoga,mudah-mudahan
831,sempat,meuteumeu
832,sempat,na watee
833,senang,galak
834,senang,geumbira
835,senang,harok
836,senang,seunang
837,sendiri,keudroe
838,sendiri,sidroe
839,senjata,senjata
840,senjata,seunjata
841,senyum,khem
842,seperti,lagee
843,seperti,tamse
844,sepi,seungu
845,sepi,seungue
846,seragam,saban
847,seragam,sabee
848,seragam,seragam
849,seram,hayut
850,seram,seuram
851,serang,serang
852,serang,seurang
853,serang,tajo
854,serangan,serangan
855,serangan,seurang
856,serikat,serikat
857,serikat,syarikat
858,siap,keumah
859,siap,lheueh
860,siap,siap
861,siap,siep
862,sigap,bagah
863,sigap,ligat
864,sigap,sigap
865,silahkan,jeuet
866,silahkan,silakan
867,simpati,simpati
868,simpatik,simpatik
869,solidaritas,solidaritas
870,sopan,sopan
871,stres,setreh
872,stres,stres
873,striker,penyerang
874,striker,striker
875,suap,ap
876,suap,suleueng
877,suap,suleung
878,suka,galak
879,suka,harok
880,sulit,payah
881,sulit,susah
882,super,super
883,surga,syiruga
884,susah,apoh-apah
885,susah,jra
886,susah,payah
887,susah,susah
888,tabah,iba
889,tabah,saba
890,tabah,tabah
891,tabrak,khok
892,tabrak,pok
893,tahan,theuen
894,tahan,theun
895,tahanan,tahanan
896,tak kalah,hana talo
897,tak kalah,hana taloe
898,takut,takot
899,takut,yo
900,tanggung jawab,tanggong jaweub
901,tanggung jawab,tanggong jaweueb
902,tangis,klik
903,tangis,mo
904,tangkap,drop
905,tantangan,tantangan
906,tanya,tanyoeng
907,tanya,tanyong
908,tegang,ceukang
909,tegang,teugang
910,tegas,bijak
911,tegas,jeulah
912,tegas,tegas
913,tembak,timbak
914,tempur,cang
915,tempur,prang
916,tenang,tenang
917,tenang,teunang
918,tenggelam,bhuek
919,tenggelam,lham
920,tenggelam,teunom
921,tentang,bhah
922,tentang,tentang
923,tentu,teuntee
924,teramat,leupah
925,teramat,that
926,terbesar,paleng raya
927,terbesar,paleng rayek
928,terbesar,paleng rayeuk
929,terbunuh,jipoh
930,terbunuh,matee
931,terganggu,teuganggu
932,terganggu,teugogah
933,tergantung,tergantung
934,tergantung,teugantung
935,teriak,klik
936,teriak,krib
937,teriak,meuraong
938,teriakan,klik
939,teriakan,krib
940,terima,teurimoeng
941,terima,teurimong
942,terima kasih,terimong gaseh
943,terima kasih,teurimong gaseh
944,terimakasih,terimong gaseh
945,terimakasih,teurimong gaseh
946,terkejut,teukeujot
947,terkejut,teukijot
948,terkena,keunong
949,terkena,teupeh
950,terluka,cidra
951,terluka,luka
952,terluka,teupeh
953,teror,peukaru
954,teror,teror
955,terpengaruh,meupeungaroh
956,terpengaruh,teupeungaroh
957,tersangka,teusangka
958,tersinggung,teupeh
959,tersinggung,teupeh atee
960,tertarik,galak
961,tertarik,teutarek
962,tertentu,meuri-ri
963,tertentu,meuteuntee
964,tertentu,meutoh
965,tertentu,meutoh-toh
966,tertinggal,teutinggai
967,tertinggal,tinggai
968,tidak,han
969,tidak,hana
970,tidak aman,hana aman
971,tinggal,tinggai
972,tingkat,glah
973,tingkat,lapeh
974,tingkat,reutak
975,tingkat,tingkat
976,tragedi,kejadian
977,tragedi,tragedi
978,trauma,trauma
979,tubuh,badan
980,tubuh,tuboh
981,tuduhan,tudoh
982,tuduhan,tudohan
983,tukang jualan,awak meukat
984,tukang jualan,ureueng meukat
985,tumpas,peuabeh
986,tumpas,peugleh
987,tunda,eunteuk
988,tunda,peupreh
989,tunda,tanggoh
990,tunda,tunda
991,tunggu,preh
992,turun,tron
993,tutup,tob
994,tutup,top
995,uang,peng
996,untung,laba
997,untung,untong
998,utuh,lengkap
999,utuh,saboh
1000,utuh,sempurna
1001,wajib,haroh
1002,wajib,musti
1003,wajib,wajeb
1004,waspada,beuteugoh
1005,wow,omak
1006,wow,wah
1007,wow,wow
1008,ya,get
1009,ya,nyo
1010,ya,tuan
1011,ya,ya
1012,yakin,pasti
1013,yakin,yakin
