,indonesian,minangkabau
171,fokus,fokus
172,gagah,gagah
173,gagal,gagal
174,gampang,mudah
175,ganggu,gaduah
176,gaya,gaya
177,gaya,gayo
178,gelap,galok
179,gelap,kalam
180,gentar,gentar
181,gentar,tagok
182,gertak,garagak
183,gertak,garatak
184,gila,gilo
185,guncang,guncang
186,guncangan,guncangan
187,ha,ha
188,habis,abih
189,hal,hal
190,hancur,ancua
191,hancur,hancua
192,hantu,hantu
193,harapan,harapan
194,harapan,harok
195,harga,harago
196,harta,harato
197,harta,harto
198,hasil,asia
199,hasil,hasil
200,hati,hati
201,hati-hati,elok-elok
202,hati-hati,hati-hati
203,hebat,ebat
204,hebat,hebat
205,heboh,eboh
206,heroik,heroik
207,hidup,iduik
208,hilang,ilang
209,hukum,hukum
210,ikut,ikuik
211,ilham,ilham
212,iman,iman
213,indah,ancak
214,indah,indah
215,ingat,ingek
216,ingat,takana
217,ingin,ingin
218,ingin,nio
219,interogasi,ditanyo-tanyo
220,interogasi,interogasi
221,isi,isi
222,istimewa,anak ameh
223,istimewa,istimewa
224,jahat,jaek
225,jamin,jamin
226,jatuh,jatuah
227,jawab,jawab
228,jawab,jawek
229,jaya,jaya
230,jelas,jaleh
231,jelek,buruak
232,jelek,indak ancak
233,jenis,janis
234,jenis,jenis
235,jenis,macam
236,jual,jua
237,kalah,kalah
238,kalimat,kalimaik
239,kalimat,kalimat
240,kapal,kapa
241,karya,karya
242,kasihan,ibo
243,kaya,kayo
244,keadilan,kaadilan
245,keamanan,kaamanan
246,kebaikan,kabaiakan
247,kebaikan,kaelokan
248,kebencian,banci
249,kebencian,kabancian
250,keberanian,kabaranian
251,kebetulan,kebetulan
252,kebetulan,pas
253,kecewa,kecewa
254,kehancuran,hancua
255,kehancuran,kaancuaan
256,kehilangan,kahilangan
257,kejahatan,kajahatan
258,kejahatan,perilaku jaek
259,kejam,kejam
260,keji,bangih
261,keji,keji
262,kekayaan,kakayoan
263,kekayaan,kayo
264,kekerasan,kakarehan
265,kekerasan,kasa
266,kekuatan,kakuatan
267,kekuatan,kuek
268,kelaparan,kalaparan
269,kelaparan,kalitakan
270,keluar,kalua
271,kematian,kamatian
272,kembali,baliak
273,kena,kanai
274,kenal,kenal
275,kenyamanan,kanyamanan
276,kepentingan,kapantiangan
277,keras,kareh
278,keren,ancak
279,keren,keren
280,kerugian,karugian
281,kerusakan,karusakan
282,kesalahan,kasalahan
283,kesan,kasan
284,kesempatan,kasempatan
285,kesempatan,kesempatan
286,kesepian,kasepian
287,kesepian,kesepian
288,kesulitan,kapayahan
289,kesulitan,kasulikan
290,ketakutan,katakuikan
291,ketat,ketat
292,ketegangan,katagangan
293,kompak,kompak
294,konflik,konflik
295,konspirasi,konspirasi
296,korban,korban
297,korban jiwa,korban jiwa
298,kosong,kosong
299,kotor,kumuah
300,kuat,kuaik
301,kuat,kuek
302,kurang,kurang
303,kutuk,kutuak
304,kutuk,kutuk
305,kutukan,kutuakan
306,kutukan,kutukan
307,langgar,langga
308,langgar,langgar
309,larang,larang
310,larangan,larangan
311,lawan,lawan
312,layak,layak
313,layak,pantas
314,lebih,labiah
315,lebih baik,labiah baiak
316,lebih baik,labiah elok
317,lembut,lambuik
318,lembut,lembuik
319,lengkap,langkok
320,lenyap,hilang
321,lenyap,lanyok
322,lewat,lewat
323,lewat,liwaik
324,lihat,caliak
325,lihat,liek
326,lmao,babahayo
327,lmao,lmao
328,luar biasa,lua biaso
329,luar biasa,luar biasa
330,luar biasa,paten
331,lucu,lawak
332,lucu,lucu
333,luka,luko
334,lupa,lupo
335,maaf,maaf
336,mahal,maha
337,mampu,mampu
338,mampu,talok
339,marah,berang
340,masalah,masalah
341,mati,mati
342,mayat,maik
343,mayat,mayik
344,melakukan,malakuan
345,melakukan,mangarajoan
346,melanggar,malangga
347,melanggar,malanggar
348,melemahkan,malamahan
349,melindungi,malinduangan
350,melindungi,malinduangi
351,melumpuhkan,malumpuahan
352,memastikan,mamastian
353,membahayakan,mambahayoan
354,membantu,mambantu
355,membantu,manolong
356,membatalkan,mambataan
357,membatalkan,mambatalan
358,membenci,mambanci
359,membuka,mambukak
360,membunuh,mambunuah
361,memerangi,mamarangi
362,mempertanyakan,mampatanyoan
363,memuji,mamuji
364,menahan,manaham
365,menahan,manahan
366,menanti,mananti
367,menarik,manarik
368,mencurigakan,mancurigaan
369,mendapatkan,mandapekan
370,menderita,mandarita
371,menderita,sansaro
372,mendoktrin,mandoktrin
373,mendorong,mandorong
374,mendukung,mandukuang
375,mendung,galok
376,mendung,kalam
377,menembak,manembak
378,menerima,manarimo
379,mengakui,maakui
380,mengakui,mangaku
381,mengamankan,maamanan
382,mengamankan,mangamanan
383,mengeluarkan,mangaluaan
384,mengembalikan,mambaliakan
385,mengerikan,mangarian
386,mengerikan,ngeri
387,menghancurkan,maancuaan
388,menghancurkan,mahancuan
389,menghargai,maharagoi
390,menghindari,mahindar
391,menghindari,maindai
392,mengusir,mangusia
393,mengusir,mausia
394,mengutuk,mangutuak
395,meninggal,maningga
396,meningkatkan,maningkekan
397,menolak,manolak
398,menunggu,manunggu
399,menurunkan,manurunan
400,menyadari,manyadari
401,menyadari,manyaradari
402,menyalahkan,manyalahan
403,menyambut,manyambuik
404,menyebabkan,manyababan
405,menyebabkan,manyebaban
406,menyerang,manyarang
407,menyeret,mairik
408,menyeret,manyeret
409,menyesatkan,manyasekan
410,menyesatkan,manyesetan
411,menyita,manyita
412,meragukan,maraguan
413,meruntuhkan,maruntuahan
414,minta,mintak
415,minta maaf,mintak maaf
416,miskin,bangsaik
417,miskin,miskin
418,moga,moga
419,moga,untuang-untuang
420,muda,mudo
421,mudah,mudah
422,muka,muko
423,mulia,mulia
424,mundur,mundur
425,murah,murah
426,murka,marabo
427,murka,murka
428,murka,murko
429,musuh,musuah
430,nanti,beko
431,nekat,nekat
432,neraka,narako
433,ngeri,ngeri
434,ngerti,ngarati
435,nilai,nilai
436,oke,oke
437,oleh,dek
438,orang bodoh,urang bodoh
439,orang bodoh,urang pandia
440,pada,pado
441,pada,wakatu
442,pada,waktu
443,padat,padek
444,pahlawan,pahlawan
445,palsu,palsu
446,panas,angek
447,panas,paneh
448,panik,panik
449,panjang,panjang
450,pantat,ikua
451,pantat,lancirik
452,parodi,lawak-lawak
453,parodi,parodi
454,pasti,pasti
455,pecah,pacah
456,peduli,paduli
457,pelaku,palaku
458,pelaku,pelaku
459,pelaku kejahatan,palaku kajahatan
460,pelaku kejahatan,panjaek
461,pembela,pambela
462,pemberani,pambarani
463,pemberontakan,pambarontak
464,pemberontakan,pambarontakan
465,penangkapan,panangkokan
466,pendukung,pandukuang
467,penembakan,panembakan
468,pengecut,pangacuik
469,pengunjung,pangunjuang
470,penjara,panjaro
471,penting,pantiang
472,penuh,panuah
473,penularan,panularan
474,penyelamat,panyalamaik
475,penyelamat,panyalamat
476,penyelidikan,panyalidikan
477,perampok,parampok
478,perang,parang
479,perasaan,parasaan
480,percaya,pacayo
481,percaya,picayo
482,perdamaian,padamaian
483,peringatan,paringatan
484,perjuangan,pajuangan
485,pertanyaan,patanyaan
486,pertanyaan,pertanyaan
487,pertempuran,patampuran
488,pikir,pikia
489,pintar,pintar
490,pintar,santiang
491,populer,tanamo
492,populer,tokok
493,positif,positif
494,potong,potong
495,puja,puja
496,puji,puji
497,pukul,pukua
498,pukul,tokok
499,pulih,cegak
500,pulih,pulih
501,pura,icak-icak
502,pura,purak-purak
503,pusing,paniang
504,pusing,pusiang
505,racun,racun
506,racun,tubo
507,rahmat,rahmaik
508,rahmat,rahmat
509,rampas,rabuik
510,rampas,rampas
511,ras,ras
512,raya,rayo
513,rela,rela
514,rindu,taragak
515,runtuh,runtuah
516,sadar,sadah
517,sadar,sadar
518,saham,saham
519,sakit,sakik
520,salah,salah
521,salam,salam
522,salut,saluik
523,salut,salut
524,sama,samo
525,samping,sampiang
526,sangat,sangaik
527,santai,santai
528,sapa,sapo
529,saran,saran
530,sayang,sayang
531,sebab,sabab
532,sebut,sabuik
533,sedih,sadiah
534,segan,sagan
535,selamat,salamaik
536,selesai,salasai
537,semangat,samangaik
538,sembunyi,mandok
539,sembunyi,sambunyi
540,semoga,samoga
541,sempat,sempat
542,senang,sanang
543,sendiri,surang
544,senjata,sanjato
545,senyum,senyum
546,seperti,bantuak
547,seperti,mode
548,sepi,langang
549,seragam,saragam
550,seram,seram
551,serang,sarang
552,serangan,sarangan
553,serikat,sarikat
554,serikat,sarikek
555,siap,siap
556,sigap,pikeh
557,sigap,sigap
558,silahkan,silahkan
559,simpati,simpati
560,simpatik,simpatik
561,solidaritas,solidaritas
562,sopan,sopan
563,stres,setres
564,stres,stres
565,striker,stiker
566,suap,suok
567,suka,suko
568,sulit,sulik
569,super,super
570,surga,sarugo
571,susah,payah
572,susah,susah
573,tabah,tabah
574,tabrak,lantak
575,tabrak,tabrak
576,tahan,tahan
577,tahanan,tahanan
578,tak kalah,ndak kalah
579,takut,takuik
580,tanggung jawab,tangguang jawab
581,tanggung jawab,tangguang jawek
582,tangis,tangih
583,tangkap,tangkok
584,tantangan,tantangan
585,tanya,tanyo
586,tegang,tagang
587,tegas,tageh
588,tembak,tembak
589,tempur,parang
590,tempur,tempur
591,tenang,tanang
592,tenggelam,tabanek
593,tenggelam,tanggalam
594,tentang,tantang
595,tentang,tentang
596,tentu,tantu
597,teramat,taramaik
598,terbesar,paliang gadang
599,terbunuh,tabunuah
600,terganggu,tagaduah
601,tergantung,tagantuang
602,teriak,marakiak
603,teriak,sorak
604,teriakan,sorakan
605,teriakan,teriakan
606,terima,tarimo
607,terima kasih,tarimo kasih
608,terimakasih,tarimo kasih
609,terimakasih,tarimokasih
610,terkejut,takajuik
611,terkena,takanai
612,terluka,taluko
613,teror,teror
614,terpengaruh,tapangaruah
615,tersangka,tasangka
616,tersangka,tasangko
617,tersinggung,tasingguang
618,tertarik,takasan
619,tertarik,tatarik
620,tertentu,tatantu
621,tertentu,tertentu
622,tertinggal,tatingga
623,tidak,indak
624,tidak,ndak
625,tidak aman,indak aman
626,tidak aman,ndak aman
627,tinggal,tingga
628,tingkat,tingkek
629,tragedi,tragedi
630,trauma,trauma
631,tubuh,badan
632,tubuh,tubuah
633,tubuh,tubuh
634,tuduhan,tuduahan
635,tukang jualan,tukang jua
636,tukang jualan,tukang manggaleh
637,tumpas,salasai
638,tumpas,tumpeh
639,tunda,tunda
640,tunda,tundo
641,tunggu,tunggu
642,turun,turun
643,tutup,tutuik
644,uang,pitih
645,untung,untuang
646,utuh,utuah
647,wajib,wajib
648,waspada,was was
649,waspada,waspada
650,wow,wow
651,ya,ya
652,ya,yo
653,yakin,yakin
