,indonesian,acehnese,banjarese,english,madurese,ngaju,sundanese,balinese,buginese,javanese,minangkabau,toba_batak
60,Bakso favorit kami sekeluarga. Rasanya gurih dan super enak. Ditemani dengan es jeruk dan kerupuk putih. Super yummy deh. Harga sangat terjangkau. Lokasi masuk gang kecil tapi mudah ditemukan karena banyak orang yang tahu di lokasinya. ,Bakso fovorit kamoe saboh keuluarga. Rasa jih leupah that meunyum ngon mangat. Jitamah ngon eh boh limoe dan keurupuk puteh. Leupah mangat. Yum jih that murah. Lokasi tamong lam gang ubiet tapi mudah meurumpok seubab le ureueng nyang tupat lokasijih.,Bakso katujuan kami sakaluargaan. Rasanya gurih wan super nyaman. Dikawani wan es jeruk wan karupuk putih. Super yummy tu pang. Haraga tajangkau banar. Lukasi masuk gang halus tagal nyaman ditamuakan gegara banyak urang nang tahuan dah wan lukasinya.,"Our family's favorite bakso. It's so flavourful and delicious. Coupled with iced orange juice and white crisps,. Super yummy stuff! Price is really affordable.The location is kinda in an alleyway but it's easy to spot because a lot of people know about the place.",Bakso favorit engkok bik taretan. Rassana rennya ben super nyaman. Ekancae bik es jerruk ben karopok pote. Super yummy la. Regghe mude sarah. kennengngenna masok gang keni' tape ghempang etemmu polana bennya' oreng se tao ka kennengngenna.,"Bakso paling ikei sekeluarha rajin. Angat gurih tuntang mangat tutu, ingawal dengan es jeruk tuntang kerupuk baputi. Mangat tutu heh. Rega terjangkau  tutu. Lokasi tame gang kurik tapi mangat ih inggau awi are uluh katawan eka ah",Baso karesep arurang sakulawargi. Rasana gurih sareng raos pisan. Direncangan ku es jeruk sareng kerupuk putih. Super yummy deh. Pangaosna ge kahontal pisan. Lokasi lebet gang kecil mung gampil dipilarian kumargi seueur jalmi nu uningan dina lokasina.,Bakso favorit tiang sakeluarga. Asane gurih lan jaen sajan. Kasarengin lan es juuk lan krupuk putih. Jeg jaen sajan. Ajine terjangkau. Lokasine mecelep gang cenik nanging aluh katemuang krana liu anak sana nawang ring lokasine.,basso lae poji e idi sisumpu lolo. manyameng na malunra' ladde. lae pasibawasi lemo ese' sibawa karoppo pute. malunra' ladde je'. masempo ellinna. lokasina tamasi lorong biccu tapi magampang mo lae runtu nasaba maega tau missengngi onroanna,Bakso favorite dhewe sakaluwarga. Rasane gurih lan super enak. Dikancani karo es jeruk lan kerupuk putih. Super yummy deh. Regane kajangkau tenan. Lokasine mlebu gang cilik nanging gampang ditemokake amarga akeh uwong sing ngerti ing lokasine.,Bakso favorit kami sakaluarga. Rasonyo gurih dan super lamak. Dikawani jo es jeruk dan karupuak putiah. Super yummy lah. Hargo sangaik tajangkau. Lokasi masuak gang ketek tapi mudah ditamuan dek banyak urang yang tau di lokasinyo.,Bakso na dihalomon hami sajabu. daina gurih jala apar tabo. didongani dohot es jeruk dohot karupuk na bottar i. apar tabo hian ma. argana suman ma. ingananna masuk tu gang na sompit lai ura dapot ala godang na mamboto inganan i.
61,"Tidak enak makan di restoran, tidak bisa minta kuah opor ayam dikit seperti di warteg.","Hana mangat pajoh di restoran, han jeuet lakee kuah opor manok bacut lagee bak warteg",kada nyaman makan di risturan. kada kawa minta kuah upur ayam sadikit kaya di warteg.,"Eating in a resto is no fun, you can't ask for a little opor ayam broth like in a warteg","Tak nyaman ngakan e restoran, tak bisa minta kuah opor ajem sakunni' padena e warteg.","Dia mangat kuman hung restoran, dia tau balaku tambuy opor manuk isut kilau hung warteg","Teu raos tuang di restoran, teu tiasa nyuhunkeun kuah opor hayam saalit sapertos di warteg.","Tusing jaen ngajeng ring restoran, tusing nyidang ngidih kuah opor siap e akidit care di warung.","de'na malunra' manre okko restorang e, de'na weddingki millau duro opor manu pada ko warteg e","Ora enak mangan ing restoran, ora bisa njaluk duduh opor pithik setitik kaya ing warteg.","Indak lamak makan di restoran, indak bisa mintak kuah opor ayam setek co di warteg.","Dang tabo mangan di restoran, dang boi nijalo hua ni opor manuk saotik herana di warteg."
62,Meningkatnya presentase peminat ride sharing membuat toyota nekad menggelontorkan uang hingga $1 miliar pada grab demi menyelamatkan bisnis otomotifnya.,"Ngon diek angka ureung nyang galak keu ride sharing, sehingga meupeungaroh keu toyota yang geu tem peu abeh peng sampe $1 miliar untuk grab demi teupeuseulamat useuha meusen moto",Banaiknya presentase nang katujuride sharing maolah toyota wanimehabisakan duit sampai$1 miliar di grab supaya manyalamatakan bisnis otomotifnya.,The increasing percentage of ride sharing customers forces Toyota to boldly spend up to $1 billion to Grab in order to save its automotive business,Ongghena begien jumlah oreng se minat ka ride sharing aghebey toyota bengal makaluar pesse sampek $1 miliar ka grab demi nyalamettaghi bisnis otomotiffa.,manambah gantung presentase peminat ride sharing manampae toyota nekad mampalua duit sampai  $1 miliar hung grab demi menyelamatkan bisnis otomotifnya.,Paningkatan Persentase paminat ride sharing parantos ngajantenkeun Toyota nekad ngaluarkeun acis dugi ka $ 1 milyar dina Grab pikeun nyalametkeun bisnis otomotifna.,Nincapang presentase peminat ride sharing ngaenang toyota bani mesuang pipis kanti 1 miliar dollar baang grab demi nyelamatin bisnis otomotifne.,Menre' na presentasi pangillauang ride sharing pancajiwi toyota macapa' mappassu dui lettu $1 miliar lao okko grab bare' salama' i bisnis otomotifna.,Mundake presentase sing minat ride sharing nggarai toyota nekat nggelontor duwit sampek $1 milyat ning grab ben iso nylametne bisnis otomotife.,Maningkeknyo presentase paminat ride sharing membuaek toyota nekad maabihan dana sampai $1 miliar ka grab untuak manyalamaikan bisnis otomotifnyo.,Parnakkok ni godangni marlomo ni roha ride sharing mambaen toyota martahi mangalehon hepeng sahat tu $1 miliar tu grab laho mangomgomi parkarejoan otomotifnya.
63,"Pemandangan kota bandung yang indah dapat disaksikan dari sierra kafe lounge. Ada dua pilihan tempat, bisa dalam ruangan maupun di luar. Tempat yang romantis cocok untuk berduaan dan cocok juga buat kumpul bersama teman-teman sambil melepas lelah, karena udaranya sejuk dan menyegarkan. Makanan yang disediakan juga lezat dan banyak pilihan. Ada masakan indonesia, asia, bahkan eropa / makanan barat.","Peumandangan kota bandung nyang lagak jeuet takalon sierra kafe lounge. Na dua pilehan teumpat, jeuet lam ruang atawa diluwa. Teumpat nyang romantis pah untuk duek dua dan cocok cit keu teumpat tameusapat ngon rakan-rakan sira tapiyoh hek, saweueb udarajih sijuk an segar. Makanan nyang geuseudiya pih lazat dan le pilehan. na masakan Indonesia, asia, trok eropa / makanan barat.","Pamandangan kota bandung nang bungas kawa diitihi mulai sierra kafe lounge. Ada dua buting pilihan wadah, kawa dalam ruangan atawa di luar. Wadah nang romantis cucuk gasan beduaan ja wan cucuk jua gasan bakumpulan wan kakawanan sasambilan malapas uyuh, karena hawanya sajuk wan manyagarkan. Makanan nang disadiaakan jua nyaman dan banyak pilihan. Ada masakan indonesia, asia, bahkan eropa / makanan barat.","The wonderful scenery of Bandung can be witnessed from Sierra Cafe Lounge. There are two options for locations, indoors and outdoors. A romantic site fit for couples and also to hang out with friends while we unwind, since the air is also cool and fresh. The food served is also delectable with varying choices. There's Indonesian culinary, Asian, and even European/Western dishes.","Pamandhangan kotta bandung se endha kenneng esakseaghi dari sierra kafe lounge. Bada dua' pelean kennengan, kenneng e dalam ruangan otaba e luar. Kennengngan se romantis pas ghabay kaduaan ban pas ghabay kompol bik ca kanca sambi ambha kaso amargha anginna abek ban maseggher. Kakanan se esediaaghi lerres ban bannyak peleanna. Bada kakanan Indonesia, Asia, Eropa/kakanan bara'.","Taluh tempayah hong kota bandung ji bahalap tau nempayah bara sierra kafe lounge. Tege due intihan eka, tau hong huang tau kia hong luar. Eka ji romantis pas akan beduean dengan pas kia akan pumpung hayak kekawalan sambil menganan heka, awi udara ah sedingin dengan mawi segar. Penginan ji nyedia mangat tutu dengan are intihan. Tege pekasak indonesia, asia, sampai eropa/ penginan barat. ","Pamandangan kota bandung anu endah tiasa ditingali ti sierra cafe lounge. Aya dua pilihan tempat, boh dijero rohangan atanapi diluar rohangan. Tempat anu romantis cocog pikeun duduaan jeung oge cocog pikeun ngumpul sareng rerencangan bari santai, kusabab hawana tiis jeung seger. Kadaharan anu disayogikeun oge raoseun sareng seueur pilihan. Aya kadaharan indonesia, asia, eropa / barat oge aya.","Pemandangan kota bandung sane becik polih kesaksiang saking sierra kafe lounge. Wenten kalih pilihan genah, dados tengah ruangan utawi disisi. Genah sane romantis cocok anggen padaduan lan cocok anggen kumpul sareng timpal-timpal sambil ngilangin kenyel, krana udarane tis lan seger. Ajengan sane kasiagayang enak lan akeh pilihan. Wenten ajengan indonesia, asia , kanti eropa/ajengan barat","
Pattiroanna kota bandung iya makae bello yulle mita pole sierra kafe lounge. Engka dua appittereng anroang, wedding ilaleng makkotoparo isaliweng. Anroang iya romantis e sikanangeng lai yonri sippaddua sibawa sikanangeng to yonri sikkumpulu' sibawa anggota-anggotae mabbura tekko, nasaba akkinyawangeng e maccekke' na mappesennang. Anre-anre ipassadiae malunra topa sibawa maega appitterengenna. Engka nasu-nasu indonesia, asia, makkotopa eropa / anre-anre bara'","Pemandangan kutha bandung sing apik iso dideleng saka sierra kafe lounge. Ana rong pilihan panggen, isa ning jero ruangan utawa njaba. Panggon sing romantis sekeco kanggo wong loro lan sekeca kanggo nglumpuk bareng kanca-kanca karo ngilangne kesel, merga udarane adem lan nyegerne. Panganan sing disediakne uga enak lan akeh pilihane. Ana masakan indonesia, asia, malah eropa / panganan kulonan barang.","Pamandangan kota banduang nan indah dapek dicaliak dari sierra kafe lounge. Ado duo piliahan tampek, bisa dalam ruangan maupun di lua. Tampek nan romantis cocok untuak bapole dan cocok juo untuak kumpua samo kawan-kawan sambia malapeh panek, dek udaranyo sajuak dan manyagaran. Makanan yang disadioan lezat lo dan banyak piliahan. Ado makasan indonesia, asia, bahkan eropa.","Hinauli ni kota bandung boi do berengon sian sierra kafe lounge, Adong dua sipillito inganan boi di bagasan boi diluar, Tungmansai tabo inganan padua-dua dohot nahinaholongan manang rampak dohot keluarga manang rap ale-ale pe mangulon pasuang hosa loja alana tung mansai tabo pangullus ni alogo disi, sipanganon pe tung mansai tabo jala marragam, adong do lompa-lompa ni indonesia, asia, nang dohot eropa."
64,Rumah itu memiliki pagar besar berwarna hitam.,Rumoh nyan na pageu rayek wareuna itam.,Rumah itu bisi pagar ganal bawarna hirang.,That house has a tall black fence,Bangko rua andi' paghar raja barnana celleng.,Huma jite tempu pagar hai berwarna bebilem.,Bumi eta gaduh pager ageung warna hideung.,Umah e ento ngelah pagar gede lan mawarna selem.,Bolae iyaro mappunnai palla' loppo makae bolong,Omah kuwi ndhuwe pager gedhe werna ireng.,Rumah tu punyo paga gadang warna itam.,Jabuan marpagar na balga jala na birong
65,"Restoran unik, di mana tidak disediakan piring, untuk makan menggunakan alas daun pisang. Makanan cukup enak.","Restoran unik, hana dipeusedia pingan, keu seumajoh cukop ngui on pisang mantong. Makanan cukop mangat.","Risturan unik, di mana kada disurungi papiringan, gasan makan makai alas daun pisang. Makanan mayan nyaman","A unique restaurant, where you use sheets of banana leaves instead of plates. The food is pretty good","Restoran unik, edimma tak esadiye'eghi pereng, ghebey ngakan angghuy lampen deun gheddheng. Kakanan cokop nyaman.","Restoran unik, kueh jatun kare piring, akan kuman mahapan alas dawen pisang. Panginan cukup mangat.","Restoran na unik, dina teu disayogikeun piring, kanggo tuang nganggo alas daun cau. Tuangeun lumayan raos.","Restoranne unik, asapunika nenten kasiagayang piring, ajengane nganggen don biu. Ajenganne cukup jaen.","restorang de'gaga padanna, de'gaga napasediangngi penne, ko meloki manre pakeki daung loka. pakkanreanna malunra' sah","Restoran unik, nalika ora disediakake piring, kanggo mangan nganggo lepek godhong gedhang. Panganane cukup enak.","Restoran unik, di ma indak disadioan piriang, untuak makan manggunoan aleh daun pisang. Makanan cukuik lamak.","restoran sudung, ala dang di parade pinggan, laho mangan mamangke alas na bulung ni pisang. sipanganon lumayan tabo."
66,Ayah saya merupakan seorang pegawai net tv,Abu loen pegawai Net TV,Abah ulun marupakan saurang pagawai net tv,My dad is an employee in net.TV,Eppakna engkok deddhi panglako e net tv,Apangku begawi huang net tv jadi pegawai.,Bapa abdi nyaeta pegawai net tv,Bapan tiange pegawai net tv,Ambo' ku iyanaritu pajjama okko Net TV,Bapakku pegawe net tv,Ayak awak seorang pegawai net tv,Bapakku i ma sahalak parkarejo ni net tv.
67,Indomie banyak ditemukan di warung-warung terdekat.,Indomie le tateumee bak keude-keude nyang toe.,Indomie banyak ditamuakan di warung-warung nang parak.,Indomie is often found in the nearest roadside stalls.,Indomie bennya' etemmui e berung-berung se semma'.,Indomie are tau dinun  hong warung-warung je tukep.,Indomie seeur kapendak dina warung-warung nu caket.,Indomie akeh kapanggih ring warung-warung sane nampek.,Indomie maega lae runtu okko warung-warung macawe' e.,Indomie akeh ditemukake ing warung-warung paling cepak.,Indomie banyak disobokan di kadai-kadai tadakek.,Godang do indomi dijumpai di partiga-tiga najumonok.
68,Sulit sekali mengerti orang yang merasa selalu benar,Payah that tameuphom ureueng nyang kepike droe sabe beutoi,Ngalih banar memahami urang nang marasa bujur tarus,It's so hard to understand people who think they're always right,sara parana mengerti oreng se arassa bhender malolo,Bahali tutu mengerti ulun je merasa selalu bujur,Hese ngartos jalma anu ngarasa osok bener,Keweh pesan ngerti anak ane ngerasa setata beneh,maka ladde sussa lai yisseng tau tori naseng alena coco',Angel banget ngerteni wong sing terus rumangsa pener,Sulik bana mangarati urang nan maraso bana se taruih,Maol hian mangattusi jolma na mandophon manghilala torus sintong.
69,Mimpi disuruh mencari coklat sama gordon ramsay eh malah kecampur sama kuah indomie,"Meulumpoe di yue mita coklat le Gordon Ramsay, eh meujampu ngon kuah indomie.",Mimpi disuruh mancari coklat lawan gordon ramsay ih malah tacampur sama kuah indomie.,"I was asked to find chocolate by Gordon Ramsay in a dream, but it got mixed with an Indomie broth. ",Mempe e soro nyare ciklat ban gordon ramsay beh daddhi kacampor bi' kuah indomie,Nupi nyuhu menggau kakau awi gordon ramsay boh belalu tecampur hayak tambuy danum kuah indomie,Ngimpi dipiwarang milari coklat ku gordon ramsay eh kalakah kacampur jeung kuah indomie,Mimpi orahina ngalih coklat ajak gordon ramsay ye malah mecampur ajak kuah indomie.,Mannippi laisuro sappa sikola' sibawa gordon ramsay eh mancaji sigarui sibawa durona indomie e,Ngimpi dikon nggolek coklat karo gordon ramsay eh malah kacampur karo duduh indomie,Mimpi disuruah mancari coklat samo gordon ramsay eh malah tacampua jo kuah indomie,Marnipi disuru si gordon ramsay mangalului coklat eh hape laos marsampur tu hua ni indomie
70,"Iya sih mi sedap isinya lebih banyak, tapi soal rasa kalah jauh sama yang lain","Memang nyo mie sedap asoejih le, meunyo nyum talo ngon nyang laen","Iih pang mi sedap ni isinya tabanyak, lamun soal rasa jauh banar wan nang lain","Yeah sure, Mi Sedap has more portion, but when it comes to taste, the others are just far better in comparison.","Iya lah mi sedap essena lebbi bannyak, tape soal rassa kala jhau bi' se laen.","Yuh te mi sedap isi nah labih are, baya soal angat kalah kekejau ah dengan je beken","Emang sih mi sedap eusina leuwih loba, namung rasana mah eleh ku nu sanesna","Ao puk mi sedap isine lebih liu, tapi yen soal rasa nu kalah joh ajak ane lenan","Iya si ro mi sedap e ise'na lebbi eganna, tapi yako persoalang rasa mabela laikala sibawa laingnge"")","Iyo seh mi sedap isine luwih akeh, nanging perkara rasa kalah adoh karo sing liyane","Iyo sih mi sedap isinyo labiah banyak, tapi soal raso kalah jauah samo yang lain","memang mie sedap unggodang do isina, alai anggo dai na dao do hatinggalan sian na asing."
71,"Wah enak banget, sate yang nikmat bumbu yang pas, rasa yang pas dan daging yang segar, hingga menghasilkan sate yang benar benar mantap. Pelayanan yang ramah. ","Oman, leupah mangat, sate nyang mangat bumbujih pah, rasa pih pah ngoe sie nyang segar, makajih sate nyoe bit keuh mangat. Peulayanan pih get.","Wah nyaman banar, sate nang nikmat bumbu nang pas, rasa nang pas wan dagin nang sigar, jadi mahasilakan sate nang bujur bujur mantap. Palayanan nang lamahan","Wow the satay is amazing. Right spices, right seasonings, and fresh meat, all combined to make a damn good satay. The servers are also friendly.","Wah nyaman sarah, sate se nikmat palappa se pas, rassa se pas ben daging se seggher, saengghe ngasellaghi sate se bhender bhender mantap. Pelayanan se ramah.","Boh mangat tutu, sate je mangat dengan bumbu pas, angat je pang dengan daging je segar, lalu mahasih sate je bujur bujur mantap. Pelayanan ramah kea.","Wah, raos pisan, sate nu nikmat bumbu nu pas, rasa nu pas sareng daging nu seger, nepi ngajieun sate nu bener bener mantep. Palayanan nu ramah.","Wah jaen sajan, sate ne jaen basa ne pas , rasane pas lan ulam ne seger, prasida ngasilang sate sane seken seken mantap. Pelayanan sane ramah. ","wah malunra' ladde, sate malunra pake bumbu pas, rasana pas nappa dagingna baru, mancajini sate malunra' tongeng. pelayananna maka to bessa","Wah enak tenan, sate sing nikmat bumbu sing pas, rasa sing pas lan iwak sing seger, nganti ngasilake sate sing tenan mantep. Pelayanane sing grapyak.","Wah lamak bana, sate yang lamak bumbu yang pas, raso yang pas dan dagiang yang segar, sahinggo mahasilan sate yang sabana bana mantap. Palayanan yang ramah.","bah tabo hian, sate na tabo parmasakna pe pas, daina na pas dohot jagal na sogar, gabe mambaen sate na situtu mantap, parhobasna pe burju."
72,Waktu datang ke sini sedang bukan musim stroberi jadi pada kecil-kecil dan tidak bagus. Jadi cuma ambil seadanya saja. __sad__.,Watee jak keuno kon masa musem stroberi sehingga bohjih ubit-ubit dan hana get. Jadi cuma cok ube ala kada mantong.  __weueh__,Pas datang kasini pas lain musim stroberi jadi halus-halus wan kada bagus. Jadi maambil saadanya haja. Maras.,"When I came here, it wasn't strawberry season so they were tiny and bad. So I just took whatever's given. __sad__.",Bakto datang ka diye banni osomma stroberi daddhi pada ni''-keni' ban tada' se baghus. Daddhi pera' ngala' sabadana bhei. seddhi.,Katika dumah kan hetuh jadi beken musim bua stroberi masih kurik-kurik dengan diak bahalap. Jadi baya duan ji tege ih _sedih_.,Sawaktos sumping ka dieu nuju lain musim stoberi jadi aralit sareng teu sae. Jadi ngan nyandak saayana wae. __sedih__,Dugas e mriki sedeng ten musim stroberi dados pada alit-alit lan tusing luung. Dadosne cumak nyemak sakewale manten. _sad_ ,Wettunna lao okkoe mattangangngi tennia wettu stroberi jaji mabiccu maneng mopi sibawa de na makanja. jaji laiyala bawangmi engkae. _sad_,Wektu teka marang mrene egek udu musim stroberi dadi pada cilik-cilik lan ora apik. Dadi mung njupuk seanane wae. __sad__.,Waktu datang ka siko sadang ndak musim stroberi jadi bi ketek-ketek dan ndak rancak. Jadi cuma ambiak saadonyo se. __sad__.,"Tingki ro tu son pas ndang musim stroberi jadi metmet-metmet do pe jala ndang bagak. Gabe holan asal ma adong hubuat. _ lungun _
"
73,"Peresmian pengoperasian kereta api bandara oleh presiden ri dengan simbolis, penekanan tombol sirine yang menyuarakan genta, didampingi oleh menteri perhubungan, menteri bumn, gubernur banten, dirjen perkeretaapian kemhub, dirut ap2, dirut pt kan, dan dirut railink","Peresmian pengoperasian kereta apui bandara oleh presiden ri secara simbolis, teugen tombol sirene yang peutubit sue geunta, didampingi lee Menteri Perhubungan, Meteri BUMN, Gubernur Banten, Dirjen Perkeretapian Kemhub, dirut ap2, dirut pt kan dan dirut railink","Parasmian pangoperasian keret api banda ulih presiden ri wan simbolis, pamicikan tumbul sirine nang manyuaraakan genta, diganii wan menteri pahubungan, menteri bumn, gubernur banten, dirjen perkeretaapian kemhub, dirut ap2, dirut pt kan, wan dirut railink","The inauguration of the airport train by the President of Indonesia is done symbolically by pushing a siren button that sounds the bell, accompanied by Minister of Transportation, Minister Of State-Owned Enterprises, Governor of Banten, Director General of Railway from the Ministry of Transportation, Director of AP2, Director of PT KAN, and the Director of Railink","Paresmian ajhelennaghi seppur bandara bik presiden ri eberrik tandhe, e petek tombol sirine se amunyi genta, ebherengngi bik mantre perhubungan, mantre bumn, gubernur banten, dirjen perkeretaapian kemhub, dirut ap2, dirut pt kan, ben dirut railink","Pumpung hai pengoperasian kereta api lapangan pesawat terawang bara presiden ri dengan simbolis, meneyek tombol sirene ji lembut auh lonceng, nentiring hayak iye ewen mentri perhubungan, mentri bumn, gubernur banten, dirjen perkeretaapian kemhub, dirut ap due, dirut pt ka dengan dirut railink ","Peresmian operasi kareta api bandara ku presiden ri sacara simbolis, neken tombol sirine nu nyuarakeun genta, direncangan ku menteri perhubungan, menteri bumn, gubernur banten, dirjen perkeretaapian kemhub, dirut ap2, dirut pt kan, sareng dirut railink.","Paresmian pengoperasian kereta api bandara saking presiden ri wantah simbolis, penekanan tombol sirine sane nyuarayang genta, kadampingin olih menteri perhubungan, menteri bumn, gubernur banten, dirjen perkereta apian kemhub, dirut ap2, dirut pt kan tur dirut railink","Paccera' appajokkanna kereta api bandara e okko presiden ri mappabbunge', appatenrekeng oni sirine iyae mappassadda genta, laisibawanggi okko menteri perhubungan, menteri bumn, gubernur banten, dirjen perkeretaapian kemhub, dirut ap2, dirut pt kan, sibawa dirut railink","Peresmian operasi sepur bandara dening presiden ri kanthi simbolis, mejet tombol sirine sek nyuarakake genta, dikancani dening menteri perhubungan, menteri bumn, gubernur banten, dirjen perkeretaapian kemhub, dirut ap2, dirut pt kan, lan dirut railink","Paresmian pengoperasian kareta api bandara oleh presiden ri jo simbolis, panekanan tombol sirine nan manyuarokan genta, didampiangan jo menteri perhubungan, menteri bumn, gubernur banten, dirjen pakaretaapian kemhub, dirut ap2, dirut pt kan, dan dirut railink","Pangaojakkon pardalan ni kareta api bandara sian presiden RI secara simbolis, maminsit tombol sirine na marsuarahon genta, didongani menteri perhubungan, menteri bumn, gubernur Banten, dirjen perkeretaapian kemhub, dirut ap2, dirut PT KAI, dohot dirut Raillink."
74,Masakan restoran ini rata-rata tidak enak.,Peunajoh restoran nyoe rata-rata hana mangat.,Masakan risturan ini rata-rata kada nyaman.,Most of the food in this restaurant aren't good,Massakna restoran dinnak rata-rata tak nyaman,Pekasak restoran tuh rata-rata diak mangat.,Masakan restoran ieu rata-rata teu ngeunah.,Masakan restoran ene rata-rata sing jaan.,Nasu-nasunna iya e restorangnge maegangngi de na malunra'.,Masakan restoran iki rata-rata ora enak.,Masakan restoran ko rato-rato ndak lamak.,Lompaan  ni parmanganan on somalna dang tabo.
75,"Cocok untuk makan malam romantis dengan pasangan ketika merayakan momen berdua, makanannya enak dan berkelas.","Cocok untuk pajoh bue malam romantis ngen pasangan untuk merayakan momen berdua, makanan jih pih mangat dan berkelas","Cucuk gasan makan malam rumantis wan pasangan pas marayaakan momen baduaan, makanannya nyaman wan bakalas.","Perfect for a romantic dinner with your partner in sharing a moment together, the food is also delicious and classy","Cocok ghebey ngakan malem romantis  bik pasangan araya'aghi bekto kaduwe'en, kakananna nyaman ben endik kelas.","Pas ih akan kuman hamalem romantis dengan pasangan katika mehaga wayah bedue, penginan ah mangat dengan berkelas.","Cocog pikeun pituangeun romantis sareng kabogoh sawaktos ngarayakeun momen duaan, tuanganana raos sareng berkelas. ","Becik dados ngajeng wengi romantis sareng tunangane tatkala marayakan galah ajaka kalih, ajengane jaen lan berkelas. ","Sikanangeng iyako manre wenni cenning i sibawa balitta ko meloki tudang sippaddua, anre-anrena malunra' na makessing.","Cocok kanggo mangan mbengi romantis karo pasangan nalika ngrameke wayahe wong loro, panganane enak lan ndhuwe kelas.","Cocok untuak makan malam romantis jo pasangan katiko marayoan momen baduo, makanannyo lamak dan bakelas.","Cocok laho mangan borngin dohot hallet tingki mangarayahon tingki padua-dua, sipanganon na tabo jala markelas."
76,"Batagornya enak, mi nya enak. Ada aneka makanan yang bisa dicicip di satu tempat, apalagi sekarang tokonya sudah direnovasi jadi bagus. Ada musala. Area oleh-oleh banyak pilihan. ","Batagorjih mangat, mijih mangat, Na meubagoe makanan nyang jeuet tarasa bak saboh teumpat, peue lom jinoe tokojih ka jirenovasi leubeh get. Na musalla. Area oleh-oleh le pilehan.","Batagornya nyaman, mi nya nyaman. Ada bamacam makanan nang kawa dicubai di sabuting wadah, apalagi wahini tokonya hudah dibaiki jadi bebaik. Ada musala. Area oleh-oleh bamacam jua pilihannya","The Batagor's good, the noodle's great. Lots of food to choose from in just one place, especially since the shop's been renovated for the better. There's a musala. Lots of variety in the souvenir area, too.","Batagorra nyaman, mie na nyaman. Bede macemma kakanan se bisa erassae e settong kennengngan, apa pole satiya tokona la epateppa' deddhi bhegus. Bede langgherre. Kennengngan leolle bennya' pelean.","Batagor te mangat, mi te mangat. Tege are penginan ji tau keme hung ije eka, mun wayah tuh toko te jadi ngembuah labih bahalap. Tege musala. Eka oleh-oleh are intihan.","Batagorna raos, mi na raos. Aya rupi-rupi tuangeun nu tiasa dicicip di hiji tempat, komo ayeuna tokona tos direnovasi janten sae. Aya musola. Area oleh-oleh seueur pilihan.","Batagorne jaan, mi ne jaan. Ada megenep ajengan sane dadi cicipin ring besik tongos, apa buin jani tokone sampun merenovasi dadi luung. Ada musala. Area oleh-oleh liu pilihan.","Batagor na malunra', mi na malunra'. Engka maddupa-dupang anre iye wedding e laipirasai ri siddie anroang, naekkiya makkokkoe toko na purani ipakanjaki mancajiwi makanja. Engka musala. Anroang oleh-oleh na maddupa-dupang topa.","Batagore enak, mi ne enak. Ana aneka panganan sing isa dicicip ing sak panggonan, apameneh saiki tokone uwis direnovasi dadi apik. Ana musala. Area oleh-oleh akeh pilian.","Batagornyo lamak, mi nyo lamak. Ado aneka makanan nan bisa dicubo di ciek tampek, apolai kini tokonyo alah direnovasi jadi rancak. Ado musala. Area oleh-oleh banyak piliahan.","Batagorna tabo, mi na tabo. Adong marragam sipanganon na boi daion di sada inganan, lamma nuaeng lapona nungga di pature gabe bagak. Adong musala. Inganan laho manuhor ole-ole pe godang sipilliton."
77,"Baru pakai berapa hari langsung hang, power bank tidak bisa di pake apa-apa. Harus bawa ke tempat servis.","Baro ta pakek padup uroe ka langsung heng, power bank hanjet ta pakek keu leumpe. Harus ta me u tempat service.","Hanyar pakai barapa hari langsung hang, power bank kada bisa dipakai napa-napa. Harus bawa ka tukang servis.","Just used it for a few days and it's already hanging, the power bank can't do a thing. Have to be taken into service","Bhuru eyangghuy berempa are la napak hang, power bank tak bisa eyangghuy apa-apa. Kodhu ghibe ka kennengngan servis.","Haru hapan pire andau palus hang, power bank diak tau hapan narai-narai. Harus imbit kan eka servis.","Nembe nganggo sababaraha dinten langsung hang, power bank teu tiasa dianggo nanaon. Kudu dicandak ka tempat servis.","Mara nganggon kudang dina langsung hang, power bank sing dadi anggon apa-apa. Musti ngaba ka tongos servis.",nappai siang esso lai pake tappa hang ni. power bank de nullei lai pake maga-maga. wedding ni lae bawa lao onroang servis e,"Nembe nganggo pirang dina langsung hang, power bank ora isa dinggo apa-apa. Kudu gawa marang panggonan servis.","Baru pakai bara hari langsuang hang, power bank indak bisa di pakai apo-apo. Harus baok ka tampek servis.","Baru dipakke piga ari langsung hang, power bank na dang boi dipake manang tuaha. Ikkon diboan tu parservis."
