konspirasi,konspirasi,haba hana jeulah,,,
korban,korban,,,,
korban jiwa,korban nyawong,,,,
kosong,soh,,,,
kotor,kuto,,,,
kuat,kong,teuga,,,
kurang,kureung,,,,
kutuk,kutok,laknat,,,
kutukan,laknat,,,,
langgar,langgeh,han pateh,,,
larang,tham,,,,
larangan,pantangan,,,,
lawan,lawan,han pateh,,,
layak,jeut,,,,
lebih,leubeh,,,,
lebih baik,leubeh get,,,,
lembut,aloh,,,,
lengkap,lengkap,,,,
lenyap,gadoh,,,,
lewat,rot,lewat,,,
lihat,kalon,eu,deuh,leumah,
lmao,han ek takhem lee,,,,
luar biasa,luar biasa,,,,
lucu,lucu,jeunaka,,,
luka,luka,cidra,teupeh,,
lupa,tuwoe,,,,
maaf,meuah,,,,
mahal,meuhai,,,,
mampu,mampu,jeut,ek,,
marah,beungeh,,,,
masalah,masalah,peukara,bhah,,
mati,matee,ajai,mawot,meuninggai,wafeut
mayat,mayet,,,,
melakukan,peulaku,,,,
melanggar,meulanggeh,,,,
melemahkan,peuleumoh,,,,
melindungi,peulindong,,,,
melumpuhkan,peureubah,peulumpuh,,,
memastikan,peupasti,,,,
membahayakan,membahayakan,,,,
membantu,bantu,,,,
membatalkan,peubateu,,,,
membenci,banci,,,,
membuka,buka,,,,
membunuh,poh matee,,,,
memerangi,meuprang,,,,
mempertanyakan,teumanyong,,,,
memuji,meumujoe,,,,
menahan,peutheun,,,,
menanti,meupreh,,,,
menarik,meunarek,,,,
mencurigakan,roh teujalok,,,,
mendapatkan,meuteumeu,,,,
menderita,awoh,mendeurita,,,
mendoktrin,pasoe haba lam ulee,,,,
mendorong,tulak,,,,
mendukung,dukong,,,,
mendung,reudok,,,,
menembak,teumimbak,,,,
menerima,meuterimong,,,,
mengakui,peuaku,,,,
mengamankan,peuaman,,,,
mengeluarkan,peuteubit,,,,
mengembalikan,jipulang,,,,
mengerikan,ngeri,teumakot,garang,,
menghancurkan,peuanco,,,,
menghargai,boh yum,,,,
menghindari,hindari,,,,
mengusir,peuusee,,,,
mengutuk,kutok,,,,
meninggal,meuninggai,,,,
meningkatkan,peutingkat,peu'ek,,,
menolak,tulak,,,,
menunggu,preh,,,,
menurunkan,peutron,,,,
menyadari,sadar,,,,
menyalahkan,peusalah,,,,
menyambut,sambot,,,,
menyebabkan,seubab,saweub,,,
menyerang,meutajo,,,,
menyeret,sireuk,bahu,,,
menyesatkan,peuseusat,,,,
menyita,rampah,sita,,,
meragukan,sangsi,,,,
meruntuhkan,peuruntoh,peubinasa,,,
minta,lakee,,,,
minta maaf,lakee meuah,,,,
miskin,gasin,papa,,,
moga,mudah-mudahan,,,,
muda,muda,,,,
mudah,mudah,,,,
muka,muka,,,,
mulia,mulia,,,,
mundur,surot,,,,
murah,murah,,,,
murka,beungeh,,,,
musuh,musoh,,,,
nanti,eunteuk,,,,
nekat,nikat,,,,
neraka,nuraka,,,,
ngeri,ngeri,yo,takot,,
ngerti,meuphom,tu'oh,,,
nilai,nilai,,,,
oke,oke,,,,
oleh,le,,,,
orang bodoh,ureung ngeut,ureung bangai,,,
pada,bak,,,,
padat,padat,meusak-sak,,,
pahlawan,pahlawan,,,,
palsu,hana aseuli,,,,
panas,suum,,,,
panik,panik,duk-dong,,,
panjang,panyang,,,,
pantat,punggong,,,,
parodi,parodi,buet peuget khem,,,
pasti,pasti,teuntee,,,
pecah,beukah,,,,
peduli,peureumeun,peduli,,,
pelaku,peulaku,,,,
pelaku kejahatan,awak peulaku bhah jahee,,,,
pembela,awak bila,,,,
pemberani,beuhe,,,,
pemberontakan,burat,,,,
penangkapan,peudrop,,,,
pendukung,pendukung,,,,
penembakan,temimbak,,,,
pengecut,geusuen,,,,
pengunjung,awak keumunjong,,,,
penjara,peunjara,,,,
penting,peunteng,,,,
penuh,peunoh,,,,
penularan,penularan,,,,
penyelamat,juru selamat,,,,
penyelidikan,penyelidikan,,,,
perampok,perampok,,,,
perang,prang,,,,
perasaan,peurasaan,,,,
percaya,peucaya,pateh,,,
perdamaian,perdamaian,,,,
peringatan,peuingat,,,,
perjuangan,perjuangan,,,,
pertanyaan,soalan,,,,
pertempuran,meukeupong,meulho,,,
pikir,pikee,ingat,,,
pintar,caroeng,,,,
populer,meusyeuhu,dithee,,,
positif,positif,,,,
potong,koh,kret,,,
puja,pujoe,,,,
puji,pujoe,,,,
pukul,poh,,,,
pulih,puleh,,,,
pura,pura,,,,
pusing,mumang,,,,
racun,tuba,racon,,,
rahmat,rahmat,,,,
rampas,cok paksa,,,,
ras,ras,,,,
raya,raya,,,,
rela,ikhlas,,,,
rindu,rihon,meusyen,rindu,,
runtuh,binasa,runtoh,,,
sadar,beudoh,jaga,teupeu,thee,
saham,saham,,,,
sakit,saket,,,,
salah,salah,,,,
salam,saleum,,,,
salut,hormat,,,,
sama,ngoen,saban,,,
samping,bineh,sampeng,nireng,,
sangat,that,leupah,,,
santai,santai,selo,teunang,,
sapa,sapa,hoi,,,
saran,saran,,,,
sayang,sayang,weuh,,,
sebab,sebab,saweub,kareuna,,
sebut,sebut,surah,teu-oh,,
sedih,seudeh,weuh,,,
segan,seugan,,,,
selamat,seulamat,jroh,,,
selesai,seuleso,kalheuh,,,
semangat,seumangat,,,,
sembunyi,meusom,sorok,,,
semoga,mudah-mudahan,,,,
sempat,meuteumeu,,,,
senang,seunang,galak,harok,geumbira,
sendiri,sidroe,keudroe,,,
senjata,senjata,,,,
senyum,khem,,,,
seperti,lagee,tamse,,,
sepi,seungu,,,,
seragam,seragam,sabee,,,
seram,seuram,,,,
serang,serang,tajo,,,
serangan,serangan,,,,
serikat,serikat,,,,
siap,keumah,siap,,,
sigap,sigap,ligat,,,
silahkan,silakan,,,,
simpati,simpati,,,,
simpatik,simpatik,,,,
solidaritas,solidaritas,,,,
sopan,sopan,,,,
stres,setreh,,,,
striker,striker,penyerang,,,
suap,suleung,ap,,,
suka,galak,harok,,,
sulit,susah,payah,,,
super,super,,,,
surga,syiruga,,,,
susah,susah,payah,apoh-apah,,
tabah,iba,saba,,,
tabrak,pok,khok,,,
tahan,theun,,,,
tahanan,tahanan,,,,
tak kalah,hana taloe,,,,
takut,takot,yo,,,
tanggung jawab,tanggong jaweub,,,,
tangis,mo,klik,,,
tangkap,drop,,,,
tantangan,tantangan,,,,
tanya,tanyoeng,,,,
tegang,ceukang,,,,
tegas,tegas,bijak,,,
tembak,timbak,,,,
tempur,cang,,,,
tenang,tenang,,,,
tenggelam,teunom,bhuek,,,
tentang,tentang,bhah,,,
tentu,teuntee,,,,
teramat,leupah,that,,,
terbesar,paleng rayeuk,paleng raya,,,
terbunuh,matee,,,,
terganggu,teugogah,,,,
tergantung,tergantung,,,,
teriak,meuraong,klik,,,
teriakan,klik,,,,
terima,teurimoeng,,,,
terima kasih,terimong gaseh,,,,
terimakasih,terimong gaseh,,,,
terkejut,teukeujot,,,,
terkena,keunong,teupeh,,,
terluka,luka,teupeh,cidra,,
teror,peukaru,,,,
terpengaruh,meupeungaroh,,,,
tersangka,teusangka,,,,
tersinggung,teupeh atee,,,,
tertarik,teutarek,,,,
tertentu,meuteuntee,,,,
tertinggal,teutinggai,,,,
tidak,han,,,,
tidak aman,hana aman,,,,
tinggal,tinggai,,,,
tingkat,tingkat,glah,,,
tragedi,kejadian,,,,
trauma,trauma,,,,
tubuh,badan,tuboh,,,
tuduhan,tudohan,,,,
tukang jualan,awak meukat,,,,
tumpas,peuabeh,,,,
tunda,tanggoh,eunteuk,,,
tunggu,preh,,,,
turun,tron,,,,
tutup,top,,,,
uang,peng,,,,
untung,untong,laba,,,
utuh,lengkap,sempurna,,,
wajib,wajeb,haroh,musti,,
waspada,beuteugoh,,,,
wow,wah,omak,,,
ya,ya,get,tuan,,
yakin,yakin,pasti,,,
