populer,tanamo,,,
positif,positif,,,
potong,potong,,,
puja,puja,,,
puji,puji,,,
pukul,tokok,,,
pulih,pulih,,,
pura,icak-icak,,,
pusing,paniang,pusiang,,
racun,racun,tubo,,
rahmat,rahmaik,,,
rampas,rabuik,,,
ras,ras,,,
raya,rayo,,,
rela,rela,,,
rindu,taragak,,,
runtuh,runtuah,,,
sadar,sadar,,,
saham,saham,,,
sakit,sakik,,,
salah,salah,,,
salam,salam,,,
salut,salut,,,
sama,samo,,,
samping,sampiang,,,
sangat,sangaik,,,
santai,santai,,,
sapa,sapo,,,
saran,saran,,,
sayang,sayang,,,
sebab,sabab,,,
sebut,sabuik,,,
sedih,sadiah,,,
segan,sagan,,,
selamat,salamaik,,,
selesai,salasai,,,
semangat,samangaik,,,
sembunyi,mandok,sambunyi,,
semoga,samoga,,,
sempat,sempat,,,
senang,sanang,,,
sendiri,surang,,,
senjata,sanjato,,,
senyum,senyum,,,
seperti,mode,,,
sepi,langang,,,
seragam,saragam,,,
seram,seram,,,
serang,sarang,,,
serangan,sarangan,,,
serikat,sarikek,,,
siap,siap,,,
sigap,sigap,pikeh,,
silahkan,silahkan,,,
simpati,simpati,,,
simpatik,simpatik,,,
solidaritas,solidaritas,,,
sopan,sopan,,,
stres,stres,,,
striker,stiker,,,
suap,suok,,,
suka,suko,,,
sulit,sulik,,,
super,super,,,
surga,sarugo,,,
susah,susah,,,
tabah,tabah,,,
tabrak,lantak,,,
tahan,tahan,,,
tahanan,tahanan,,,
tak kalah,ndak kalah,,,
takut,takuik,,,
tanggung jawab,tangguang jawab,,,
tangis,tangih,,,
tangkap,tangkok,,,
tantangan,tantangan,,,
tanya,tanyo,,,
tegang,tagang,,,
tegas,tageh,,,
tembak,tembak,,,
tempur,tempur,,,
tenang,tanang,,,
tenggelam,tanggalam,,,
tentang,tentang,,,
tentu,tantu,,,
teramat,taramaik,,,
terbesar,paliang gadang,,,
terbunuh,tabunuah,,,
terganggu,tagaduah,,,
tergantung,tagantuang,,,
teriak,marakiak,,,
teriakan,teriakan,,,
terima,tarimo,,,
terima kasih,tarimo kasih,,,
terimakasih,tarimokasih,,,
terkejut,takajuik,,,
terkena,takanai,,,
terluka,taluko,,,
teror,teror,,,
terpengaruh,tapangaruah,,,
tersangka,tasangka,,,
tersinggung,tasingguang,,,
tertarik,tatarik,,,
tertentu,tertentu,,,
tertinggal,tatingga,,,
tidak,indak,,,
tidak aman,indak aman,,,
tinggal,tingga,,,
tingkat,tingkek,,,
tragedi,tragedi,,,
trauma,trauma,,,
tubuh,tubuh,badan,,
tuduhan,tuduahan,,,
tukang jualan,tukang manggaleh,,,
tumpas,tumpeh,,,
tunda,tundo,,,
tunggu,tunggu,,,
turun,turun,,,
tutup,tutuik,,,
uang,pitih,,,
untung,untuang,,,
utuh,utuah,,,
wajib,wajib,,,
waspada,waspada,,,
wow,wow,,,
ya,yo,,,
yakin,yakin,,,
