abu,abuw
mengakui,mangaku
mengamankan,mangamanan
mengeluarkan,mangaluaan
mengembalikan,mambaliakan
mengerikan,ngeri
menghancurkan,mahancuan
menghargai,maharagoi
menghindari,mahindar
mengusir,mangusia
mengutuk,mangutuak
meninggal,maningga
meningkatkan,maningkekan
menolak,manolak
menunggu,manunggu
menurunkan,manurunan
menyadari,manyaradari
menyalahkan,manyalahan
menyambut,manyambuik
menyebabkan,manyababan
menyerang,manyarang
menyeret,manyeret
menyesatkan,manyasekan
menyita,manyita
meragukan,maraguan
meruntuhkan,maruntuahan
minta,mintak
minta maaf,mintak maaf
miskin,bangsaik
moga,moga
muda,mudo
mudah,mudah
muka,muko
mulia,mulia
mundur,mundur
murah,murah
murka,murko
musuh,musuah
nanti,beko
nekat,nekat
neraka,narako
ngeri,ngeri
ngerti,ngarati
nilai,nilai
oke,oke
oleh,dek
orang bodoh,urang bodoh
pada,pado
padat,padek
pahlawan,pahlawan
palsu,palsu
panas,angek
panik,panik
panjang,panjang
pantat,lancirik
parodi,parodi
pasti,pasti
pecah,pacah
peduli,paduli
pelaku,pelaku
pelaku kejahatan,panjaek
pembela,pambela
pemberani,pambarani
pemberontakan,pambarontak
penangkapan,panangkokan
pendukung,pandukuang
penembakan,panembakan
pengecut,pangacuik
pengunjung,pangunjuang
penjara,panjaro
penting,pantiang
penuh,panuah
penularan,panularan
penyelamat,panyalamaik
penyelidikan,panyalidikan
perampok,parampok
perang,parang
perasaan,parasaan
percaya,pacayo
perdamaian,padamaian
peringatan,paringatan
perjuangan,pajuangan
pertanyaan,patanyaan
pertempuran,patampuran
pikir,pikia
pintar,pintar
populer,tokok
positif,positif
potong,potong
puja,puja
puji,puji
pukul,pukua
pulih,cegak
pura,purak-purak
pusing,pusiang
racun,racun
rahmat,rahmat
rampas,rampas
ras,ras
raya,rayo
rela,rela
rindu,taragak
runtuh,runtuah
sadar,sadah
saham,saham
sakit,sakik
salah,salah
salam,salam
salut,saluik
sama,samo
samping,sampiang
sangat,sangaik
santai,santai
sapa,sapo
saran,saran
sayang,sayang
sebab,sabab
sebut,sabuik
sedih,sadiah
segan,sagan
selamat,salamaik
selesai,salasai
semangat,samangaik
sembunyi,mandok
semoga,samoga
sempat,sempat
senang,sanang
sendiri,surang
senjata,sanjato
senyum,senyum
seperti,bantuak
sepi,langang
seragam,saragam
seram,seram
serang,sarang
serangan,sarangan
serikat,sarikat
siap,siap
sigap,sigap
silahkan,silahkan
simpati,simpati
simpatik,simpatik
solidaritas,solidaritas
sopan,sopan
stres,setres
striker,stiker
suap,suok
suka,suko
sulit,sulik
super,super
surga,sarugo
susah,payah
tabah,tabah
tabrak,tabrak
tahan,tahan
tahanan,tahanan
tak kalah,ndak kalah
takut,takuik
tanggung jawab,tangguang jawek
tangis,tangih
tangkap,tangkok
tantangan,tantangan
tanya,tanyo
tegang,tagang
tegas,tageh
tembak,tembak
tempur,parang
tenang,tanang
tenggelam,tabanek
tentang,tantang
tentu,tantu
teramat,taramaik
terbesar,paliang gadang
terbunuh,tabunuah
terganggu,tagaduah
tergantung,tagantuang
teriak,sorak
teriakan,sorakan
terima,tarimo
terima kasih,tarimo kasih
terimakasih,tarimo kasih
terkejut,takajuik
terkena,takanai
terluka,taluko
teror,teror
terpengaruh,tapangaruah
tersangka,tasangko
tersinggung,tasingguang
tertarik,takasan
tertentu,tatantu
tertinggal,tatingga
tidak,ndak
tidak aman,ndak aman
tinggal,tingga
tingkat,tingkek
tragedi,tragedi
trauma,trauma
tubuh,tubuah
tuduhan,tuduahan
tukang jualan,tukang jua
tumpas,salasai
tunda,tunda
tunggu,tunggu
turun,turun
tutup,tutuik
uang,pitih
untung,untuang
utuh,utuah
wajib,wajib
waspada,was was
wow,wow
ya,ya
yakin,yakin
