,source,target
242,memotoŋ,maŋareʔ
243,memukul,manokoʔ
244,menanam,mananam
245,menangis,manaŋih
246,menaŋis,manaŋih
247,mencium,maidu
248,mencuri,manciloʔ
249,mendaki,naiaʔ
250,mendataŋ,tibo
251,mendataŋi,tibo
252,mendekati,tibo
253,mendeNar,mand~aNa
254,mendengar,mandaŋa
255,mendeŋar,mandaŋa
256,menduduk,duduaʔ
257,menembak,manembaʔ
258,menémbak,manembaʔ
259,menetak,maŋareʔ
260,mengalir,mailie
261,menggali,maŋali
262,menggaruk,maŋgauiʔ
263,menghitung,maetoŋ
264,mengikat,mangabeʔ
265,mengisap,maisoʔ
266,menguap,kuoʔ
267,menikam,manikam
268,meniup,burambuih
269,menjahit,manjaiʔ
270,menumbuk,manumbua...
271,menusuk,manikam
272,merah,sirah
273,mérah,sirah
274,mereka,raŋ tu
275,meréka,raŋ tu
276,meremas,maramoh
277,mesjid,musajik
278,meŋalir,mailie
279,meŋgarut,maŋgauiʔ
280,meŋgigit,maŋgigiʔ
281,meŋguap,kuoʔ
282,meŋhituŋ,maetoŋ
283,meŋikat,mangabeʔ
284,meŋisap,maisoʔ
285,meŋuñah,maŋuñah
286,mimpi,barasian
287,minum,minun
288,misigit,musajik
289,mulut,muncuaŋ
290,muntah,mutah
291,naik,naiaʔ
292,%nama,%namo
293,nama,namo
294,ñamuk,ranŋiʔ
295,Nasrani,Karisten
296,nen,kito
297,nyamuk,ranŋiʔ
298,om,mamak
299,oraN,uraN
300,orang,uraŋ
301,oraŋ,uraŋ
302,paman,mamak
303,panas,paneh
304,panjang,panjaʔ
305,panjaŋ,panjaʔ
306,pasir,kasiaʔ
307,%payudara,susu
308,peler,kalempong
309,pendek,pende
310,péndék,pende
311,PenentuanArti,PanantuanArti
312,penyakit kusta,kusta
313,perempuan,padusi
314,Perserikatan Bangsa-Bangsa,Pasarikatan Banso-Banso
315,perut,paruit
316,planit,planet
317,punggung,puŋguaŋ
318,pusar,pusek
319,putih,putiah
320,rambut,abuaʔ
321,rimba,rimbo
322,rumah,rumah
323,rumput,rumpuiʔ
324,sakit,sakiʔ
325,sapi,jawi
326,satu,ciek
327,saudara,dunsanak
328,saya,ambo
329,sayap,sayoʔ
330,sayuran,sayuaran
331,sayur mayur,sayuaran
332,sayur-sayuran,sayuaran
333,sebiji buah,buah-buahan
334,sembilan,sambilan
335,sembuñi,mandoʔ
336,sempit,sampi
337,semua,sadoño
338,sepak bola,sepak bola
339,sepuluh,sapuluah
340,seratus,saratuih
341,seribu,saribu
342,serta,tibo
343,siapa,sia
344,Stockholm,Stockholm
345,suami,laki
346,susu,susu
347,tahu,tau
348,tahun,taun
349,tajam,tajam
350,takut,takuiʔ
351,tali,tali
352,tanah,tanah
353,taNan,taNan
354,tangan,tangan
355,tante,etek
356,taŋan,taŋan
357,tebal,taba
358,teliNa,taliNo
359,telinga,taliŋo
360,teliŋa,taliŋo
361,telor,talua
362,telur,talua
363,terbang,tabaŋ
364,terbaŋ,tabaŋ
365,tertawa,galaʔ
366,tidak,indaʔ
367,tidur,laloʔ
368,tiga,tigo
369,tikus,manciʔ
370,tipis,tipih
371,titit,kalempong
372,tua,tuo
373,tujuh,tujuah
374,tulaN,tulaN
375,tulang,tulang
376,tulaŋ,tulang
377,tuma,kutu
378,tumbuh,iduiʔ
379,tumbuh-tumbuhan,tumbuah
380,tumpul,buntu
381,ular,ula
382,urat,ureʔ
383,usus,tambonsu
384,usus besar,tambonsu
385,usus kecil,tambonsu
386,wanita,padusi
387,yad,tangan
388,Zalan,labuah
389,zon,amb~o
