bulu	abbulu
anjing	asu
busuk	busuk
busuk	maŋgum
buah	parbue
buah-buahan	parbue
sebiji buah	parbue
bunga	bunga
buŋa	bunga
rumput	duhut
aku	ahu
saya	ahu
zon	ahu
di bawah	di toru
[di] dalam	di bagasan
di dalam	di bagasan
naik	nakkok
memanjat	nakkok
mendaki	nakkok
di	di
bersembunyi	martabuni
sembuñi	martabuni
dekat	jonok
ini	on
kapan	add|igan
bila	add|igan
nama	goar
ayah	amaŋ
bapak	amaŋ
rumah	bagas
rumah	jabu
mengikat	makkobet
meŋikat	makkobet
menjahit	maŋjait
berbicara	marhata
berkata	marhata
tali	tali
jarum	jarum
berburu	marburu
hujan	udan
laba-laba	tabbaŋ-rabbaŋ
dahan	dakka
akar	urat
urat	urat
angin	alogo
aŋin	alogo
dingin	ŋali
diŋin	ŋali
meludah	marsitijur
meludahi	marsitijur
makan	maŋan
menangis	taŋis
menangis	tumataŋis
menaŋis	taŋis
menaŋis	tumataŋis
lidah	dila
tertawa	mekkel
ketawa	mekkel
mulut	hehe
gigi	ŋiŋi
mendeNar	mabege
lihat	mamereN
melihat	mamereN
mati	mate
di atas	di gijjaŋ
[di] atas	di gijjaŋ
itu	i
takut	mabiar
leher	rukkuŋ
léhér	rukkuŋ
laut	laut
garam	sira
danau	tao
hutan	rabba
rimba	rabba
batu	batu
pasir	rihit
air	aek
mengalir	mardalan
meŋalir	mardalan
langit	laŋ..it
laŋit	laŋ..it
bulan	bulan
dua	dua
satu	%sade
tahun	taon
hari	ari
malu	maila
sakit	marsahit
baru	ibbaru
lama	toras
tua	toras
jahat	jahat
bagus	deŋgan
baik	deŋgan
malam	bȯrŋin
benar	sittoŋ
meniup	maŋullus
bertiup	maŋullus
bermimpi	marnipi
mimpi	marnipi
duduk	huddul
menduduk	huddul
berdiri	joŋjoŋ
orang	halak
oraŋ	halak
laki-laki	baoa
perempuan	boru-boru
anak	dakdanak
anak	dukak
suami	tuŋganidoli
isteri	tuŋganiboru
bunda	inaŋ
ibu	inaŋ
sepuluh	sampulu
mati	mate
membunuh	mabbunu
menggaruk	makkao
meŋgarut	makkao
hidup	maŋolu
menikam	maniham
menusuk	maniham
menembak	manembak
menémbak	manembak
mencuri	manakko
memukul	maŋgorpuŋ
darah	mudar
hidung	iguŋ
hiduŋ	iguŋ
mencium	maŋaŋgo
bernafas	marhosa
bernapas	marhosa
putih	bottår
tulaN	holiholi
kulit	hulikuliN
belulaN	hulikuliN
bintaN	bitaN
air	aek
dataN	ro
bagaimana	boha
menghitung	maŋetoŋ
meŋhituŋ	maŋetoŋ
semua	saluhut
semua	sude
dan	dohot
kalau	molo
air	aek
kilat	hilap
guntur	roŋgur
gemuruh	roŋgur
hujan	udan
kabut	hobot
awan	obbun
bintang	bittaŋ
bintaŋ	bittaŋ
bunda	inang
emak	inang
ibunda	inang
ibu	inang
kamu	hamu
saudara	hamu
anda	hamu
baru	ibaru
%nama	goar
kutu	hutu
tuma	hutu
anZiN	biaN
anZiN	panaNg~ai
anjiN	biaN
anjiN	panaNg~ai
ikan	ihan
ikan	deke
%insan	halak
oraN	halak
daun	buluN
duan	buluN
dia	ibana
dia	imana
[d]ia	ibana
[d]ia	imana
di mana	di dia
dimana	di dia
empat	opat
dua	dua
tiga	tolu
satu	sade
tujuh	pitu
enam	onom
lima	lima
merah	rara
mérah	rara
hitam	biroŋ
mata	mata
mata	simaloloN
kayu	hau
memotong	mamotoŋ
memotong	maŋgotap
memotoŋ	mamotoŋ
memotoŋ	maŋgotap
menetak	mamotoŋ
menetak	maŋgotap
telinga	piŋgol
kupiŋ	piŋgol
teliŋa	piŋgol
mengisap	maŋoncop
meŋisap	maŋoncop
gigit	makkarat
meŋgigit	makkarat
minum	minim
menguap	hohoamon
meŋguap	hohoamon
melihat	mamereŋ
mata	mata
mata	simaloloŋ
mendengar	mabbege
mendeŋar	mabbege
berbaring	gále-gále
berbariŋ	gále-gále
tidur	modom
memegang	maniop
memegaŋ	maniop
membelah	mabbola
tajam	tajóm
tumpul	majal
bekerja	markarejo
menanam	manuan
memilih	mamillit
tumbuh	tubu
membengkak	marbokkak
membeŋkak	marbokkak
perut	usus
usus	usus
isi perut	usus
lambuŋ	usus
usus besar	usus
usus kecil	usus
kotor	rotak
susu	susu
dada	susu
bahu	abara
empat	opat
memasak	maŋaloppa
tiga	tolu
api	api
batu	batu
Zalan	dalan
jalaN	dalan
hati	ateate
memeras	mamoro
meremas	mamoro
darah	mudar
air	aek
berat	borat
api	api
kering	mahiaŋ
keriŋ	mahiaŋ
basah	bornok
basah	maraek
abu	sirabun
membakar	manutuŋ
asap	timus
debu	orbuk
siapa	ise
apa	aha
mereka	nasida
meréka	nasida
kalian	hamu saluhut
kalian	hamu sude
kamu	hamu saluhut
kamu	hamu sude
anda	hamu saluhut
anda	hamu sude
eŋkau	hamu saluhut
eŋkau	hamu sude
kami	hami
kami	hita
kita	hami
kita	hita
kamu	hamu
anda	hamu
eŋkau	hamu
aku	ahu
saya	ahu
jauh	dao
sembilan	sia
delapan	uwalu
empat	opat
memikir	marpikkir
berfikir	marpikkir
tahu	boto
kepala	ulu
rambut	obuk
