,source,target
200,Bahasa Perancis,basa Prancis
201,bahasa Perancis,basa Prancis
202,bahasa perancis,basa prancis
203,bahasa polski,basa polski
204,bahasa Romansch,Romansh
205,bahasa Romansh,Romansh
206,Bahasa Sansekerta,Basa Sansekreta
207,bahasa Sansekerta,basa Sangskreta
208,bahasa Sanskerta,basa Sangskreta
209,bahasa sanskerta,basa sangskreta
210,bahasa sasak,basa sasak
211,bahasa serbia,basa serbia
212,bahasa Spanyol,basa Spanyol
213,bahasa spanyol,basa spanyol
214,bahasa Sunda,basa Sundha
215,bahasa sunda,basa sundha
216,Bahasa Tamil,Basa Tamil
217,bahasa tamil,basa tamil
218,bahasa Tetun,basa Tetun
219,bahasa tetun,basa tetun
220,Bahasa Tok Pisin,Basa Tok Pisin
221,bahu,bahu
222,baik,apik
223,bajing,bajing
224,bajingan,asu
225,bajingan kamu,jancok
226,baju,klambi
227,bakmi,bakmi
228,Baku,Baku
229,balap karung,balap karung
230,bambu,pring
231,bandit,bajingan
232,Bangladesh,Bangladesh
233,bangsa,negara
234,Bangsa Inggris,Bangsa Inggeris
235,bangsat,mbokné ancok
236,bank,bank
237,bantal,bantal
238,banyak,okeh
239,banyak omong,cangkeman
240,bapa,bapak
241,bapak,bapak
242,barat,kulon
243,barat daya,kidul-kulon
244,Barbados,Barbados
245,baring,ngapusi
246,baru,enggal
247,basa,basa
248,basah,teles
249,batik,bathik
250,batok kepala,tengkorak
251,batu,watu
252,batu bata,bata
253,bau,ambu
254,bawah tanah,ngisor
255,bawang,brambang
256,bawang merah,brambang
257,bawang putih,bawang
258,bayam,bayem
259,Bayern,Bayern
260,bayi,bayi
261,bebal,goblog
262,bebek,bebek
263,beda,seje
264,bedah,bedhah
265,bedebah,jancok
266,Beijing,Beijing
267,bekerja,kerjo
268,belajar,sinau
269,belakaŋ,peŋker
270,belalang,walang
271,Belanda,Walanda
272,belanja,blonjo
273,belantara,wana
274,Belarus,Belarus
275,belerang,welirang
276,Belgia,Belgia
277,beliau,ḍεwεʔ-e
278,belimbing,blimbing
279,Belize,Belize
280,belok,menggok
281,bélok,menggok
282,belut,welut
283,benang,bola
284,benar,bener
285,benar-benar,tenan
286,bendera,gendéra
287,bengkak,abuh
288,Benin,Benin
289,benteng,bèntèng
290,beol,ngising
291,berani,kendel
292,beras,beras
293,berat,abot
294,berbaring,sarean
295,berbariŋ,sarean
296,berbau,mambu
297,berbeda,benten
298,berbeda-beda,beda
299,berbicara,ngomong
300,berburu,buru
301,berderik-derik,tenan
302,berdiri,ad.ěg
303,berdosa,duso
304,berenang,ŋlaŋi
305,berenaŋ,langhuy
306,berfikir,mikir
307,berhati-hati,ati-ati
308,beri,weneh
309,berjalan,mlaku
310,berkata,kanda
311,berlain-lainan,seje
312,berlari,mbelayu
313,Berlin,Berlin
314,bermain,dolanan
315,bermimpi,ipi
316,Bermuda,Bermuda
317,bermusik,nyuling
318,bernafas,ambegan
319,bernapas,ambegan
320,bersembunyi,nḍelik
321,bersepeda,nyepédhah
322,bersih,resik
323,bertiup,sumilir
324,beruang,beruang
325,berudu,kecebong
326,besar,gede
327,besi,wesi
328,besok,sesok
329,betik,kates
330,betina,wadon
331,Bhutan,Bhutan
332,biasanya,biasane
333,biaya,ragad
334,bibi,bulek
335,bibit,wiji
336,biji,wiji
337,biji mata,pupil
338,biji peler,konthol
339,biji salak,konthol
340,bila,benjaŋ menapa
341,Bilangan,Wilangan
342,Bima Sakti,Bima Sakti
343,binatang,kewan
344,binokular,kèker
345,bintang,lintang
346,bintang laut,bintang laut
347,bintaŋ,lintaŋ
348,biokimia,biokimia
349,biologi,biologi
350,bioluminesensi,bioluminesensi
351,biosfer,biosfer
352,bir,bir
353,biru,biru
354,bis,bus
355,bleng,bleng
356,bodoh,goblog
357,bohrium,bohrium
358,bola,bal
359,bola voli,voli
360,bom,bom
361,boraks,bleng
362,boron,boron
363,botak,buthak
364,botol,gendul
365,Brahmaputra,Brahmaputra
366,Bremen,Bremen
367,brengsek,jancok
368,brigade,brigade
369,Britania,Bangsa Inggeris
370,bromin,bromin
371,Brusel,Brusel
372,Brussel,Brussel
373,buah,wwah
374,buah anggur,anggur
375,buah-buahan,wwah
376,buah nona,srikaya
377,buaya,baya
378,bubur,bubur
379,Buddha,Buddha
380,bujur,dawa
381,bukan,mboten
382,buku,buku
383,Bulan,Bulan
384,bulan,mbulan
385,bulat,bunder
386,bulu,wulu
387,bulu mata,idep
388,bumbu,bumbu
389,Bumi,Bumi
390,bunda,ibu
391,bunga,kembang
392,bunglon,bunglon
393,bungur,bungur
394,Burkina Faso,Burkina Faso
395,Burundi,Burundi
396,burung,manuk
397,burung hantu,darès
398,buruŋ,manuk
399,bus,bus
400,busuk,mambet
401,buta,wuto
402,buŋa,kembaŋ
403,Bydgoszcz,Bydgoszcz
404,cabai,lombok
405,cabang,pang
406,cabe,cabe
407,cabo,lonthé
408,cacing,cacing
409,cacing kremi,cacing kremi
410,cacing tanah,cacing lemah
411,caciŋ,cacing
412,cahaya,cahya
413,cakra,cakra
414,Canada,Kanada
415,Canberra,Canberra
416,Cancer,Cancer
417,candra,bulan
418,canggung,katro
419,cangkir,cangkir
420,cangkul,pacul
421,cápa,hiyu
422,Capricornus,Capricornus
423,capung,semprang
424,catur,sekak
425,celeng,celeng
426,cello,cello
427,celurut,curut
428,cempedak,cempedak
429,cengkerik,jangkrik
430,Ceres,Ceres
431,cerita,carita
432,cermin,pengilon
433,cetitet,bleng
434,Chad,Chad
435,Chelyabinsk,Chelyabinsk
436,China,Cina
437,Cina,Cina
438,cinta,cinta
439,cium,ambu
440,ciuman,ciuman
441,ciuman Yudas,ciuman Yudas
442,Cleopatra,Cleopatra
443,coklat,soklat
444,Colossus di Rhodes,Kolosus ing Rodos
445,Conakry,Conakry
446,copet,copèt
447,cuci,umbah
448,cukimai,jancok
449,cukup,cekap
450,Częstochowa,Częstochowa
451,dada,dhadha
452,Dagestan,Dagestan
453,daging,daging
454,dagiŋ,ulam
455,dagu,janggut
456,dahan,pang
457,dahi,bathuk
458,daku,aku
459,dalam,jeru
460,dan,lan
461,Dana Anak-Anak Perserikatan Bangsa-Bangsa,Dana Bocah-bocah Perserikatan Bangsa-Bangsa
462,danau,ranu
463,Danau Tanganyika,Tlaga Tanganyika
464,dangkal,cethek
465,Daniel,Danièl
466,dapur,pawon
467,darah,getih
468,dari,saking
469,dari sini,saka kene
470,dari subuh sampai sore,seka esuk nganti sore
471,dasar brengsek,jancok
472,datang,teka
473,dataŋ,para
474,daun,godhong
475,Debian,Debian
476,debu,awu
477,dekat,cedda’
478,delapan,wolu
479,demokrasi,démokrasi
480,dengan,karo
481,dengar,rungu
482,Denmark,Denmark
483,dermatologi,dermatologi
484,dermawan,loman
485,desa,désa
486,Desember,Désèmber
487,dewa,hyang
488,dewata,hyang
489,dewi,dewi
490,di,ana
491,[d]ia,deweke
492,dia,ḍεwεʔ-e
493,dialek,dhialek
494,Dialek Banyumas,basa banyumasan
495,[di] atas,ana nḍuwur
496,di atas,ana nḍuwur
497,di bawah,an.d.ap
498,[di] dalam,dalěm
499,di dalam,ing
500,di mana,ngendi
501,dimana,ngendi
502,dimetrodon,dimetrodon
503,dingin,asrep
504,dinosaurus,dinosaurus
505,diri,jumeneng
506,di sana,kono
507,di sini,kene
508,diŋin,a-tis
509,Djibouti,Djibouti
510,dll.,lsp.
511,dlsb.,lsp.
512,DNA,DNA
513,Doa Bapa Kami,Kanjeng Rama
514,Doha,Doha
515,domba,mendo
516,Dominika,Dominika
517,domino,domino
518,dongeng,dongeng
519,dorong,surung
520,dsb.,lsp.
521,dua,loro
522,dua puluh,rong puluh
523,duapuluh lima,selangkung
524,dubur,silit
525,duduk,longguh
526,duit,dhuwit
527,Dulhijah,Dzulhijah
528,Dulkaidah,Sela
529,dungu,pekok
530,durian,durèn
531,Düsseldorf,Düsseldorf
532,dzulhijjah,dzulhijjah
533,dzulkaidah,dzulkaidah
534,edan,pekok
535,Efesus,Layang Paulus Efesus
536,einsteinium,einsteinium
537,ejakulasi,éjakulasi
538,ekologi,ékologi
539,ekonomi,ékonomi
540,ekonomi negara,ekonomi
541,ekor,buntut
542,ékor,ikû
543,eksoplanet,eksoplanet
544,elang,elang
545,Elbrus,Elbrus
546,emas,emas
547,embrio,embrio
548,embun,mbun
549,empat,papat
550,empat ratus,patang atus
551,enak,echo
552,enam,nəm
553,engkau,kowe
554,ensiklopedia,ensiklopedhi
555,entot,ancok
556,enzim,enzim
557,Ephesos,Efesus
558,erbium,erbium
559,Eris,Eris
560,Eritrea,Eritrea
561,Eropa,Eropah
562,esok,sésok ésok
563,Ester,Ester
564,Estonia,Estonia
565,Ethiopia,Etiopia
566,Etiopia,Etiopia
567,eugenika,eugenetika
568,ewe,ancok
569,Ezra – Nehemia,Ezra – Nehemia
570,eŋkau,kamu
571,fajar,shalat subuh
572,falak,astronomi
573,falsafah,filsafat
574,famili,brayat
575,faring,faring
576,Februari,Fébruari
577,februari,februari
578,Federasi Mikronesia,Mikronesia
579,feodalisme,feodalisme
580,Fiji,Fiji
581,fikir,panginten
582,Filipina,Filipina
583,filogeni,filogeni
584,filologi,filologi
585,filsafat,filsafat
586,Finlandia,Finlandia
587,Firenze,Firenze
588,fisika,fisika
589,fisiologi,fisiologi
590,flu babi,flu babi
591,fluorin,fluorin
592,foie gras,foie gras
593,fonologi,fonologi
594,Formosa,Republik China
595,fosfat,fosfat
596,fosfor,fosfor
597,fotografi,fotografi
598,Fransiskus,Fransiskus
599,Gabon,Gabon
600,gagal jantung,gagal jantung
601,gajah,gajah
602,galaksi,galaksi
603,Gangga,Gangga
604,garam,sarem
605,garasi,garasi
606,garis depan,bathuk
607,gas,gas
608,gasing,gangsingan
609,Gdańsk,Gdańsk
610,GDP,PDB
611,Gdynia,Gdynia
612,geblek,pekok
613,gelap,peteng
614,gelas,gelas
615,geledek,geledek
616,gelombang,ombak
617,Gemini,Gemini
618,gempa bumi,gempa bumi
619,gemuk,lemu
620,gemuruh,gludug
621,genetika,genetika
622,genosid,genosida
623,genosida,genosida
624,Genova,Genova
625,geografi,géografi
626,geologi,géologi
627,geomorfologi,géomorfologi
628,gerah,sumu’
629,gereja,greja
630,Gereja Katolik Roma,Gréja Katulik Roma
631,gerhana bulan,grahana rembulan
632,gerimis,grimis
633,Gestapo,Gestapo
634,Ghana,Ghana
635,Gibraltar,Gibraltar
636,gigi,untu
637,gigit,cokot
638,gila,pekok
639,giok,giok
640,glukosa,glukosa
641,goblok,pekok
642,golongan tabel periodik,golongan tabèl périodik
643,gondorukem,gandarukem
644,gravitasi,gravitasi
645,Greenland,Greenland
646,Grenada,Grenada
647,Guadeloupe,Guadeloupe
648,Gua suka sama lu,Aku tresna sampeyan
649,Guatemala,Guatemala
650,Guernsey,Guernsey
651,gugur kandungan,abortus
652,Guinea,Guinea
653,Guinea-Bissau,Guinea-Bissau
654,Guinea Khatulistiwa,Guinea Khatulistiwa
655,gula,gula
656,gulali,glali
657,guntur,gludug
658,gunung,gunung
659,gunung berapi,gunung geni
660,Gunung Everest,Mount Everest
661,guru,guru
662,gurun,segara wedhi
663,Guyana,Guyana
664,Guyana Perancis,Guyana Prancis
665,Habakuk,Habakuk
666,habitat,habitat
667,hafnium,hafnium
668,Hagai,Hagai
669,Haiti,Haiti
670,haji,haji
671,Hakim-hakim,Para Hakim
672,halaman,kaca
673,halaman utama,kaca utama
674,halilintar,geledek
675,halimun,pedut
676,hambar,anyep
677,hangat,anget
678,Hangeul,Hangeul
679,hanya,cuma
680,harga,rego
681,hari,dino
682,harian,koran
683,hari Jumat,jemuwah
684,hari Kamis,kemis
685,harimau,macan
686,hari Rabu,rebo
687,hari Sabtu,Sabtu
688,harus,kudu
689,hassium,hassium
690,hati,ati
691,hati-hati,ati-ati
692,Haumea,Haumea
693,haus,ngelak
694,helium,helium
695,hewan,kewan
696,hewan berbuku-buku,kéwan mawa ros-rosan
697,hidrogen,hidrogen
698,hidrogen nitrat,hidrogen nitrat
699,hidrokarbon,hidrokarbon
700,hidung,irung
701,hidup,urip
702,hiduŋ,irung
703,hifa,hifa
704,hijau,ijo
705,Hijrah,Hijroh
706,hina dina,bajingan
707,Hippokrates,Hippocrates
708,hitam,ireng
709,hiu,hiyu
710,Holland,Walanda
711,holmium,holmium
712,holografi,holografi
713,Homerus,Homeros
714,Honduras,Honduras
715,Hong Kong,Hong Kong
716,"Hong Kong S.A.R., Cina",Hong Kong
717,Hosea,Hosea
718,hujan,udan
719,humanisme,humanisme
720,hutan,alas
721,hutan belantara,wana
722,hutang,utang
723,hutan hujan tropis,alas tropis
724,hutan rimba,wana
725,ia,ḍεwεʔ-e
726,ibu,ibu
727,ibukota,ibu kutha
728,idul adha,bodo besar
729,Idul Fitri,riyaya
730,idul kurban,bodo kaji
731,ikan,iwak
732,ikut,melu
733,ilmu,èlmu
734,ilmu bahasa,linguistik
735,ilmu bangunan,seni bangunan
736,ilmu bintang,Astronomi
737,ilmu ekonomi,ekonomi
738,ilmu pengetahuan,èlmu
739,ilmu perbintangan,Astronomi
740,Imamat,Kaimaman
741,imigrasi,imigrasi
742,Indera,Indra
743,India,India
744,Indianapolis,Indianapolis
745,indium,indium
746,Indonesia,Indonesia
747,inflasi,inflasi
748,ingat,eling
749,ingin,kepingin
750,ini,iki
751,injil,injil
752,Injil Lukas,Injil Lukas
753,Injil Markus,Injil Markus
754,Injil Matius,Injil Matius
755,Injil Yohanes,Injil Yohanes
756,interaksi,interaksi
757,inti atom,inti atom
758,inti sel,nukleus
759,iodin,iodin
760,ion,ion
761,iridium,iridium
762,irigasi,irigasi
763,isi perut,usus
764,Iskandar yang Agung,Alexander Agung
765,Islam,Islam
766,Isle of Man,Pulo Man
767,Istambul,Istambul
768,isteri,semah
769,istirahat,ngaso
770,istri,garwa
771,iterbium,iterbium
772,itrium,itrium
773,itu,kuwi
774,jagad raya,alam semesta
775,jagung,jagung
776,jahat,elek
777,jahe,jahe
778,jahit,dondom
779,jalan,dalan
780,jalan raya,dalan
781,Jalur Gaza,Lurung Gaza
782,jam,jam
783,Jamaika,Jamaika
784,jambu batu,jambu kluthuk
785,jambu biji,jambu kluthuk
786,jamur pinus,matsutaké
787,janji,janji
788,jantung,jantung
789,Januari,Januari
790,januari,januari
791,jari,driji
792,jarum,dom
793,jati,jati
794,jatuh,tiba
795,jauh,adhoh
796,Jawa,Jawa
797,Jazirah Arab,Semenanjung Arab
798,Jeanne d’Arc,Jeanne d’Arc
799,jelas,cetha
800,jelek,elek
801,jembatan,kreteg
802,jempol,jempol
803,jenazah,kunarpa
804,jendela,jendhéla
805,jenggot,jenggot
806,Jenghis Khan,Genghis Khan
807,jenuh,kebak
808,Jepang,Jepang
809,jerapah,jerapah
810,Jerman,Jerman
811,jernih,bening
812,jeruk bali,jeruk bali
813,jeruk keprok,jeruk bali
814,jeruk manis,jeruk
815,Jibouti,Djibouti
816,jihad,jihad
817,Johannesburg,Johannesburg
818,judo,judo
819,Juli,Juli
820,juli,juli
821,Julius Caesar,Julius Caesar
822,Jumadilakhir,Jumadilakir
823,jumadil akhir,Jumadilakir
824,Jumadilawal,Jumadilawal
825,jumadil awal,jumadilawal
826,Jumat,Jemuwah
827,jumat,jemuwah
828,jumjumah,tengkorak
829,Juni,Juni
830,juni,juni
831,kabut,pedut
832,kaca,gelas
833,kacang,kacang
834,kacoa,coro
835,kadal,kadhal
836,kafeina,kafein
837,Kairo,Kairo
838,kakak,ari
839,kakak perempuan,nduk
840,kakek,eyang
841,kaki,sikil
842,kalajengking,kalajengking
843,kalau,menawi
844,Kaledonia Baru,Kaledonia Baru
845,kalender,kalendher
846,kalian,kowe kabeh
847,Kalimantan,Kalimantan
848,Kaliningrad,Kaliningrad
849,kalium,kalium
850,kalsium,kalsium
851,kalung,kalung
852,kambing,wedus
853,Kamboja,Kamboja
854,Kamerun,Kamerun
855,kami,kami
856,kamis,kemis
857,kampret,jancok
858,kampung,désa
859,kamu,kowe
860,kamus,bausastra
861,KamusWiki,Wiktionary
862,Kanada,Kanada
863,kanan,tengen
864,kanguru,kanguru
865,kanjut,peli
866,kantong empedu,kantung empedu
867,kantong pelir,konthol
868,kantung empedu,kantung empedu
869,kapan,kapan
870,Kapernaum,Kapernaum
871,Kaprikornus,Capricornus
872,kapsul,kapsul
873,kapur,kapur
874,kapur tulis,kapur
875,karbon,karbon
876,karbon dioksida,karbon dioksida
877,kardiologi,kardiologi
878,karnaval,karnaval
879,kartu pos,kertu pos
880,kata,ukara
881,katak,kodhok
882,kata-kata kotor,pisuhan
883,kata kerja,kriyo
884,katalan,Boso Katal
885,kata makian,pisuhan
886,katana,katana
887,katedral,katedral
888,kation,kation
889,Katolik,Katulik
890,Katowice,Katowice
891,katulistiwa,katulistiwa
892,Kaukasus,Kaukasus
893,kaya,sugih
894,kayu,kajeng
895,kayu tusam,pinus
896,ke,menyang
897,keadaan,kahanan
898,kebakaran besar,geni
899,keberanian,kawenan
900,kecebong,kecebong
901,kecepatan,kacepetan
902,kecil,cilik
903,kecoa,coro
904,kecoak,coro
905,kecuali,kajaba
906,kecut,kecut
907,kedamaian,rukun
908,kedamaian hati,rukun
909,kedelapan,kawolu
910,kedokteran,kedhokteran
911,kegairahan,geni
912,kegemukan,obesitas
913,kegendutan,obesitas
914,Kejadian,Purwaning Dumadi
915,kejahatan,angkara
916,keju,kèju
917,Kekristenan,Kristen
918,kekristenan,kristen
919,kekuatan,geni
920,kekuningan,jene
921,kelapa,krambil
922,kelawar,kalong
923,kelelawar,kalong
924,kelengkeng,klèngkèng
925,keluar,metu
926,Keluaran,Pangentasan
927,keluarga,brayat
928,kemalasan,kesed
929,kemerah merahan,jambon
930,kemerdekaan,kemerdekaan
931,kencana,emas
932,kentaur,kentaur
933,Kenya,Kénya
934,kenyang,warek
935,kepadatan,kapadhetan
936,kepala,sirah
937,keparat,jancok
938,kepinding,tinggi
939,kepiting,yuyu
940,kepulauan,kapuloan
941,Kepulauan British Virgin,Kapuloan Virgin Britania Raya
942,Kepulauan Cayman,Kapuloan Cayman
943,Kepulauan Cook,Kapuloan Cook
944,Kepulauan Faeroe,Kapuloan Faroe
945,Kepulauan Faroe,Kapuloan Faroe
946,Kepulauan Mariana Utara,Kapuloan Mariana Lor
947,Kepulauan Marshall,Kapuloan Marshall
948,Kepulauan Pitcairn,Kapuloan Pitcairn
949,Kepulauan Solomon,Kapuloan Solomon
950,Kepulauan Turks dan Caicos,Kapuloan Turks lan Caicos
951,Kepulauan Virgin Britania Raya,Kapuloan Virgin Britania Raya
952,Kerajaan Denmark,Denmark
953,Kerajaan Hasyimiyah Yordania,Krajaan Hasyimiyah Yordania
954,keramik,keramik
955,keras,atos
956,kerbau,kebo
957,kereta api,sêpùr
958,kerikil,kerikil
959,kering,garing
960,keriting,brintik
961,keriŋ,akiŋ
962,kertas,dluwang
963,keruh,buthek
964,kesehatan,kaséhatan
965,ke situ,rono
966,kesusasteraan,sastra
967,ketawa,ŋguyu
968,ketiak,ketek
969,ketiga,katelu
970,ketimun,timun
971,Kharkiv,Kharkiv
972,Khartoum,Khartoum
973,Khatulistiwa,Katulistiwa
974,khatulistiwa,katulistiwa
975,khitan,supit
976,khotbah,kutbah
977,khutbah,kutbah
978,Kidung Agung,Kidung Agung
979,kilat,geledek
980,kilometer,kilomèter
981,kilometer persegi,kilomèter pesagi
982,kimia,kimia
983,kiper,penjaga gawang
984,kiri,kiwa
985,Kiribati,Kiribati
986,Kisah Para Rasul,Para Rasul
987,kita,kita sedaya
988,kitab,buku
989,Kitab Hakim-hakim,Para Hakim
990,Kitab Kidung Agung,Kidung Agung
991,Kitab Mazmur,Masmur
992,klor,klorin
993,klorin,klorin
994,kobalt,kobalt
995,kodok,kodhok
996,kok,kok
997,komet,komèt
998,Komite Olimpiade Internasional,Komite Olimpiade Internasional
999,Komoro,Komoro
1000,Komoros,Komoro
1001,komputer,komputer
1002,Komuni Anglikan,Komuni Anglikan
1003,Konfusius,Kong Hu Cu
1004,Kong Hu Cu,Kong Hu Cu
1005,kontol,peli
1006,kopi,kopi
1007,koran,koran
1008,Korea,Koréa Lor
1009,Korea Selatan,Koréa Kidul
1010,Korea Utara,Koréa Lor
1011,kosmos,kosmos
1012,Kosovo,Kosovo
1013,kota,khutha
1014,Kota Bandung,Kutha Bandhung
1015,kotak suara,laring
1016,Kota Surabaya,Kutha Surabaya
1017,kotbah,kutbah
1018,kotor,reget
1019,Krasnodar,Krasnodar
1020,Kristen,Kristen
1021,Kristus,Kristus
1022,kromosom,kromosom
1023,kucing,kucing
1024,kuda,jaran
1025,kue,jajan
1026,Kuil Artemis di Efesus,Kuil Artemis
1027,kuku,kuku
1028,kulit,kulit
1029,kumbang,kumbang
1030,kumis,brengos
1031,kuning,jene
1032,kuniŋ,kuniŋ
1033,kuping,talingan
1034,kupiŋ,kupiŋ
1035,kupu-kupu,kupu
1036,kura-kura,kura
1037,kurma,kurma
1038,kursi,kursi
1039,kutu,tuma
1040,Kutub Selatan,Kutub Kidul
1041,kutu busuk,tinggi
1042,Kutub Utara,Kutub Lor
1043,Kuwait,Kuwait
1044,lab,laboratorium
1045,laba-laba,kemangga
1046,laboratorium,laboratorium
1047,ladang,sawah
1048,lain,benten
1049,laki-laki,jaler
1050,laksamana,laksamana
1051,lalat,laler
1052,laler,laler
1053,lama,sepuh
1054,lambuŋ,usus
1055,landak kecil,landhak
1056,langau,laler
1057,langit,langit
1058,lantai,mester
1059,Laos,Laos
1060,lapan,wolu
1061,lapisan ozon,lapisan ozon
1062,laring,laring
1063,Latium,Latium
1064,laut,segara
1065,lautan,segoro
1066,Lautan Antartika,Samudra Kidul
1067,Lautan Teduh,Samudra Pasifik
1068,Laut Arab,Segara Arab
1069,Laut Baltik,Segara Baltik
1070,Laut Cina Selatan,Segara Cina Kidul
1071,Laut Hitam,Segara Ireng
1072,Laut Karibia,Segara Karibia
1073,Laut Kaspia,Segara Kaspia
1074,Laut Koral,Segara Koral
1075,Laut Kuning,Segara Kuning
1076,Laut Kutub Utara,Samudra Arktik
